r,m,j,value
EU27,Zn,construction,0.2867635190821094
EU27,Zn,computers_and_precision_instruments,0.20465054943038796
EU27,Zn,electrical_equipment,0.26562194155421703
EU27,Zn,machinery_and_equipment,0.26562194155421703
EU27,Zn,motor_vehicles_trailers_and_semi_trailers,0.22833353307964807
EU27,Zn,other_transport_equipment,0.19014570563258595
EU27,Zn,products_nec,0.23493834464099525
EU27,Ni,construction,0.2927858261784918
EU27,Ni,computers_and_precision_instruments,0.20465054943038796
EU27,Ni,electrical_equipment,0.26562194155421703
EU27,Ni,machinery_and_equipment,0.26562194155421703
EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.22833353307964807
EU27,Ni,other_transport_equipment,0.19014570563258595
EU27,Ni,products_nec,0.23338346843447028
EU27,Sn,construction,0.2896057599688129
EU27,Sn,computers_and_precision_instruments,0.20465054943038796
EU27,Sn,electrical_equipment,0.26562194155421703
EU27,Sn,machinery_and_equipment,0.26562194155421703
EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.22833353307964807
EU27,Sn,other_transport_equipment,0.19014570563258595
EU27,Sn,products_nec,0.23507821554615127
CHN,Zn,construction,0.29366650837201563
CHN,Zn,computers_and_precision_instruments,0.20465054943038796
CHN,Zn,electrical_equipment,0.26562194155421703
CHN,Zn,machinery_and_equipment,0.26562194155421703
CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.22833353307964807
CHN,Zn,other_transport_equipment,0.19014570563258595
CHN,Zn,products_nec,0.2271720088649663
CHN,Ni,construction,0.2935856028939744
CHN,Ni,computers_and_precision_instruments,0.20465054943038796
CHN,Ni,electrical_equipment,0.26562194155421703
CHN,Ni,machinery_and_equipment,0.26562194155421703
CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.22833353307964807
CHN,Ni,other_transport_equipment,0.19014570563258595
CHN,Ni,products_nec,0.2297164207527585
CHN,Sn,construction,0.2864653007927259
CHN,Sn,computers_and_precision_instruments,0.20465054943038796
CHN,Sn,electrical_equipment,0.26562194155421703
CHN,Sn,machinery_and_equipment,0.26562194155421703
CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.22833353307964807
CHN,Sn,other_transport_equipment,0.19014570563258595
CHN,Sn,products_nec,0.2274864546820486
ROW,Zn,construction,0.29222917223815087
ROW,Zn,computers_and_precision_instruments,0.20465054943038796
ROW,Zn,electrical_equipment,0.26562194155421703
ROW,Zn,machinery_and_equipment,0.26562194155421703
ROW,Zn,motor_vehicles_trailers_and_semi_trailers,0.22833353307964807
ROW,Zn,other_transport_equipment,0.19014570563258595
ROW,Zn,products_nec,0.23885868822457387
ROW,Ni,construction,0.29341441365221194
ROW,Ni,computers_and_precision_instruments,0.20465054943038796
ROW,Ni,electrical_equipment,0.26562194155421703
ROW,Ni,machinery_and_equipment,0.26562194155421703
ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.22833353307964807
ROW,Ni,other_transport_equipment,0.19014570563258595
ROW,Ni,products_nec,0.23797994737864403
ROW,Sn,construction,0.2890836692260026
ROW,Sn,computers_and_precision_instruments,0.20465054943038796
ROW,Sn,electrical_equipment,0.26562194155421703
ROW,Sn,machinery_and_equipment,0.26562194155421703
ROW,Sn,motor_vehicles_trailers_and_semi_trailers,0.22833353307964807
ROW,Sn,other_transport_equipment,0.19014570563258595
ROW,Sn,products_nec,0.23930086189898528
