r,m,j,value
EU27,Zn,construction,
EU27,Zn,computers_and_precision_instruments,11.1
EU27,Zn,electrical_equipment,22.5
EU27,Zn,machinery_and_equipment,22.5
EU27,Zn,motor_vehicles_trailers_and_semi_trailers,11.4
EU27,Zn,other_transport_equipment,22.8
EU27,Zn,products_nec,11.0
EU27,Ni,construction,
EU27,Ni,computers_and_precision_instruments,11.1
EU27,Ni,electrical_equipment,22.5
EU27,Ni,machinery_and_equipment,22.5
EU27,Ni,motor_vehicles_trailers_and_semi_trailers,11.4
EU27,Ni,other_transport_equipment,22.8
EU27,Ni,products_nec,11.0
EU27,Sn,construction,
EU27,Sn,computers_and_precision_instruments,11.1
EU27,Sn,electrical_equipment,22.5
EU27,Sn,machinery_and_equipment,22.5
EU27,Sn,motor_vehicles_trailers_and_semi_trailers,11.4
EU27,Sn,other_transport_equipment,22.8
EU27,Sn,products_nec,11.0
CHN,Zn,construction,
CHN,Zn,computers_and_precision_instruments,11.1
CHN,Zn,electrical_equipment,22.5
CHN,Zn,machinery_and_equipment,22.5
CHN,Zn,motor_vehicles_trailers_and_semi_trailers,11.4
CHN,Zn,other_transport_equipment,22.8
CHN,Zn,products_nec,11.0
CHN,Ni,construction,
CHN,Ni,computers_and_precision_instruments,11.1
CHN,Ni,electrical_equipment,22.5
CHN,Ni,machinery_and_equipment,22.5
CHN,Ni,motor_vehicles_trailers_and_semi_trailers,11.4
CHN,Ni,other_transport_equipment,22.8
CHN,Ni,products_nec,11.0
CHN,Sn,construction,
CHN,Sn,computers_and_precision_instruments,11.1
CHN,Sn,electrical_equipment,22.5
CHN,Sn,machinery_and_equipment,22.5
CHN,Sn,motor_vehicles_trailers_and_semi_trailers,11.4
CHN,Sn,other_transport_equipment,22.8
CHN,Sn,products_nec,11.0
ROW,Zn,construction,
ROW,Zn,computers_and_precision_instruments,11.1
ROW,Zn,electrical_equipment,22.5
ROW,Zn,machinery_and_equipment,22.5
ROW,Zn,motor_vehicles_trailers_and_semi_trailers,11.4
ROW,Zn,other_transport_equipment,22.8
ROW,Zn,products_nec,11.0
ROW,Ni,construction,
ROW,Ni,computers_and_precision_instruments,11.1
ROW,Ni,electrical_equipment,22.5
ROW,Ni,machinery_and_equipment,22.5
ROW,Ni,motor_vehicles_trailers_and_semi_trailers,11.4
ROW,Ni,other_transport_equipment,22.8
ROW,Ni,products_nec,11.0
ROW,Sn,construction,
ROW,Sn,computers_and_precision_instruments,11.1
ROW,Sn,electrical_equipment,22.5
ROW,Sn,machinery_and_equipment,22.5
ROW,Sn,motor_vehicles_trailers_and_semi_trailers,11.4
ROW,Sn,other_transport_equipment,22.8
ROW,Sn,products_nec,11.0
