t,m,j,value
1820,Zn,construction,
1820,Zn,computers_and_precision_instruments,
1820,Zn,electrical_equipment,
1820,Zn,machinery_and_equipment,
1820,Zn,motor_vehicles_trailers_and_semi_trailers,
1820,Zn,other_transport_equipment,
1820,Zn,products_nec,
1820,Ni,construction,
1820,Ni,computers_and_precision_instruments,
1820,Ni,electrical_equipment,
1820,Ni,machinery_and_equipment,
1820,Ni,motor_vehicles_trailers_and_semi_trailers,
1820,Ni,other_transport_equipment,
1820,Ni,products_nec,
1820,Sn,construction,
1820,Sn,computers_and_precision_instruments,
1820,Sn,electrical_equipment,
1820,Sn,machinery_and_equipment,
1820,Sn,motor_vehicles_trailers_and_semi_trailers,
1820,Sn,other_transport_equipment,
1820,Sn,products_nec,
1821,Zn,construction,
1821,Zn,computers_and_precision_instruments,
1821,Zn,electrical_equipment,
1821,Zn,machinery_and_equipment,
1821,Zn,motor_vehicles_trailers_and_semi_trailers,
1821,Zn,other_transport_equipment,
1821,Zn,products_nec,
1821,Ni,construction,
1821,Ni,computers_and_precision_instruments,
1821,Ni,electrical_equipment,
1821,Ni,machinery_and_equipment,
1821,Ni,motor_vehicles_trailers_and_semi_trailers,
1821,Ni,other_transport_equipment,
1821,Ni,products_nec,
1821,Sn,construction,
1821,Sn,computers_and_precision_instruments,
1821,Sn,electrical_equipment,
1821,Sn,machinery_and_equipment,
1821,Sn,motor_vehicles_trailers_and_semi_trailers,
1821,Sn,other_transport_equipment,
1821,Sn,products_nec,
1822,Zn,construction,
1822,Zn,computers_and_precision_instruments,
1822,Zn,electrical_equipment,
1822,Zn,machinery_and_equipment,
1822,Zn,motor_vehicles_trailers_and_semi_trailers,
1822,Zn,other_transport_equipment,
1822,Zn,products_nec,
1822,Ni,construction,
1822,Ni,computers_and_precision_instruments,
1822,Ni,electrical_equipment,
1822,Ni,machinery_and_equipment,
1822,Ni,motor_vehicles_trailers_and_semi_trailers,
1822,Ni,other_transport_equipment,
1822,Ni,products_nec,
1822,Sn,construction,
1822,Sn,computers_and_precision_instruments,
1822,Sn,electrical_equipment,
1822,Sn,machinery_and_equipment,
1822,Sn,motor_vehicles_trailers_and_semi_trailers,
1822,Sn,other_transport_equipment,
1822,Sn,products_nec,
1823,Zn,construction,
1823,Zn,computers_and_precision_instruments,
1823,Zn,electrical_equipment,
1823,Zn,machinery_and_equipment,
1823,Zn,motor_vehicles_trailers_and_semi_trailers,
1823,Zn,other_transport_equipment,
1823,Zn,products_nec,
1823,Ni,construction,
1823,Ni,computers_and_precision_instruments,
1823,Ni,electrical_equipment,
1823,Ni,machinery_and_equipment,
1823,Ni,motor_vehicles_trailers_and_semi_trailers,
1823,Ni,other_transport_equipment,
1823,Ni,products_nec,
1823,Sn,construction,
1823,Sn,computers_and_precision_instruments,
1823,Sn,electrical_equipment,
1823,Sn,machinery_and_equipment,
1823,Sn,motor_vehicles_trailers_and_semi_trailers,
1823,Sn,other_transport_equipment,
1823,Sn,products_nec,
1824,Zn,construction,
1824,Zn,computers_and_precision_instruments,
1824,Zn,electrical_equipment,
1824,Zn,machinery_and_equipment,
1824,Zn,motor_vehicles_trailers_and_semi_trailers,
1824,Zn,other_transport_equipment,
1824,Zn,products_nec,
1824,Ni,construction,
1824,Ni,computers_and_precision_instruments,
1824,Ni,electrical_equipment,
1824,Ni,machinery_and_equipment,
1824,Ni,motor_vehicles_trailers_and_semi_trailers,
1824,Ni,other_transport_equipment,
1824,Ni,products_nec,
1824,Sn,construction,
1824,Sn,computers_and_precision_instruments,
1824,Sn,electrical_equipment,
1824,Sn,machinery_and_equipment,
1824,Sn,motor_vehicles_trailers_and_semi_trailers,
1824,Sn,other_transport_equipment,
1824,Sn,products_nec,
1825,Zn,construction,
1825,Zn,computers_and_precision_instruments,
1825,Zn,electrical_equipment,
1825,Zn,machinery_and_equipment,
1825,Zn,motor_vehicles_trailers_and_semi_trailers,
1825,Zn,other_transport_equipment,
1825,Zn,products_nec,
1825,Ni,construction,
1825,Ni,computers_and_precision_instruments,
1825,Ni,electrical_equipment,
1825,Ni,machinery_and_equipment,
1825,Ni,motor_vehicles_trailers_and_semi_trailers,
1825,Ni,other_transport_equipment,
1825,Ni,products_nec,
1825,Sn,construction,
1825,Sn,computers_and_precision_instruments,
1825,Sn,electrical_equipment,
1825,Sn,machinery_and_equipment,
1825,Sn,motor_vehicles_trailers_and_semi_trailers,
1825,Sn,other_transport_equipment,
1825,Sn,products_nec,
1826,Zn,construction,
1826,Zn,computers_and_precision_instruments,
1826,Zn,electrical_equipment,
1826,Zn,machinery_and_equipment,
1826,Zn,motor_vehicles_trailers_and_semi_trailers,
1826,Zn,other_transport_equipment,
1826,Zn,products_nec,
1826,Ni,construction,
1826,Ni,computers_and_precision_instruments,
1826,Ni,electrical_equipment,
1826,Ni,machinery_and_equipment,
1826,Ni,motor_vehicles_trailers_and_semi_trailers,
1826,Ni,other_transport_equipment,
1826,Ni,products_nec,
1826,Sn,construction,
1826,Sn,computers_and_precision_instruments,
1826,Sn,electrical_equipment,
1826,Sn,machinery_and_equipment,
1826,Sn,motor_vehicles_trailers_and_semi_trailers,
1826,Sn,other_transport_equipment,
1826,Sn,products_nec,
1827,Zn,construction,
1827,Zn,computers_and_precision_instruments,
1827,Zn,electrical_equipment,
1827,Zn,machinery_and_equipment,
1827,Zn,motor_vehicles_trailers_and_semi_trailers,
1827,Zn,other_transport_equipment,
1827,Zn,products_nec,
1827,Ni,construction,
1827,Ni,computers_and_precision_instruments,
1827,Ni,electrical_equipment,
1827,Ni,machinery_and_equipment,
1827,Ni,motor_vehicles_trailers_and_semi_trailers,
1827,Ni,other_transport_equipment,
1827,Ni,products_nec,
1827,Sn,construction,
1827,Sn,computers_and_precision_instruments,
1827,Sn,electrical_equipment,
1827,Sn,machinery_and_equipment,
1827,Sn,motor_vehicles_trailers_and_semi_trailers,
1827,Sn,other_transport_equipment,
1827,Sn,products_nec,
1828,Zn,construction,
1828,Zn,computers_and_precision_instruments,
1828,Zn,electrical_equipment,
1828,Zn,machinery_and_equipment,
1828,Zn,motor_vehicles_trailers_and_semi_trailers,
1828,Zn,other_transport_equipment,
1828,Zn,products_nec,
1828,Ni,construction,
1828,Ni,computers_and_precision_instruments,
1828,Ni,electrical_equipment,
1828,Ni,machinery_and_equipment,
1828,Ni,motor_vehicles_trailers_and_semi_trailers,
1828,Ni,other_transport_equipment,
1828,Ni,products_nec,
1828,Sn,construction,
1828,Sn,computers_and_precision_instruments,
1828,Sn,electrical_equipment,
1828,Sn,machinery_and_equipment,
1828,Sn,motor_vehicles_trailers_and_semi_trailers,
1828,Sn,other_transport_equipment,
1828,Sn,products_nec,
1829,Zn,construction,
1829,Zn,computers_and_precision_instruments,
1829,Zn,electrical_equipment,
1829,Zn,machinery_and_equipment,
1829,Zn,motor_vehicles_trailers_and_semi_trailers,
1829,Zn,other_transport_equipment,
1829,Zn,products_nec,
1829,Ni,construction,
1829,Ni,computers_and_precision_instruments,
1829,Ni,electrical_equipment,
1829,Ni,machinery_and_equipment,
1829,Ni,motor_vehicles_trailers_and_semi_trailers,
1829,Ni,other_transport_equipment,
1829,Ni,products_nec,
1829,Sn,construction,
1829,Sn,computers_and_precision_instruments,
1829,Sn,electrical_equipment,
1829,Sn,machinery_and_equipment,
1829,Sn,motor_vehicles_trailers_and_semi_trailers,
1829,Sn,other_transport_equipment,
1829,Sn,products_nec,
1830,Zn,construction,
1830,Zn,computers_and_precision_instruments,
1830,Zn,electrical_equipment,
1830,Zn,machinery_and_equipment,
1830,Zn,motor_vehicles_trailers_and_semi_trailers,
1830,Zn,other_transport_equipment,
1830,Zn,products_nec,
1830,Ni,construction,
1830,Ni,computers_and_precision_instruments,
1830,Ni,electrical_equipment,
1830,Ni,machinery_and_equipment,
1830,Ni,motor_vehicles_trailers_and_semi_trailers,
1830,Ni,other_transport_equipment,
1830,Ni,products_nec,
1830,Sn,construction,
1830,Sn,computers_and_precision_instruments,
1830,Sn,electrical_equipment,
1830,Sn,machinery_and_equipment,
1830,Sn,motor_vehicles_trailers_and_semi_trailers,
1830,Sn,other_transport_equipment,
1830,Sn,products_nec,
1831,Zn,construction,
1831,Zn,computers_and_precision_instruments,
1831,Zn,electrical_equipment,
1831,Zn,machinery_and_equipment,
1831,Zn,motor_vehicles_trailers_and_semi_trailers,
1831,Zn,other_transport_equipment,
1831,Zn,products_nec,
1831,Ni,construction,
1831,Ni,computers_and_precision_instruments,
1831,Ni,electrical_equipment,
1831,Ni,machinery_and_equipment,
1831,Ni,motor_vehicles_trailers_and_semi_trailers,
1831,Ni,other_transport_equipment,
1831,Ni,products_nec,
1831,Sn,construction,
1831,Sn,computers_and_precision_instruments,
1831,Sn,electrical_equipment,
1831,Sn,machinery_and_equipment,
1831,Sn,motor_vehicles_trailers_and_semi_trailers,
1831,Sn,other_transport_equipment,
1831,Sn,products_nec,
1832,Zn,construction,
1832,Zn,computers_and_precision_instruments,
1832,Zn,electrical_equipment,
1832,Zn,machinery_and_equipment,
1832,Zn,motor_vehicles_trailers_and_semi_trailers,
1832,Zn,other_transport_equipment,
1832,Zn,products_nec,
1832,Ni,construction,
1832,Ni,computers_and_precision_instruments,
1832,Ni,electrical_equipment,
1832,Ni,machinery_and_equipment,
1832,Ni,motor_vehicles_trailers_and_semi_trailers,
1832,Ni,other_transport_equipment,
1832,Ni,products_nec,
1832,Sn,construction,
1832,Sn,computers_and_precision_instruments,
1832,Sn,electrical_equipment,
1832,Sn,machinery_and_equipment,
1832,Sn,motor_vehicles_trailers_and_semi_trailers,
1832,Sn,other_transport_equipment,
1832,Sn,products_nec,
1833,Zn,construction,
1833,Zn,computers_and_precision_instruments,
1833,Zn,electrical_equipment,
1833,Zn,machinery_and_equipment,
1833,Zn,motor_vehicles_trailers_and_semi_trailers,
1833,Zn,other_transport_equipment,
1833,Zn,products_nec,
1833,Ni,construction,
1833,Ni,computers_and_precision_instruments,
1833,Ni,electrical_equipment,
1833,Ni,machinery_and_equipment,
1833,Ni,motor_vehicles_trailers_and_semi_trailers,
1833,Ni,other_transport_equipment,
1833,Ni,products_nec,
1833,Sn,construction,
1833,Sn,computers_and_precision_instruments,
1833,Sn,electrical_equipment,
1833,Sn,machinery_and_equipment,
1833,Sn,motor_vehicles_trailers_and_semi_trailers,
1833,Sn,other_transport_equipment,
1833,Sn,products_nec,
1834,Zn,construction,
1834,Zn,computers_and_precision_instruments,
1834,Zn,electrical_equipment,
1834,Zn,machinery_and_equipment,
1834,Zn,motor_vehicles_trailers_and_semi_trailers,
1834,Zn,other_transport_equipment,
1834,Zn,products_nec,
1834,Ni,construction,
1834,Ni,computers_and_precision_instruments,
1834,Ni,electrical_equipment,
1834,Ni,machinery_and_equipment,
1834,Ni,motor_vehicles_trailers_and_semi_trailers,
1834,Ni,other_transport_equipment,
1834,Ni,products_nec,
1834,Sn,construction,
1834,Sn,computers_and_precision_instruments,
1834,Sn,electrical_equipment,
1834,Sn,machinery_and_equipment,
1834,Sn,motor_vehicles_trailers_and_semi_trailers,
1834,Sn,other_transport_equipment,
1834,Sn,products_nec,
1835,Zn,construction,
1835,Zn,computers_and_precision_instruments,
1835,Zn,electrical_equipment,
1835,Zn,machinery_and_equipment,
1835,Zn,motor_vehicles_trailers_and_semi_trailers,
1835,Zn,other_transport_equipment,
1835,Zn,products_nec,
1835,Ni,construction,
1835,Ni,computers_and_precision_instruments,
1835,Ni,electrical_equipment,
1835,Ni,machinery_and_equipment,
1835,Ni,motor_vehicles_trailers_and_semi_trailers,
1835,Ni,other_transport_equipment,
1835,Ni,products_nec,
1835,Sn,construction,
1835,Sn,computers_and_precision_instruments,
1835,Sn,electrical_equipment,
1835,Sn,machinery_and_equipment,
1835,Sn,motor_vehicles_trailers_and_semi_trailers,
1835,Sn,other_transport_equipment,
1835,Sn,products_nec,
1836,Zn,construction,
1836,Zn,computers_and_precision_instruments,
1836,Zn,electrical_equipment,
1836,Zn,machinery_and_equipment,
1836,Zn,motor_vehicles_trailers_and_semi_trailers,
1836,Zn,other_transport_equipment,
1836,Zn,products_nec,
1836,Ni,construction,
1836,Ni,computers_and_precision_instruments,
1836,Ni,electrical_equipment,
1836,Ni,machinery_and_equipment,
1836,Ni,motor_vehicles_trailers_and_semi_trailers,
1836,Ni,other_transport_equipment,
1836,Ni,products_nec,
1836,Sn,construction,
1836,Sn,computers_and_precision_instruments,
1836,Sn,electrical_equipment,
1836,Sn,machinery_and_equipment,
1836,Sn,motor_vehicles_trailers_and_semi_trailers,
1836,Sn,other_transport_equipment,
1836,Sn,products_nec,
1837,Zn,construction,
1837,Zn,computers_and_precision_instruments,
1837,Zn,electrical_equipment,
1837,Zn,machinery_and_equipment,
1837,Zn,motor_vehicles_trailers_and_semi_trailers,
1837,Zn,other_transport_equipment,
1837,Zn,products_nec,
1837,Ni,construction,
1837,Ni,computers_and_precision_instruments,
1837,Ni,electrical_equipment,
