t,m,c,o,d,value
1820,Zn,concentrate,EU27,EU27,
1820,Zn,concentrate,EU27,CHN,
1820,Zn,concentrate,EU27,ROW,
1820,Zn,concentrate,CHN,EU27,
1820,Zn,concentrate,CHN,CHN,
1820,Zn,concentrate,CHN,ROW,
1820,Zn,concentrate,ROW,EU27,
1820,Zn,concentrate,ROW,CHN,
1820,Zn,concentrate,ROW,ROW,
1820,Zn,refined_metal,EU27,EU27,
1820,Zn,refined_metal,EU27,CHN,
1820,Zn,refined_metal,EU27,ROW,
1820,Zn,refined_metal,CHN,EU27,
1820,Zn,refined_metal,CHN,CHN,
1820,Zn,refined_metal,CHN,ROW,
1820,Zn,refined_metal,ROW,EU27,
1820,Zn,refined_metal,ROW,CHN,
1820,Zn,refined_metal,ROW,ROW,
1820,Zn,scrap,EU27,EU27,
1820,Zn,scrap,EU27,CHN,
1820,Zn,scrap,EU27,ROW,
1820,Zn,scrap,CHN,EU27,
1820,Zn,scrap,CHN,CHN,
1820,Zn,scrap,CHN,ROW,
1820,Zn,scrap,ROW,EU27,
1820,Zn,scrap,ROW,CHN,
1820,Zn,scrap,ROW,ROW,
1820,Ni,concentrate,EU27,EU27,
1820,Ni,concentrate,EU27,CHN,
1820,Ni,concentrate,EU27,ROW,
1820,Ni,concentrate,CHN,EU27,
1820,Ni,concentrate,CHN,CHN,
1820,Ni,concentrate,CHN,ROW,
1820,Ni,concentrate,ROW,EU27,
1820,Ni,concentrate,ROW,CHN,
1820,Ni,concentrate,ROW,ROW,
1820,Ni,refined_metal,EU27,EU27,
1820,Ni,refined_metal,EU27,CHN,
1820,Ni,refined_metal,EU27,ROW,
1820,Ni,refined_metal,CHN,EU27,
1820,Ni,refined_metal,CHN,CHN,
1820,Ni,refined_metal,CHN,ROW,
1820,Ni,refined_metal,ROW,EU27,
1820,Ni,refined_metal,ROW,CHN,
1820,Ni,refined_metal,ROW,ROW,
1820,Ni,scrap,EU27,EU27,
1820,Ni,scrap,EU27,CHN,
1820,Ni,scrap,EU27,ROW,
1820,Ni,scrap,CHN,EU27,
1820,Ni,scrap,CHN,CHN,
1820,Ni,scrap,CHN,ROW,
1820,Ni,scrap,ROW,EU27,
1820,Ni,scrap,ROW,CHN,
1820,Ni,scrap,ROW,ROW,
1820,Sn,concentrate,EU27,EU27,
1820,Sn,concentrate,EU27,CHN,
1820,Sn,concentrate,EU27,ROW,
1820,Sn,concentrate,CHN,EU27,
1820,Sn,concentrate,CHN,CHN,
1820,Sn,concentrate,CHN,ROW,
1820,Sn,concentrate,ROW,EU27,
1820,Sn,concentrate,ROW,CHN,
1820,Sn,concentrate,ROW,ROW,
1820,Sn,refined_metal,EU27,EU27,
1820,Sn,refined_metal,EU27,CHN,
1820,Sn,refined_metal,EU27,ROW,
1820,Sn,refined_metal,CHN,EU27,
1820,Sn,refined_metal,CHN,CHN,
1820,Sn,refined_metal,CHN,ROW,
1820,Sn,refined_metal,ROW,EU27,
1820,Sn,refined_metal,ROW,CHN,
1820,Sn,refined_metal,ROW,ROW,
1820,Sn,scrap,EU27,EU27,
1820,Sn,scrap,EU27,CHN,
1820,Sn,scrap,EU27,ROW,
1820,Sn,scrap,CHN,EU27,
1820,Sn,scrap,CHN,CHN,
1820,Sn,scrap,CHN,ROW,
1820,Sn,scrap,ROW,EU27,
1820,Sn,scrap,ROW,CHN,
1820,Sn,scrap,ROW,ROW,
1821,Zn,concentrate,EU27,EU27,
1821,Zn,concentrate,EU27,CHN,
1821,Zn,concentrate,EU27,ROW,
1821,Zn,concentrate,CHN,EU27,
1821,Zn,concentrate,CHN,CHN,
1821,Zn,concentrate,CHN,ROW,
1821,Zn,concentrate,ROW,EU27,
1821,Zn,concentrate,ROW,CHN,
1821,Zn,concentrate,ROW,ROW,
1821,Zn,refined_metal,EU27,EU27,
1821,Zn,refined_metal,EU27,CHN,
1821,Zn,refined_metal,EU27,ROW,
1821,Zn,refined_metal,CHN,EU27,
1821,Zn,refined_metal,CHN,CHN,
1821,Zn,refined_metal,CHN,ROW,
1821,Zn,refined_metal,ROW,EU27,
1821,Zn,refined_metal,ROW,CHN,
1821,Zn,refined_metal,ROW,ROW,
1821,Zn,scrap,EU27,EU27,
1821,Zn,scrap,EU27,CHN,
1821,Zn,scrap,EU27,ROW,
1821,Zn,scrap,CHN,EU27,
1821,Zn,scrap,CHN,CHN,
1821,Zn,scrap,CHN,ROW,
1821,Zn,scrap,ROW,EU27,
1821,Zn,scrap,ROW,CHN,
1821,Zn,scrap,ROW,ROW,
1821,Ni,concentrate,EU27,EU27,
1821,Ni,concentrate,EU27,CHN,
1821,Ni,concentrate,EU27,ROW,
1821,Ni,concentrate,CHN,EU27,
1821,Ni,concentrate,CHN,CHN,
1821,Ni,concentrate,CHN,ROW,
1821,Ni,concentrate,ROW,EU27,
1821,Ni,concentrate,ROW,CHN,
1821,Ni,concentrate,ROW,ROW,
1821,Ni,refined_metal,EU27,EU27,
1821,Ni,refined_metal,EU27,CHN,
1821,Ni,refined_metal,EU27,ROW,
1821,Ni,refined_metal,CHN,EU27,
1821,Ni,refined_metal,CHN,CHN,
1821,Ni,refined_metal,CHN,ROW,
1821,Ni,refined_metal,ROW,EU27,
1821,Ni,refined_metal,ROW,CHN,
1821,Ni,refined_metal,ROW,ROW,
1821,Ni,scrap,EU27,EU27,
1821,Ni,scrap,EU27,CHN,
1821,Ni,scrap,EU27,ROW,
1821,Ni,scrap,CHN,EU27,
1821,Ni,scrap,CHN,CHN,
1821,Ni,scrap,CHN,ROW,
1821,Ni,scrap,ROW,EU27,
1821,Ni,scrap,ROW,CHN,
1821,Ni,scrap,ROW,ROW,
1821,Sn,concentrate,EU27,EU27,
1821,Sn,concentrate,EU27,CHN,
1821,Sn,concentrate,EU27,ROW,
1821,Sn,concentrate,CHN,EU27,
1821,Sn,concentrate,CHN,CHN,
1821,Sn,concentrate,CHN,ROW,
1821,Sn,concentrate,ROW,EU27,
1821,Sn,concentrate,ROW,CHN,
1821,Sn,concentrate,ROW,ROW,
1821,Sn,refined_metal,EU27,EU27,
1821,Sn,refined_metal,EU27,CHN,
1821,Sn,refined_metal,EU27,ROW,
1821,Sn,refined_metal,CHN,EU27,
1821,Sn,refined_metal,CHN,CHN,
1821,Sn,refined_metal,CHN,ROW,
1821,Sn,refined_metal,ROW,EU27,
1821,Sn,refined_metal,ROW,CHN,
1821,Sn,refined_metal,ROW,ROW,
1821,Sn,scrap,EU27,EU27,
1821,Sn,scrap,EU27,CHN,
1821,Sn,scrap,EU27,ROW,
1821,Sn,scrap,CHN,EU27,
1821,Sn,scrap,CHN,CHN,
1821,Sn,scrap,CHN,ROW,
1821,Sn,scrap,ROW,EU27,
1821,Sn,scrap,ROW,CHN,
1821,Sn,scrap,ROW,ROW,
1822,Zn,concentrate,EU27,EU27,
1822,Zn,concentrate,EU27,CHN,
1822,Zn,concentrate,EU27,ROW,
1822,Zn,concentrate,CHN,EU27,
1822,Zn,concentrate,CHN,CHN,
1822,Zn,concentrate,CHN,ROW,
1822,Zn,concentrate,ROW,EU27,
1822,Zn,concentrate,ROW,CHN,
1822,Zn,concentrate,ROW,ROW,
1822,Zn,refined_metal,EU27,EU27,
1822,Zn,refined_metal,EU27,CHN,
1822,Zn,refined_metal,EU27,ROW,
1822,Zn,refined_metal,CHN,EU27,
1822,Zn,refined_metal,CHN,CHN,
1822,Zn,refined_metal,CHN,ROW,
1822,Zn,refined_metal,ROW,EU27,
1822,Zn,refined_metal,ROW,CHN,
1822,Zn,refined_metal,ROW,ROW,
1822,Zn,scrap,EU27,EU27,
1822,Zn,scrap,EU27,CHN,
1822,Zn,scrap,EU27,ROW,
1822,Zn,scrap,CHN,EU27,
1822,Zn,scrap,CHN,CHN,
1822,Zn,scrap,CHN,ROW,
1822,Zn,scrap,ROW,EU27,
1822,Zn,scrap,ROW,CHN,
1822,Zn,scrap,ROW,ROW,
1822,Ni,concentrate,EU27,EU27,
1822,Ni,concentrate,EU27,CHN,
1822,Ni,concentrate,EU27,ROW,
1822,Ni,concentrate,CHN,EU27,
1822,Ni,concentrate,CHN,CHN,
1822,Ni,concentrate,CHN,ROW,
1822,Ni,concentrate,ROW,EU27,
1822,Ni,concentrate,ROW,CHN,
1822,Ni,concentrate,ROW,ROW,
1822,Ni,refined_metal,EU27,EU27,
1822,Ni,refined_metal,EU27,CHN,
1822,Ni,refined_metal,EU27,ROW,
1822,Ni,refined_metal,CHN,EU27,
1822,Ni,refined_metal,CHN,CHN,
1822,Ni,refined_metal,CHN,ROW,
1822,Ni,refined_metal,ROW,EU27,
1822,Ni,refined_metal,ROW,CHN,
1822,Ni,refined_metal,ROW,ROW,
1822,Ni,scrap,EU27,EU27,
1822,Ni,scrap,EU27,CHN,
1822,Ni,scrap,EU27,ROW,
1822,Ni,scrap,CHN,EU27,
1822,Ni,scrap,CHN,CHN,
1822,Ni,scrap,CHN,ROW,
1822,Ni,scrap,ROW,EU27,
1822,Ni,scrap,ROW,CHN,
1822,Ni,scrap,ROW,ROW,
1822,Sn,concentrate,EU27,EU27,
1822,Sn,concentrate,EU27,CHN,
1822,Sn,concentrate,EU27,ROW,
1822,Sn,concentrate,CHN,EU27,
1822,Sn,concentrate,CHN,CHN,
1822,Sn,concentrate,CHN,ROW,
1822,Sn,concentrate,ROW,EU27,
1822,Sn,concentrate,ROW,CHN,
1822,Sn,concentrate,ROW,ROW,
1822,Sn,refined_metal,EU27,EU27,
1822,Sn,refined_metal,EU27,CHN,
1822,Sn,refined_metal,EU27,ROW,
1822,Sn,refined_metal,CHN,EU27,
1822,Sn,refined_metal,CHN,CHN,
1822,Sn,refined_metal,CHN,ROW,
1822,Sn,refined_metal,ROW,EU27,
1822,Sn,refined_metal,ROW,CHN,
1822,Sn,refined_metal,ROW,ROW,
1822,Sn,scrap,EU27,EU27,
1822,Sn,scrap,EU27,CHN,
1822,Sn,scrap,EU27,ROW,
1822,Sn,scrap,CHN,EU27,
1822,Sn,scrap,CHN,CHN,
1822,Sn,scrap,CHN,ROW,
1822,Sn,scrap,ROW,EU27,
1822,Sn,scrap,ROW,CHN,
1822,Sn,scrap,ROW,ROW,
1823,Zn,concentrate,EU27,EU27,
1823,Zn,concentrate,EU27,CHN,
1823,Zn,concentrate,EU27,ROW,
1823,Zn,concentrate,CHN,EU27,
1823,Zn,concentrate,CHN,CHN,
1823,Zn,concentrate,CHN,ROW,
1823,Zn,concentrate,ROW,EU27,
1823,Zn,concentrate,ROW,CHN,
1823,Zn,concentrate,ROW,ROW,
1823,Zn,refined_metal,EU27,EU27,
1823,Zn,refined_metal,EU27,CHN,
