t,m,c,hs92,hs22,rel_gap_vs_hs22
2022,Ni,concentrate,4959402.548,6413923.4,-0.22677552588170913
2022,Ni,refined_metal,34596575.757,34378877.607,0.006332322785188084
2022,Ni,scrap,1391552.925,1396758.742,-0.0037270695671794397
2022,Sn,concentrate,1249936.5329999998,1599623.9640000002,-0.21860602170873722
2022,Sn,refined_metal,8758389.399,8531711.037,0.02656892164033095
2022,Sn,scrap,179569.408,183438.651,-0.02109284482254515
2022,Zn,concentrate,14711161.877,14642369.148,0.004698196603614291
2022,Zn,refined_metal,18690365.155,18813984.994999997,-0.006570635622004021
2022,Zn,scrap,1026416.5530000001,1072921.961,-0.04334463240612131
2023,Ni,concentrate,5074410.901,5195572.996000001,-0.0233202565132436
2023,Ni,refined_metal,31950774.563,32565075.839,-0.018863806092056203
2023,Ni,scrap,1467501.165,1502818.5590000001,-0.02350077046127302
2023,Sn,concentrate,969262.6240000001,1288798.284,-0.2479330271982267
2023,Sn,refined_metal,6442031.832,6592057.152,-0.022758498074380677
2023,Sn,scrap,184276.95500000002,193104.652,-0.04571457449922017
2023,Zn,concentrate,10768260.261999998,11508371.313000001,-0.06431066837094176
2023,Zn,refined_metal,15786328.572999999,15885848.247,-0.006264674851013676
2023,Zn,scrap,657192.8740000001,658163.165,-0.00147424081382611
2024,Ni,concentrate,4966071.853,5011501.5,-0.009065077003369126
2024,Ni,refined_metal,27492960.996,28025870.604,-0.019014917164569347
2024,Ni,scrap,1304706.491,1334757.6439999999,-0.02251431421658143
2024,Sn,concentrate,1755509.734,1773123.813,-0.00993392501463187
2024,Sn,refined_metal,6702166.687000001,6942514.495,-0.03461970560855116
2024,Sn,scrap,171414.85499999998,182549.698,-0.060996227997046716
2024,Zn,concentrate,12338187.329,12271426.127,0.005440378429456489
2024,Zn,refined_metal,14589949.317,14668361.662999999,-0.005345678529169968
2024,Zn,scrap,626569.06,637641.559,-0.017364769977296843
