t,r,m,p,value
1820,EU27,Zn,primary_extraction,0.0
1820,EU27,Zn,beneficiation_concentration,0.0
1820,EU27,Zn,refining_primary,0.0
1820,EU27,Zn,fabrication_and_manufacturing,0.0
1820,EU27,Zn,use_phase,0.0
1820,EU27,Zn,collection,0.0
1820,EU27,Zn,sorting_preprocessing,0.0
1820,EU27,Zn,recycling_refining_secondary,0.0
1820,EU27,Zn,residue_treatment_disposal,0.0
1820,EU27,Zn,environment,0.0
1820,EU27,Ni,primary_extraction,0.0
1820,EU27,Ni,beneficiation_concentration,0.0
1820,EU27,Ni,refining_primary,0.0
1820,EU27,Ni,fabrication_and_manufacturing,0.0
1820,EU27,Ni,use_phase,0.0
1820,EU27,Ni,collection,0.0
1820,EU27,Ni,sorting_preprocessing,0.0
1820,EU27,Ni,recycling_refining_secondary,0.0
1820,EU27,Ni,residue_treatment_disposal,0.0
1820,EU27,Ni,environment,0.0
1820,EU27,Sn,primary_extraction,0.0
1820,EU27,Sn,beneficiation_concentration,0.0
1820,EU27,Sn,refining_primary,0.0
1820,EU27,Sn,fabrication_and_manufacturing,0.0
1820,EU27,Sn,use_phase,0.0
1820,EU27,Sn,collection,0.0
1820,EU27,Sn,sorting_preprocessing,0.0
1820,EU27,Sn,recycling_refining_secondary,0.0
1820,EU27,Sn,residue_treatment_disposal,0.0
1820,EU27,Sn,environment,0.0
1820,CHN,Zn,primary_extraction,0.0
1820,CHN,Zn,beneficiation_concentration,0.0
1820,CHN,Zn,refining_primary,0.0
1820,CHN,Zn,fabrication_and_manufacturing,0.0
1820,CHN,Zn,use_phase,0.0
1820,CHN,Zn,collection,0.0
1820,CHN,Zn,sorting_preprocessing,0.0
1820,CHN,Zn,recycling_refining_secondary,0.0
1820,CHN,Zn,residue_treatment_disposal,0.0
1820,CHN,Zn,environment,0.0
1820,CHN,Ni,primary_extraction,0.0
1820,CHN,Ni,beneficiation_concentration,0.0
1820,CHN,Ni,refining_primary,0.0
1820,CHN,Ni,fabrication_and_manufacturing,0.0
1820,CHN,Ni,use_phase,0.0
1820,CHN,Ni,collection,0.0
1820,CHN,Ni,sorting_preprocessing,0.0
1820,CHN,Ni,recycling_refining_secondary,0.0
1820,CHN,Ni,residue_treatment_disposal,0.0
1820,CHN,Ni,environment,0.0
1820,CHN,Sn,primary_extraction,0.0
1820,CHN,Sn,beneficiation_concentration,0.0
1820,CHN,Sn,refining_primary,0.0
1820,CHN,Sn,fabrication_and_manufacturing,0.0
1820,CHN,Sn,use_phase,0.0
1820,CHN,Sn,collection,0.0
1820,CHN,Sn,sorting_preprocessing,0.0
1820,CHN,Sn,recycling_refining_secondary,0.0
1820,CHN,Sn,residue_treatment_disposal,0.0
1820,CHN,Sn,environment,0.0
1820,ROW,Zn,primary_extraction,0.0
1820,ROW,Zn,beneficiation_concentration,0.0
1820,ROW,Zn,refining_primary,0.0
1820,ROW,Zn,fabrication_and_manufacturing,0.0
1820,ROW,Zn,use_phase,0.0
1820,ROW,Zn,collection,0.0
1820,ROW,Zn,sorting_preprocessing,0.0
1820,ROW,Zn,recycling_refining_secondary,0.0
1820,ROW,Zn,residue_treatment_disposal,0.0
1820,ROW,Zn,environment,0.0
1820,ROW,Ni,primary_extraction,0.0
1820,ROW,Ni,beneficiation_concentration,0.0
1820,ROW,Ni,refining_primary,0.0
1820,ROW,Ni,fabrication_and_manufacturing,0.0
1820,ROW,Ni,use_phase,0.0
1820,ROW,Ni,collection,0.0
1820,ROW,Ni,sorting_preprocessing,0.0
1820,ROW,Ni,recycling_refining_secondary,0.0
1820,ROW,Ni,residue_treatment_disposal,0.0
1820,ROW,Ni,environment,0.0
1820,ROW,Sn,primary_extraction,0.0
1820,ROW,Sn,beneficiation_concentration,0.0
1820,ROW,Sn,refining_primary,0.0
1820,ROW,Sn,fabrication_and_manufacturing,0.0
1820,ROW,Sn,use_phase,0.0
1820,ROW,Sn,collection,0.0
1820,ROW,Sn,sorting_preprocessing,0.0
1820,ROW,Sn,recycling_refining_secondary,0.0
1820,ROW,Sn,residue_treatment_disposal,0.0
1820,ROW,Sn,environment,0.0
1821,EU27,Zn,primary_extraction,0.0
1821,EU27,Zn,beneficiation_concentration,0.0
1821,EU27,Zn,refining_primary,0.0
1821,EU27,Zn,fabrication_and_manufacturing,0.0
1821,EU27,Zn,use_phase,0.0
1821,EU27,Zn,collection,0.0
1821,EU27,Zn,sorting_preprocessing,0.0
1821,EU27,Zn,recycling_refining_secondary,0.0
1821,EU27,Zn,residue_treatment_disposal,0.0
1821,EU27,Zn,environment,0.0
1821,EU27,Ni,primary_extraction,0.0
1821,EU27,Ni,beneficiation_concentration,0.0
1821,EU27,Ni,refining_primary,0.0
1821,EU27,Ni,fabrication_and_manufacturing,0.0
1821,EU27,Ni,use_phase,0.0
1821,EU27,Ni,collection,0.0
1821,EU27,Ni,sorting_preprocessing,0.0
1821,EU27,Ni,recycling_refining_secondary,0.0
1821,EU27,Ni,residue_treatment_disposal,0.0
1821,EU27,Ni,environment,0.0
1821,EU27,Sn,primary_extraction,0.0
1821,EU27,Sn,beneficiation_concentration,0.0
1821,EU27,Sn,refining_primary,0.0
1821,EU27,Sn,fabrication_and_manufacturing,0.0
1821,EU27,Sn,use_phase,0.0
1821,EU27,Sn,collection,0.0
1821,EU27,Sn,sorting_preprocessing,0.0
1821,EU27,Sn,recycling_refining_secondary,0.0
1821,EU27,Sn,residue_treatment_disposal,0.0
1821,EU27,Sn,environment,0.0
1821,CHN,Zn,primary_extraction,0.0
1821,CHN,Zn,beneficiation_concentration,0.0
1821,CHN,Zn,refining_primary,0.0
1821,CHN,Zn,fabrication_and_manufacturing,0.0
1821,CHN,Zn,use_phase,0.0
1821,CHN,Zn,collection,0.0
1821,CHN,Zn,sorting_preprocessing,0.0
1821,CHN,Zn,recycling_refining_secondary,0.0
1821,CHN,Zn,residue_treatment_disposal,0.0
1821,CHN,Zn,environment,0.0
1821,CHN,Ni,primary_extraction,0.0
1821,CHN,Ni,beneficiation_concentration,0.0
1821,CHN,Ni,refining_primary,0.0
1821,CHN,Ni,fabrication_and_manufacturing,0.0
1821,CHN,Ni,use_phase,0.0
1821,CHN,Ni,collection,0.0
1821,CHN,Ni,sorting_preprocessing,0.0
1821,CHN,Ni,recycling_refining_secondary,0.0
1821,CHN,Ni,residue_treatment_disposal,0.0
1821,CHN,Ni,environment,0.0
1821,CHN,Sn,primary_extraction,0.0
1821,CHN,Sn,beneficiation_concentration,0.0
1821,CHN,Sn,refining_primary,0.0
1821,CHN,Sn,fabrication_and_manufacturing,0.0
1821,CHN,Sn,use_phase,0.0
1821,CHN,Sn,collection,0.0
1821,CHN,Sn,sorting_preprocessing,0.0
1821,CHN,Sn,recycling_refining_secondary,0.0
1821,CHN,Sn,residue_treatment_disposal,0.0
1821,CHN,Sn,environment,0.0
1821,ROW,Zn,primary_extraction,0.0
1821,ROW,Zn,beneficiation_concentration,0.0
1821,ROW,Zn,refining_primary,0.0
1821,ROW,Zn,fabrication_and_manufacturing,0.0
1821,ROW,Zn,use_phase,0.0
1821,ROW,Zn,collection,0.0
1821,ROW,Zn,sorting_preprocessing,0.0
1821,ROW,Zn,recycling_refining_secondary,0.0
1821,ROW,Zn,residue_treatment_disposal,0.0
1821,ROW,Zn,environment,0.0
1821,ROW,Ni,primary_extraction,0.0
1821,ROW,Ni,beneficiation_concentration,0.0
1821,ROW,Ni,refining_primary,0.0
1821,ROW,Ni,fabrication_and_manufacturing,0.0
1821,ROW,Ni,use_phase,0.0
1821,ROW,Ni,collection,0.0
1821,ROW,Ni,sorting_preprocessing,0.0
1821,ROW,Ni,recycling_refining_secondary,0.0
1821,ROW,Ni,residue_treatment_disposal,0.0
1821,ROW,Ni,environment,0.0
1821,ROW,Sn,primary_extraction,0.0
1821,ROW,Sn,beneficiation_concentration,0.0
1821,ROW,Sn,refining_primary,0.0
1821,ROW,Sn,fabrication_and_manufacturing,0.0
1821,ROW,Sn,use_phase,0.0
1821,ROW,Sn,collection,0.0
1821,ROW,Sn,sorting_preprocessing,0.0
1821,ROW,Sn,recycling_refining_secondary,0.0
1821,ROW,Sn,residue_treatment_disposal,0.0
1821,ROW,Sn,environment,0.0
1822,EU27,Zn,primary_extraction,0.0
