r,m,c,t,value
EU27,Zn,concentrate,1820,0.0
EU27,Zn,refined_metal,1820,0.0
EU27,Zn,scrap,1820,0.0
EU27,Ni,concentrate,1820,0.0
EU27,Ni,refined_metal,1820,0.0
EU27,Ni,scrap,1820,0.0
EU27,Sn,concentrate,1820,0.0
EU27,Sn,refined_metal,1820,0.0
EU27,Sn,scrap,1820,0.0
CHN,Zn,concentrate,1820,0.0
CHN,Zn,refined_metal,1820,0.0
CHN,Zn,scrap,1820,0.0
CHN,Ni,concentrate,1820,0.0
CHN,Ni,refined_metal,1820,0.0
CHN,Ni,scrap,1820,0.0
CHN,Sn,concentrate,1820,0.0
CHN,Sn,refined_metal,1820,0.0
CHN,Sn,scrap,1820,0.0
ROW,Zn,concentrate,1820,0.0
ROW,Zn,refined_metal,1820,0.0
ROW,Zn,scrap,1820,0.0
ROW,Ni,concentrate,1820,0.0
ROW,Ni,refined_metal,1820,0.0
ROW,Ni,scrap,1820,0.0
ROW,Sn,concentrate,1820,0.0
ROW,Sn,refined_metal,1820,0.0
ROW,Sn,scrap,1820,0.0
EU27,Zn,concentrate,1821,0.0
EU27,Zn,refined_metal,1821,0.0
EU27,Zn,scrap,1821,0.0
EU27,Ni,concentrate,1821,0.0
EU27,Ni,refined_metal,1821,0.0
EU27,Ni,scrap,1821,0.0
EU27,Sn,concentrate,1821,0.0
EU27,Sn,refined_metal,1821,0.0
EU27,Sn,scrap,1821,0.0
CHN,Zn,concentrate,1821,0.0
CHN,Zn,refined_metal,1821,0.0
CHN,Zn,scrap,1821,0.0
CHN,Ni,concentrate,1821,0.0
CHN,Ni,refined_metal,1821,0.0
CHN,Ni,scrap,1821,0.0
CHN,Sn,concentrate,1821,0.0
CHN,Sn,refined_metal,1821,0.0
CHN,Sn,scrap,1821,0.0
ROW,Zn,concentrate,1821,0.0
ROW,Zn,refined_metal,1821,0.0
ROW,Zn,scrap,1821,0.0
ROW,Ni,concentrate,1821,0.0
ROW,Ni,refined_metal,1821,0.0
ROW,Ni,scrap,1821,0.0
ROW,Sn,concentrate,1821,0.0
ROW,Sn,refined_metal,1821,0.0
ROW,Sn,scrap,1821,0.0
EU27,Zn,concentrate,1822,0.0
EU27,Zn,refined_metal,1822,0.0
EU27,Zn,scrap,1822,0.0
EU27,Ni,concentrate,1822,0.0
EU27,Ni,refined_metal,1822,0.0
EU27,Ni,scrap,1822,0.0
EU27,Sn,concentrate,1822,0.0
EU27,Sn,refined_metal,1822,0.0
EU27,Sn,scrap,1822,0.0
CHN,Zn,concentrate,1822,0.0
CHN,Zn,refined_metal,1822,0.0
CHN,Zn,scrap,1822,0.0
CHN,Ni,concentrate,1822,0.0
CHN,Ni,refined_metal,1822,0.0
CHN,Ni,scrap,1822,0.0
CHN,Sn,concentrate,1822,0.0
CHN,Sn,refined_metal,1822,0.0
CHN,Sn,scrap,1822,0.0
ROW,Zn,concentrate,1822,0.0
ROW,Zn,refined_metal,1822,0.0
ROW,Zn,scrap,1822,0.0
ROW,Ni,concentrate,1822,0.0
ROW,Ni,refined_metal,1822,0.0
ROW,Ni,scrap,1822,0.0
ROW,Sn,concentrate,1822,0.0
ROW,Sn,refined_metal,1822,0.0
ROW,Sn,scrap,1822,0.0
EU27,Zn,concentrate,1823,0.0
EU27,Zn,refined_metal,1823,0.0
EU27,Zn,scrap,1823,0.0
EU27,Ni,concentrate,1823,0.0
EU27,Ni,refined_metal,1823,0.0
EU27,Ni,scrap,1823,0.0
EU27,Sn,concentrate,1823,0.0
EU27,Sn,refined_metal,1823,0.0
EU27,Sn,scrap,1823,0.0
CHN,Zn,concentrate,1823,0.0
CHN,Zn,refined_metal,1823,0.0
CHN,Zn,scrap,1823,0.0
CHN,Ni,concentrate,1823,0.0
CHN,Ni,refined_metal,1823,0.0
CHN,Ni,scrap,1823,0.0
CHN,Sn,concentrate,1823,0.0
CHN,Sn,refined_metal,1823,0.0
CHN,Sn,scrap,1823,0.0
ROW,Zn,concentrate,1823,0.0
ROW,Zn,refined_metal,1823,0.0
ROW,Zn,scrap,1823,0.0
ROW,Ni,concentrate,1823,0.0
ROW,Ni,refined_metal,1823,0.0
ROW,Ni,scrap,1823,0.0
ROW,Sn,concentrate,1823,0.0
ROW,Sn,refined_metal,1823,0.0
ROW,Sn,scrap,1823,0.0
EU27,Zn,concentrate,1824,0.0
EU27,Zn,refined_metal,1824,0.0
EU27,Zn,scrap,1824,0.0
EU27,Ni,concentrate,1824,0.0
EU27,Ni,refined_metal,1824,0.0
EU27,Ni,scrap,1824,0.0
EU27,Sn,concentrate,1824,0.0
EU27,Sn,refined_metal,1824,0.0
EU27,Sn,scrap,1824,0.0
CHN,Zn,concentrate,1824,0.0
CHN,Zn,refined_metal,1824,0.0
CHN,Zn,scrap,1824,0.0
CHN,Ni,concentrate,1824,0.0
CHN,Ni,refined_metal,1824,0.0
CHN,Ni,scrap,1824,0.0
CHN,Sn,concentrate,1824,0.0
CHN,Sn,refined_metal,1824,0.0
CHN,Sn,scrap,1824,0.0
ROW,Zn,concentrate,1824,0.0
ROW,Zn,refined_metal,1824,0.0
ROW,Zn,scrap,1824,0.0
ROW,Ni,concentrate,1824,0.0
ROW,Ni,refined_metal,1824,0.0
ROW,Ni,scrap,1824,0.0
ROW,Sn,concentrate,1824,0.0
