t,r,m,j,value
1820,CHN,Ni,computers_and_precision_instruments,
1820,CHN,Ni,construction,
1820,CHN,Ni,electrical_equipment,
1820,CHN,Ni,machinery_and_equipment,
1820,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,
1820,CHN,Ni,other_transport_equipment,
1820,CHN,Ni,products_nec,
1820,CHN,Sn,computers_and_precision_instruments,
1820,CHN,Sn,construction,
1820,CHN,Sn,electrical_equipment,
1820,CHN,Sn,machinery_and_equipment,
1820,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,
1820,CHN,Sn,other_transport_equipment,
1820,CHN,Sn,products_nec,
1820,CHN,Zn,computers_and_precision_instruments,
1820,CHN,Zn,construction,
1820,CHN,Zn,electrical_equipment,
1820,CHN,Zn,machinery_and_equipment,
1820,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,
1820,CHN,Zn,other_transport_equipment,
1820,CHN,Zn,products_nec,
1820,EU27,Ni,computers_and_precision_instruments,
1820,EU27,Ni,construction,
1820,EU27,Ni,electrical_equipment,
1820,EU27,Ni,machinery_and_equipment,
1820,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,
1820,EU27,Ni,other_transport_equipment,
1820,EU27,Ni,products_nec,
1820,EU27,Sn,computers_and_precision_instruments,
1820,EU27,Sn,construction,
1820,EU27,Sn,electrical_equipment,
1820,EU27,Sn,machinery_and_equipment,
1820,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,
1820,EU27,Sn,other_transport_equipment,
1820,EU27,Sn,products_nec,
1820,EU27,Zn,computers_and_precision_instruments,
1820,EU27,Zn,construction,
1820,EU27,Zn,electrical_equipment,
1820,EU27,Zn,machinery_and_equipment,
1820,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,
1820,EU27,Zn,other_transport_equipment,
1820,EU27,Zn,products_nec,
1820,ROW,Ni,computers_and_precision_instruments,
1820,ROW,Ni,construction,
1820,ROW,Ni,electrical_equipment,
1820,ROW,Ni,machinery_and_equipment,
1820,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,
1820,ROW,Ni,other_transport_equipment,
1820,ROW,Ni,products_nec,
1820,ROW,Sn,computers_and_precision_instruments,
1820,ROW,Sn,construction,
1820,ROW,Sn,electrical_equipment,
1820,ROW,Sn,machinery_and_equipment,
1820,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,
1820,ROW,Sn,other_transport_equipment,
1820,ROW,Sn,products_nec,
1820,ROW,Zn,computers_and_precision_instruments,
1820,ROW,Zn,construction,
1820,ROW,Zn,electrical_equipment,
1820,ROW,Zn,machinery_and_equipment,
1820,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,
1820,ROW,Zn,other_transport_equipment,
1820,ROW,Zn,products_nec,
1821,CHN,Ni,computers_and_precision_instruments,
1821,CHN,Ni,construction,
1821,CHN,Ni,electrical_equipment,
