r,m,j,value
EU27,Zn,construction,4.290790820378014
EU27,Zn,computers_and_precision_instruments,2.37695434910729
EU27,Zn,electrical_equipment,3.1835983169506847
EU27,Zn,machinery_and_equipment,3.1835983169506847
EU27,Zn,motor_vehicles_trailers_and_semi_trailers,2.612989228450941
EU27,Zn,other_transport_equipment,3.3141268154899466
EU27,Zn,products_nec,2.143508654936226
EU27,Ni,construction,4.011418417044724
EU27,Ni,computers_and_precision_instruments,2.37695434910729
EU27,Ni,electrical_equipment,3.1835983169506847
EU27,Ni,machinery_and_equipment,3.1835983169506847
EU27,Ni,motor_vehicles_trailers_and_semi_trailers,2.612989228450941
EU27,Ni,other_transport_equipment,3.3141268154899466
EU27,Ni,products_nec,2.074021346572385
EU27,Sn,construction,4.18658216257613
EU27,Sn,computers_and_precision_instruments,2.37695434910729
EU27,Sn,electrical_equipment,3.1835983169506847
EU27,Sn,machinery_and_equipment,3.1835983169506847
EU27,Sn,motor_vehicles_trailers_and_semi_trailers,2.612989228450941
EU27,Sn,other_transport_equipment,3.3141268154899466
EU27,Sn,products_nec,1.9170641607770151
CHN,Zn,construction,3.4850382778351205
CHN,Zn,computers_and_precision_instruments,2.37695434910729
CHN,Zn,electrical_equipment,3.1835983169506847
CHN,Zn,machinery_and_equipment,3.1835983169506847
CHN,Zn,motor_vehicles_trailers_and_semi_trailers,2.612989228450941
CHN,Zn,other_transport_equipment,3.3141268154899466
CHN,Zn,products_nec,2.330712468678135
CHN,Ni,construction,3.416560549237356
CHN,Ni,computers_and_precision_instruments,2.37695434910729
CHN,Ni,electrical_equipment,3.1835983169506847
CHN,Ni,machinery_and_equipment,3.1835983169506847
CHN,Ni,motor_vehicles_trailers_and_semi_trailers,2.612989228450941
CHN,Ni,other_transport_equipment,3.3141268154899466
CHN,Ni,products_nec,2.2914369115731925
CHN,Sn,construction,4.068106607007161
CHN,Sn,computers_and_precision_instruments,2.37695434910729
CHN,Sn,electrical_equipment,3.1835983169506847
CHN,Sn,machinery_and_equipment,3.1835983169506847
CHN,Sn,motor_vehicles_trailers_and_semi_trailers,2.612989228450941
CHN,Sn,other_transport_equipment,3.3141268154899466
CHN,Sn,products_nec,2.3421574842525006
ROW,Zn,construction,4.045048479829438
ROW,Zn,computers_and_precision_instruments,2.37695434910729
ROW,Zn,electrical_equipment,3.1835983169506847
ROW,Zn,machinery_and_equipment,3.1835983169506847
ROW,Zn,motor_vehicles_trailers_and_semi_trailers,2.612989228450941
ROW,Zn,other_transport_equipment,3.3141268154899466
ROW,Zn,products_nec,2.166446050639497
ROW,Ni,construction,3.952361910881855
ROW,Ni,computers_and_precision_instruments,2.37695434910729
ROW,Ni,electrical_equipment,3.1835983169506847
ROW,Ni,machinery_and_equipment,3.1835983169506847
ROW,Ni,motor_vehicles_trailers_and_semi_trailers,2.612989228450941
ROW,Ni,other_transport_equipment,3.3141268154899466
ROW,Ni,products_nec,2.228593781253948
ROW,Sn,construction,4.192553640901046
ROW,Sn,computers_and_precision_instruments,2.37695434910729
ROW,Sn,electrical_equipment,3.1835983169506847
ROW,Sn,machinery_and_equipment,3.1835983169506847
ROW,Sn,motor_vehicles_trailers_and_semi_trailers,2.612989228450941
ROW,Sn,other_transport_equipment,3.3141268154899466
ROW,Sn,products_nec,1.9439964823364848
