t,r,m,value
1820,EU27,Zn,0.55
1820,EU27,Ni,0.65
1820,EU27,Sn,0.3
1820,CHN,Zn,0.45
1820,CHN,Ni,0.55
1820,CHN,Sn,0.25
1820,ROW,Zn,0.35
1820,ROW,Ni,0.45
1820,ROW,Sn,0.2
1821,EU27,Zn,0.55
1821,EU27,Ni,0.65
1821,EU27,Sn,0.3
1821,CHN,Zn,0.45
1821,CHN,Ni,0.55
1821,CHN,Sn,0.25
1821,ROW,Zn,0.35
1821,ROW,Ni,0.45
1821,ROW,Sn,0.2
1822,EU27,Zn,0.55
1822,EU27,Ni,0.65
1822,EU27,Sn,0.3
1822,CHN,Zn,0.45
1822,CHN,Ni,0.55
1822,CHN,Sn,0.25
1822,ROW,Zn,0.35
1822,ROW,Ni,0.45
1822,ROW,Sn,0.2
1823,EU27,Zn,0.55
1823,EU27,Ni,0.65
1823,EU27,Sn,0.3
1823,CHN,Zn,0.45
1823,CHN,Ni,0.55
1823,CHN,Sn,0.25
1823,ROW,Zn,0.35
1823,ROW,Ni,0.45
1823,ROW,Sn,0.2
1824,EU27,Zn,0.55
1824,EU27,Ni,0.65
1824,EU27,Sn,0.3
1824,CHN,Zn,0.45
1824,CHN,Ni,0.55
1824,CHN,Sn,0.25
1824,ROW,Zn,0.35
1824,ROW,Ni,0.45
1824,ROW,Sn,0.2
1825,EU27,Zn,0.55
1825,EU27,Ni,0.65
1825,EU27,Sn,0.3
1825,CHN,Zn,0.45
1825,CHN,Ni,0.55
1825,CHN,Sn,0.25
1825,ROW,Zn,0.35
1825,ROW,Ni,0.45
1825,ROW,Sn,0.2
1826,EU27,Zn,0.55
1826,EU27,Ni,0.65
1826,EU27,Sn,0.3
1826,CHN,Zn,0.45
1826,CHN,Ni,0.55
1826,CHN,Sn,0.25
1826,ROW,Zn,0.35
1826,ROW,Ni,0.45
1826,ROW,Sn,0.2
1827,EU27,Zn,0.55
1827,EU27,Ni,0.65
1827,EU27,Sn,0.3
1827,CHN,Zn,0.45
1827,CHN,Ni,0.55
1827,CHN,Sn,0.25
1827,ROW,Zn,0.35
1827,ROW,Ni,0.45
1827,ROW,Sn,0.2
1828,EU27,Zn,0.55
1828,EU27,Ni,0.65
1828,EU27,Sn,0.3
1828,CHN,Zn,0.45
1828,CHN,Ni,0.55
1828,CHN,Sn,0.25
1828,ROW,Zn,0.35
1828,ROW,Ni,0.45
1828,ROW,Sn,0.2
1829,EU27,Zn,0.55
1829,EU27,Ni,0.65
1829,EU27,Sn,0.3
1829,CHN,Zn,0.45
1829,CHN,Ni,0.55
1829,CHN,Sn,0.25
1829,ROW,Zn,0.35
1829,ROW,Ni,0.45
1829,ROW,Sn,0.2
1830,EU27,Zn,0.55
1830,EU27,Ni,0.65
1830,EU27,Sn,0.3
1830,CHN,Zn,0.45
1830,CHN,Ni,0.55
1830,CHN,Sn,0.25
1830,ROW,Zn,0.35
1830,ROW,Ni,0.45
1830,ROW,Sn,0.2
1831,EU27,Zn,0.55
1831,EU27,Ni,0.65
1831,EU27,Sn,0.3
1831,CHN,Zn,0.45
1831,CHN,Ni,0.55
1831,CHN,Sn,0.25
1831,ROW,Zn,0.35
1831,ROW,Ni,0.45
1831,ROW,Sn,0.2
1832,EU27,Zn,0.55
1832,EU27,Ni,0.65
1832,EU27,Sn,0.3
1832,CHN,Zn,0.45
1832,CHN,Ni,0.55
1832,CHN,Sn,0.25
1832,ROW,Zn,0.35
1832,ROW,Ni,0.45
1832,ROW,Sn,0.2
1833,EU27,Zn,0.55
1833,EU27,Ni,0.65
1833,EU27,Sn,0.3
1833,CHN,Zn,0.45
1833,CHN,Ni,0.55
1833,CHN,Sn,0.25
1833,ROW,Zn,0.35
1833,ROW,Ni,0.45
1833,ROW,Sn,0.2
1834,EU27,Zn,0.55
1834,EU27,Ni,0.65
1834,EU27,Sn,0.3
1834,CHN,Zn,0.45
1834,CHN,Ni,0.55
1834,CHN,Sn,0.25
1834,ROW,Zn,0.35
1834,ROW,Ni,0.45
1834,ROW,Sn,0.2
1835,EU27,Zn,0.55
1835,EU27,Ni,0.65
1835,EU27,Sn,0.3
1835,CHN,Zn,0.45
1835,CHN,Ni,0.55
1835,CHN,Sn,0.25
1835,ROW,Zn,0.35
1835,ROW,Ni,0.45
1835,ROW,Sn,0.2
1836,EU27,Zn,0.55
1836,EU27,Ni,0.65
1836,EU27,Sn,0.3
1836,CHN,Zn,0.45
1836,CHN,Ni,0.55
1836,CHN,Sn,0.25
1836,ROW,Zn,0.35
1836,ROW,Ni,0.45
1836,ROW,Sn,0.2
1837,EU27,Zn,0.55
1837,EU27,Ni,0.65
1837,EU27,Sn,0.3
1837,CHN,Zn,0.45
1837,CHN,Ni,0.55
1837,CHN,Sn,0.25
1837,ROW,Zn,0.35
1837,ROW,Ni,0.45
1837,ROW,Sn,0.2
1838,EU27,Zn,0.55
1838,EU27,Ni,0.65
1838,EU27,Sn,0.3
1838,CHN,Zn,0.45
1838,CHN,Ni,0.55
1838,CHN,Sn,0.25
1838,ROW,Zn,0.35
1838,ROW,Ni,0.45
1838,ROW,Sn,0.2
1839,EU27,Zn,0.55
1839,EU27,Ni,0.65
1839,EU27,Sn,0.3
1839,CHN,Zn,0.45
1839,CHN,Ni,0.55
1839,CHN,Sn,0.25
1839,ROW,Zn,0.35
1839,ROW,Ni,0.45
1839,ROW,Sn,0.2
1840,EU27,Zn,0.55
1840,EU27,Ni,0.65
1840,EU27,Sn,0.3
1840,CHN,Zn,0.45
1840,CHN,Ni,0.55
1840,CHN,Sn,0.25
1840,ROW,Zn,0.35
1840,ROW,Ni,0.45
1840,ROW,Sn,0.2
1841,EU27,Zn,0.55
1841,EU27,Ni,0.65
1841,EU27,Sn,0.3
1841,CHN,Zn,0.45
1841,CHN,Ni,0.55
1841,CHN,Sn,0.25
1841,ROW,Zn,0.35
1841,ROW,Ni,0.45
1841,ROW,Sn,0.2
1842,EU27,Zn,0.55
1842,EU27,Ni,0.65
1842,EU27,Sn,0.3
1842,CHN,Zn,0.45
1842,CHN,Ni,0.55
1842,CHN,Sn,0.25
1842,ROW,Zn,0.35
1842,ROW,Ni,0.45
1842,ROW,Sn,0.2
1843,EU27,Zn,0.55
1843,EU27,Ni,0.65
1843,EU27,Sn,0.3
1843,CHN,Zn,0.45
1843,CHN,Ni,0.55
1843,CHN,Sn,0.25
1843,ROW,Zn,0.35
1843,ROW,Ni,0.45
1843,ROW,Sn,0.2
1844,EU27,Zn,0.55
1844,EU27,Ni,0.65
1844,EU27,Sn,0.3
1844,CHN,Zn,0.45
1844,CHN,Ni,0.55
1844,CHN,Sn,0.25
1844,ROW,Zn,0.35
1844,ROW,Ni,0.45
