candidate_id,utilization_target,eol_outflow_multiplier,refined_export_cap_fraction,new_scrap_fraction_of_demand,mae_i_use,rmse_i_use,mape_i_use,mae_stock,rmse_stock,mape_stock,objective_weighted_mape
33,1.05,1.0,0.15,0.05,1.2823431806043288,5.300530811722124,0.16562522941667415,55.55643456994193,187.90488504666268,0.2759791173201149,0.22080217336839453
32,1.05,1.0,0.1,0.05,1.2941917376239085,5.326799010196671,0.16674212440405065,55.80551634484392,188.63316396351485,0.2770157790459336,0.2218789517249921
31,1.05,1.0,0.05,0.05,1.3225238738242113,5.385245513457894,0.1696569360316664,56.40083743147502,190.19716387038278,0.27972025216163293,0.22468859409664965
24,0.95,1.0,0.15,0.05,1.429131020796754,5.621214066487002,0.17419313592162294,58.126398118540386,194.13158304037705,0.28398548062746554,0.22908930827454424
23,0.95,1.0,0.1,0.05,1.4483773667323239,5.663099226977848,0.17566372030310004,58.51375478209768,195.28772615091054,0.2853479853163164,0.2305058528097082
22,0.95,1.0,0.05,0.05,1.5146423988351168,5.8375319454712145,0.17990977861631818,59.69093077445383,198.38492655377146,0.28923617694678205,0.23457297778155012
30,1.05,0.85,0.15,0.05,1.3069929064669235,5.342570526320967,0.16689237385278566,120.18557557631812,360.2894172807819,0.303351414615454,0.23512189423411983
29,1.05,0.85,0.1,0.05,1.3195223557108138,5.3748115692475675,0.16803142953947073,120.43922763355057,360.662082415365,0.3045262849883308,0.23627885726390074
28,1.05,0.85,0.05,0.05,1.3542347781899318,5.455557957274849,0.17107258565291095,121.0600853198969,361.47593946650125,0.307602828578004,0.23933770711545746
21,0.95,0.85,0.15,0.05,1.4650399010176156,5.685804794347648,0.17578390389503476,121.39019173825993,362.2995122225451,0.30881583538582635,0.24229986964043054
20,0.95,0.85,0.1,0.05,1.4857518028658945,5.734332350053839,0.1773005515405397,121.8019869960818,362.91378518736053,0.3103895181690537,0.2438450348547967
15,0.85,1.0,0.15,0.05,3.328923678622623,14.59415208723978,0.1898846668152704,77.64297573502618,230.08624832183617,0.30043963474370916,0.24516215077948977
14,0.85,1.0,0.1,0.05,3.534831577278761,15.654440786824548,0.1925162023551554,79.94920237139235,237.80914817147232,0.3028217504714844,0.24766897641331992
19,0.95,0.85,0.05,0.05,1.5593870085548929,5.943912871059602,0.18172175331589324,123.0212387781061,364.4727182000983,0.3148020408714358,0.24826189709366453
36,1.05,1.15,0.15,0.05,1.2616848946720662,5.261128647025298,0.1645627775483712,121.12921981748164,324.11477174517114,0.33930091529201667,0.25193184642019395
12,0.85,0.85,0.15,0.05,3.6601278212908612,15.851922916958445,0.1927678930189138,104.07431060099049,292.2332933655387,0.31241892251210696,0.25259340776551037
35,1.05,1.15,0.1,0.05,1.273363500706652,5.288281157989206,0.1656664591353564,121.34378954940739,324.52641053155685,0.3402021231437755,0.25293429113956595
13,0.85,1.0,0.05,0.05,3.9347230271300146,17.7293458754936,0.19913362831226747,84.28738365266814,252.40990688287604,0.3085224088852511,0.2538280185987593
11,0.85,0.85,0.1,0.05,3.8831850833819295,16.982704203072387,0.19552578924323724,103.5348529037306,289.7705645901078,0.31472116525605237,0.2551234772496448
34,1.05,1.15,0.05,0.05,1.3009105877008096,5.34685615546812,0.16853330412645678,121.85046024396323,325.402008367023,0.3425463173141305,0.25553981072029364
27,0.95,1.15,0.15,0.05,1.399718733865233,5.600596222943054,0.17280461727088592,123.30898118017063,328.3001936767768,0.34624035933704755,0.25952248830396674
26,0.95,1.15,0.1,0.05,1.4180906292080862,5.628460114712674,0.17423766854540537,123.63474978654625,328.95791707028405,0.3474132391695837,0.26082545385749456
10,0.85,0.85,0.05,0.05,4.2873520773295635,18.952225068103385,0.20241173464111722,102.91228578154114,287.00472464802306,0.3205750552983237,0.26149339496972046
25,0.95,1.15,0.05,0.05,1.4708109583784175,5.724125734208998,0.17823684723687505,124.52847970624087,330.6146965395062,0.35067461454448595,0.26445573089068053
