t,r,m,j,value
1820,EU27,Zn,construction,10.241092932534045
1820,EU27,Zn,computers_and_precision_instruments,7.87132129422809
1820,EU27,Zn,electrical_equipment,18.013543773454973
1820,EU27,Zn,machinery_and_equipment,117.74372850360008
1820,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,26.87747044370735
1820,EU27,Zn,other_transport_equipment,7.431038971138362
1820,EU27,Zn,products_nec,38.63707120665298
1820,EU27,Ni,construction,0.9656696788538692
1820,EU27,Ni,computers_and_precision_instruments,2.291176041598094
1820,EU27,Ni,electrical_equipment,4.102035126055678
1820,EU27,Ni,machinery_and_equipment,41.82792452132751
1820,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,8.39060978984015
1820,EU27,Ni,other_transport_equipment,1.707367878745678
1820,EU27,Ni,products_nec,12.187183630245698
1820,EU27,Sn,construction,1.5834067040203634
1820,EU27,Sn,computers_and_precision_instruments,1.2302971377893748
1820,EU27,Sn,electrical_equipment,2.810916426123276
1820,EU27,Sn,machinery_and_equipment,25.81803263084664
1820,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,5.362371469007923
1820,EU27,Sn,other_transport_equipment,1.339392087072148
1820,EU27,Sn,products_nec,7.609454354316249
1820,CHN,Zn,construction,0.1636772783062747
1820,CHN,Zn,computers_and_precision_instruments,2.612604146548428
1820,CHN,Zn,electrical_equipment,0.8571438387895506
1820,CHN,Zn,machinery_and_equipment,0.5713753725473989
1820,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.8335018177356373
1820,CHN,Zn,other_transport_equipment,0.0885757187296841
1820,CHN,Zn,products_nec,1.2035348906815386
1820,CHN,Ni,construction,0.0015613527802852
1820,CHN,Ni,computers_and_precision_instruments,0.0635102303172029
1820,CHN,Ni,electrical_equipment,0.0137620555547119
1820,CHN,Ni,machinery_and_equipment,0.0089296741801471
1820,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0210007236546863
1820,CHN,Ni,other_transport_equipment,0.0006376115114564
1820,CHN,Ni,products_nec,0.0305650186681766
1820,CHN,Sn,construction,0.4616676300309933
1820,CHN,Sn,computers_and_precision_instruments,1.4867624924660607
1820,CHN,Sn,electrical_equipment,1.1222746374264174
1820,CHN,Sn,machinery_and_equipment,0.7606634760409537
1820,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.5603686029690383
1820,CHN,Sn,other_transport_equipment,0.154981050745859
1820,CHN,Sn,products_nec,0.6075274018018516
1820,ROW,Zn,construction,5.825028589156065
1820,ROW,Zn,computers_and_precision_instruments,28.074263954639225
1820,ROW,Zn,electrical_equipment,20.58033574235061
1820,ROW,Zn,machinery_and_equipment,26.350251363048873
1820,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,20.5661066574381
1820,ROW,Zn,other_transport_equipment,4.914189179750854
1820,ROW,Zn,products_nec,73.61416388034175
1820,ROW,Ni,construction,0.0
1820,ROW,Ni,computers_and_precision_instruments,0.0
1820,ROW,Ni,electrical_equipment,0.0
1820,ROW,Ni,machinery_and_equipment,0.0
1820,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1820,ROW,Ni,other_transport_equipment,0.0
1820,ROW,Ni,products_nec,0.0
1820,ROW,Sn,construction,1.6400341426981715
1820,ROW,Sn,computers_and_precision_instruments,3.691228098416384
