t,r,m,c,value
1820,EU27,Zn,concentrate,0.0
1820,EU27,Zn,refined_metal,0.0
1820,EU27,Zn,scrap,1.4289361828894902
1820,EU27,Ni,concentrate,0.0
1820,EU27,Ni,refined_metal,0.0
1820,EU27,Ni,scrap,0.35021263666666674
1820,EU27,Sn,concentrate,0.0
1820,EU27,Sn,refined_metal,0.0
1820,EU27,Sn,scrap,0.4483879339299246
1820,CHN,Zn,concentrate,0.0
1820,CHN,Zn,refined_metal,0.7560987699656729
1820,CHN,Zn,scrap,0.048744180587706555
1820,CHN,Ni,concentrate,0.0
1820,CHN,Ni,refined_metal,0.0
1820,CHN,Ni,scrap,0.0008817899999999982
1820,CHN,Sn,concentrate,0.0
1820,CHN,Sn,refined_metal,0.8535140790347573
1820,CHN,Sn,scrap,0.05411957556055234
1820,ROW,Zn,concentrate,0.0
1820,ROW,Zn,refined_metal,24.94345301977694
1820,ROW,Zn,scrap,1.6373114882372022
1820,ROW,Ni,concentrate,0.0
1820,ROW,Ni,refined_metal,0.005883666666666654
1820,ROW,Ni,scrap,0.0
1820,ROW,Sn,concentrate,0.0
1820,ROW,Sn,refined_metal,8.771063789000051
1820,ROW,Sn,scrap,0.3906610011698175
1821,EU27,Zn,concentrate,0.0
1821,EU27,Zn,refined_metal,0.0
1821,EU27,Zn,scrap,2.4532951184505425
1821,EU27,Ni,concentrate,0.0
1821,EU27,Ni,refined_metal,0.0
1821,EU27,Ni,scrap,0.5050971073334815
1821,EU27,Sn,concentrate,0.0
1821,EU27,Sn,refined_metal,0.0
1821,EU27,Sn,scrap,0.7040112211766398
1821,CHN,Zn,concentrate,0.0
1821,CHN,Zn,refined_metal,1.1234725594661057
1821,CHN,Zn,scrap,0.1399727708862795
1821,CHN,Ni,concentrate,0.0
1821,CHN,Ni,refined_metal,0.0
1821,CHN,Ni,scrap,0.0014759130302251435
1821,CHN,Sn,concentrate,0.0
1821,CHN,Sn,refined_metal,1.25954881481456
1821,CHN,Sn,scrap,0.08969884586512936
1821,ROW,Zn,concentrate,0.0
1821,ROW,Zn,refined_metal,36.902568316378165
1821,ROW,Zn,scrap,2.743819333329146
1821,ROW,Ni,concentrate,0.0
1821,ROW,Ni,refined_metal,0.00863303180307563
1821,ROW,Ni,scrap,0.024716662414844118
1821,ROW,Sn,concentrate,0.0
1821,ROW,Sn,refined_metal,12.926401489952742
1821,ROW,Sn,scrap,0.6789240426720983
1822,EU27,Zn,concentrate,0.0
1822,EU27,Zn,refined_metal,0.0
1822,EU27,Zn,scrap,4.2896733358450785
1822,EU27,Ni,concentrate,0.0
1822,EU27,Ni,refined_metal,0.0
1822,EU27,Ni,scrap,0.7315326426743816
1822,EU27,Sn,concentrate,0.0
1822,EU27,Sn,refined_metal,0.0
1822,EU27,Sn,scrap,1.126021482697844
1822,CHN,Zn,concentrate,0.0
1822,CHN,Zn,refined_metal,1.6736975543942498
1822,CHN,Zn,scrap,0.32180599724575154
1822,CHN,Ni,concentrate,0.0
1822,CHN,Ni,refined_metal,0.0
1822,CHN,Ni,scrap,0.0024617556614793916
1822,CHN,Sn,concentrate,0.0
1822,CHN,Sn,refined_metal,1.8604385201012907
1822,CHN,Sn,scrap,0.1522097562077523
1822,ROW,Zn,concentrate,0.0
1822,ROW,Zn,refined_metal,54.66905194983345
1822,ROW,Zn,scrap,4.687507330311805
1822,ROW,Ni,concentrate,0.0
1822,ROW,Ni,refined_metal,0.012667141484264137
1822,ROW,Ni,scrap,0.07200553811480306
1822,ROW,Sn,concentrate,0.0
1822,ROW,Sn,refined_metal,19.05921530387163
1822,ROW,Sn,scrap,1.1920059793620967
1823,EU27,Zn,concentrate,0.0
1823,EU27,Zn,refined_metal,0.0
1823,EU27,Zn,scrap,6.842015508815586
1823,EU27,Ni,concentrate,0.0
1823,EU27,Ni,refined_metal,0.0
1823,EU27,Ni,scrap,0.9832392293014658
1823,EU27,Sn,concentrate,0.0
1823,EU27,Sn,refined_metal,0.0
1823,EU27,Sn,scrap,1.6823641781698027
1823,CHN,Zn,concentrate,0.0
1823,CHN,Zn,refined_metal,2.3087362668599516
1823,CHN,Zn,scrap,0.6158066729467087
1823,CHN,Ni,concentrate,0.0
1823,CHN,Ni,refined_metal,0.0
1823,CHN,Ni,scrap,0.0037404801674665806
1823,CHN,Sn,concentrate,0.0
1823,CHN,Sn,refined_metal,2.5447451996108623
1823,CHN,Sn,scrap,0.2340658551255225
1823,ROW,Zn,concentrate,0.0
1823,ROW,Zn,refined_metal,74.99328146524412
1823,ROW,Zn,scrap,7.262362678774199
1823,ROW,Ni,concentrate,0.0
1823,ROW,Ni,refined_metal,0.017211658481205375
1823,ROW,Ni,scrap,0.14519093333243213
1823,ROW,Sn,concentrate,0.0
1823,ROW,Sn,refined_metal,26.021701208781224
1823,ROW,Sn,scrap,1.8804781321529287
1824,EU27,Zn,concentrate,0.0
1824,EU27,Zn,refined_metal,0.0
1824,EU27,Zn,scrap,10.070112656159363
1824,EU27,Ni,concentrate,0.0
1824,EU27,Ni,refined_metal,0.0
1824,EU27,Ni,scrap,1.2358545976499575
1824,EU27,Sn,concentrate,0.0
1824,EU27,Sn,refined_metal,0.0
1824,EU27,Sn,scrap,2.369068936844039
1824,CHN,Zn,concentrate,0.0
1824,CHN,Zn,refined_metal,2.9765499210392985
1824,CHN,Zn,scrap,1.0474059253731836
1824,CHN,Ni,concentrate,0.0
