t,o,m,value
1820,CHN,Ni,
1820,CHN,Sn,
1820,CHN,Zn,
1820,EU27,Ni,
1820,EU27,Sn,
1820,EU27,Zn,
1820,ROW,Ni,
1820,ROW,Sn,
1820,ROW,Zn,
1821,CHN,Ni,
1821,CHN,Sn,
1821,CHN,Zn,
1821,EU27,Ni,
1821,EU27,Sn,
1821,EU27,Zn,
1821,ROW,Ni,
1821,ROW,Sn,
1821,ROW,Zn,
1822,CHN,Ni,
1822,CHN,Sn,
1822,CHN,Zn,
1822,EU27,Ni,
1822,EU27,Sn,
1822,EU27,Zn,
1822,ROW,Ni,
1822,ROW,Sn,
1822,ROW,Zn,
1823,CHN,Ni,
1823,CHN,Sn,
1823,CHN,Zn,
1823,EU27,Ni,
1823,EU27,Sn,
1823,EU27,Zn,
1823,ROW,Ni,
1823,ROW,Sn,
1823,ROW,Zn,
1824,CHN,Ni,
1824,CHN,Sn,
1824,CHN,Zn,
1824,EU27,Ni,
1824,EU27,Sn,
1824,EU27,Zn,
1824,ROW,Ni,
1824,ROW,Sn,
1824,ROW,Zn,
1825,CHN,Ni,
1825,CHN,Sn,
1825,CHN,Zn,
1825,EU27,Ni,
1825,EU27,Sn,
1825,EU27,Zn,
1825,ROW,Ni,
1825,ROW,Sn,
1825,ROW,Zn,
1826,CHN,Ni,
1826,CHN,Sn,
1826,CHN,Zn,
1826,EU27,Ni,
1826,EU27,Sn,
1826,EU27,Zn,
1826,ROW,Ni,
1826,ROW,Sn,
1826,ROW,Zn,
1827,CHN,Ni,
1827,CHN,Sn,
1827,CHN,Zn,
1827,EU27,Ni,
1827,EU27,Sn,
1827,EU27,Zn,
1827,ROW,Ni,
1827,ROW,Sn,
1827,ROW,Zn,
1828,CHN,Ni,
1828,CHN,Sn,
1828,CHN,Zn,
1828,EU27,Ni,
1828,EU27,Sn,
1828,EU27,Zn,
1828,ROW,Ni,
1828,ROW,Sn,
1828,ROW,Zn,
1829,CHN,Ni,
1829,CHN,Sn,
1829,CHN,Zn,
1829,EU27,Ni,
1829,EU27,Sn,
1829,EU27,Zn,
1829,ROW,Ni,
1829,ROW,Sn,
1829,ROW,Zn,
1830,CHN,Ni,
1830,CHN,Sn,
1830,CHN,Zn,
1830,EU27,Ni,
1830,EU27,Sn,
1830,EU27,Zn,
1830,ROW,Ni,
1830,ROW,Sn,
1830,ROW,Zn,
1831,CHN,Ni,
1831,CHN,Sn,
1831,CHN,Zn,
1831,EU27,Ni,
1831,EU27,Sn,
1831,EU27,Zn,
1831,ROW,Ni,
1831,ROW,Sn,
1831,ROW,Zn,
1832,CHN,Ni,
1832,CHN,Sn,
1832,CHN,Zn,
1832,EU27,Ni,
1832,EU27,Sn,
1832,EU27,Zn,
1832,ROW,Ni,
1832,ROW,Sn,
1832,ROW,Zn,
1833,CHN,Ni,
1833,CHN,Sn,
1833,CHN,Zn,
1833,EU27,Ni,
1833,EU27,Sn,
1833,EU27,Zn,
1833,ROW,Ni,
1833,ROW,Sn,
1833,ROW,Zn,
1834,CHN,Ni,
1834,CHN,Sn,
1834,CHN,Zn,
1834,EU27,Ni,
1834,EU27,Sn,
1834,EU27,Zn,
1834,ROW,Ni,
1834,ROW,Sn,
1834,ROW,Zn,
1835,CHN,Ni,
1835,CHN,Sn,
1835,CHN,Zn,
1835,EU27,Ni,
1835,EU27,Sn,
1835,EU27,Zn,
1835,ROW,Ni,
1835,ROW,Sn,
1835,ROW,Zn,
1836,CHN,Ni,
1836,CHN,Sn,
1836,CHN,Zn,
1836,EU27,Ni,
1836,EU27,Sn,
1836,EU27,Zn,
1836,ROW,Ni,
1836,ROW,Sn,
1836,ROW,Zn,
1837,CHN,Ni,
1837,CHN,Sn,
1837,CHN,Zn,
1837,EU27,Ni,
1837,EU27,Sn,
1837,EU27,Zn,
1837,ROW,Ni,
1837,ROW,Sn,
1837,ROW,Zn,
1838,CHN,Ni,
1838,CHN,Sn,
1838,CHN,Zn,
1838,EU27,Ni,
1838,EU27,Sn,
1838,EU27,Zn,
1838,ROW,Ni,
1838,ROW,Sn,
1838,ROW,Zn,
1839,CHN,Ni,
1839,CHN,Sn,
1839,CHN,Zn,
1839,EU27,Ni,
1839,EU27,Sn,
1839,EU27,Zn,
1839,ROW,Ni,
1839,ROW,Sn,
1839,ROW,Zn,
1840,CHN,Ni,
1840,CHN,Sn,
1840,CHN,Zn,
1840,EU27,Ni,
1840,EU27,Sn,
1840,EU27,Zn,
1840,ROW,Ni,
1840,ROW,Sn,
1840,ROW,Zn,
1841,CHN,Ni,
1841,CHN,Sn,
1841,CHN,Zn,
1841,EU27,Ni,
1841,EU27,Sn,
1841,EU27,Zn,
1841,ROW,Ni,
1841,ROW,Sn,
1841,ROW,Zn,
1842,CHN,Ni,
1842,CHN,Sn,
1842,CHN,Zn,
1842,EU27,Ni,
1842,EU27,Sn,
1842,EU27,Zn,
1842,ROW,Ni,
1842,ROW,Sn,
1842,ROW,Zn,
1843,CHN,Ni,
1843,CHN,Sn,
1843,CHN,Zn,
1843,EU27,Ni,
1843,EU27,Sn,
1843,EU27,Zn,
1843,ROW,Ni,
1843,ROW,Sn,
1843,ROW,Zn,
1844,CHN,Ni,
1844,CHN,Sn,
1844,CHN,Zn,
1844,EU27,Ni,
1844,EU27,Sn,
1844,EU27,Zn,
1844,ROW,Ni,
1844,ROW,Sn,
1844,ROW,Zn,
1845,CHN,Ni,
1845,CHN,Sn,
1845,CHN,Zn,
1845,EU27,Ni,
1845,EU27,Sn,
1845,EU27,Zn,
1845,ROW,Ni,
1845,ROW,Sn,
1845,ROW,Zn,
1846,CHN,Ni,
1846,CHN,Sn,
1846,CHN,Zn,
1846,EU27,Ni,
1846,EU27,Sn,
1846,EU27,Zn,
1846,ROW,Ni,
1846,ROW,Sn,
1846,ROW,Zn,
1847,CHN,Ni,
1847,CHN,Sn,
1847,CHN,Zn,
1847,EU27,Ni,
1847,EU27,Sn,
1847,EU27,Zn,
1847,ROW,Ni,
1847,ROW,Sn,
1847,ROW,Zn,
1848,CHN,Ni,
1848,CHN,Sn,
1848,CHN,Zn,
1848,EU27,Ni,
1848,EU27,Sn,
