r,m,j,value
EU27,Zn,construction,0.2867635190821094
EU27,Zn,computers_and_precision_instruments,0.2046505494303879
EU27,Zn,electrical_equipment,0.265621941554217
EU27,Zn,machinery_and_equipment,0.265621941554217
EU27,Zn,motor_vehicles_trailers_and_semi_trailers,0.228333533079648
EU27,Zn,other_transport_equipment,0.1901457056325859
EU27,Zn,products_nec,0.2349383446409952
EU27,Ni,construction,0.2927858261784918
EU27,Ni,computers_and_precision_instruments,0.2046505494303879
EU27,Ni,electrical_equipment,0.265621941554217
EU27,Ni,machinery_and_equipment,0.265621941554217
EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.228333533079648
EU27,Ni,other_transport_equipment,0.1901457056325859
EU27,Ni,products_nec,0.2333834684344702
EU27,Sn,construction,0.2896057599688129
EU27,Sn,computers_and_precision_instruments,0.2046505494303879
EU27,Sn,electrical_equipment,0.265621941554217
EU27,Sn,machinery_and_equipment,0.265621941554217
EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.228333533079648
EU27,Sn,other_transport_equipment,0.1901457056325859
EU27,Sn,products_nec,0.2350782155461512
CHN,Zn,construction,0.2936665083720156
CHN,Zn,computers_and_precision_instruments,0.2046505494303879
CHN,Zn,electrical_equipment,0.265621941554217
CHN,Zn,machinery_and_equipment,0.265621941554217
CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.228333533079648
CHN,Zn,other_transport_equipment,0.1901457056325859
CHN,Zn,products_nec,0.2271720088649663
CHN,Ni,construction,0.2935856028939744
CHN,Ni,computers_and_precision_instruments,0.2046505494303879
CHN,Ni,electrical_equipment,0.265621941554217
CHN,Ni,machinery_and_equipment,0.265621941554217
CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.228333533079648
CHN,Ni,other_transport_equipment,0.1901457056325859
CHN,Ni,products_nec,0.2297164207527585
CHN,Sn,construction,0.2864653007927259
CHN,Sn,computers_and_precision_instruments,0.2046505494303879
CHN,Sn,electrical_equipment,0.265621941554217
CHN,Sn,machinery_and_equipment,0.265621941554217
CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.228333533079648
CHN,Sn,other_transport_equipment,0.1901457056325859
CHN,Sn,products_nec,0.2274864546820486
ROW,Zn,construction,0.2922291722381508
ROW,Zn,computers_and_precision_instruments,0.2046505494303879
ROW,Zn,electrical_equipment,0.265621941554217
ROW,Zn,machinery_and_equipment,0.265621941554217
ROW,Zn,motor_vehicles_trailers_and_semi_trailers,0.228333533079648
ROW,Zn,other_transport_equipment,0.1901457056325859
ROW,Zn,products_nec,0.2388586882245738
ROW,Ni,construction,0.2934144136522119
ROW,Ni,computers_and_precision_instruments,0.2046505494303879
ROW,Ni,electrical_equipment,0.265621941554217
ROW,Ni,machinery_and_equipment,0.265621941554217
ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.228333533079648
ROW,Ni,other_transport_equipment,0.1901457056325859
ROW,Ni,products_nec,0.237979947378644
ROW,Sn,construction,0.2890836692260026
ROW,Sn,computers_and_precision_instruments,0.2046505494303879
ROW,Sn,electrical_equipment,0.265621941554217
ROW,Sn,machinery_and_equipment,0.265621941554217
ROW,Sn,motor_vehicles_trailers_and_semi_trailers,0.228333533079648
ROW,Sn,other_transport_equipment,0.1901457056325859
ROW,Sn,products_nec,0.2393008618989852
