t,r,m,value
1820,EU27,Zn,7.14468091444745
1820,EU27,Ni,1.7510631833333337
1820,EU27,Sn,2.2419396696496228
1820,CHN,Zn,0.2437209029385327
1820,CHN,Ni,0.0044089499999999905
1820,CHN,Sn,0.2705978778027617
1820,ROW,Zn,8.186557441186011
1820,ROW,Ni,0.0
1820,ROW,Sn,1.9533050058490873
1821,EU27,Zn,17.388270270057966
1821,EU27,Ni,3.2999078900014815
1821,EU27,Sn,4.798172542116775
1821,CHN,Zn,1.156006805924262
1821,CHN,Ni,0.010350180302251443
1821,CHN,Sn,0.6263905808485318
1821,ROW,Zn,19.251635892105444
1821,ROW,Ni,0.24716662414844118
1821,ROW,Sn,4.835935420871895
1822,EU27,Zn,30.630257766198067
1822,EU27,Ni,4.78984089007641
1822,EU27,Sn,7.7401587210952405
1822,CHN,Zn,2.518196118026117
1822,CHN,Ni,0.017237991463668195
1822,CHN,Sn,1.0736033327518761
1822,ROW,Zn,33.15597663647232
1822,ROW,Ni,0.5964720690738102
1822,ROW,Sn,8.525439580260475
1823,EU27,Zn,46.97178840893045
1823,EU27,Ni,6.17472907964275
1823,EU27,Sn,11.193534368208805
1823,CHN,Zn,4.549036743238328
1823,CHN,Ni,0.025096023367268846
1823,CHN,Sn,1.5796097702164633
1823,ROW,Zn,49.18609013618296
1823,ROW,Ni,1.0918816427503064
1823,ROW,Sn,12.844751424718803
1824,EU27,Zn,66.49104901751568
1824,EU27,Ni,7.442349829992246
1824,EU27,Sn,15.278868477591377
1824,CHN,Zn,7.3950258889982905
1824,CHN,Ni,0.03384110479758863
1824,CHN,Sn,2.1193972504184826
1824,ROW,Zn,66.79537799060628
1824,ROW,Ni,1.7437264197194293
1824,ROW,Sn,17.647338448327297
1825,EU27,Zn,89.22767716822489
1825,EU27,Ni,8.598663787323034
1825,EU27,Sn,20.095113078565102
1825,CHN,Zn,11.146345733008182
1825,CHN,Ni,0.043345254058095986
1825,CHN,Sn,2.674525125693783
1825,ROW,Zn,85.57960686103448
1825,ROW,Ni,2.544348231851948
1825,ROW,Sn,22.81939791294725
1826,EU27,Zn,115.18100170636552
1826,EU27,Ni,9.658131155554546
1826,EU27,Sn,25.714668666076363
1826,CHN,Zn,15.851302955631986
1826,CHN,Ni,0.05347114497504938
1826,CHN,Sn,3.231934727920418
1826,ROW,Zn,105.25032582919253
1826,ROW,Ni,3.477731593043758
1826,ROW,Sn,28.277702331640114
1827,EU27,Zn,144.31489498810666
1827,EU27,Ni,10.638018332246167
1827,EU27,Sn,32.18439072509038
1827,CHN,Zn,21.528323450144978
1827,CHN,Ni,0.06409075771771144
1827,CHN,Sn,3.7827999193835824
1827,ROW,Zn,125.60970032229991
1827,ROW,Ni,4.52516474904243
1827,ROW,Sn,33.96527424566275
1828,EU27,Zn,176.3460317290842
1828,EU27,Ni,11.555269265941579
1828,EU27,Sn,39.529249353359866
1828,CHN,Zn,28.175374826945692
1828,CHN,Ni,0.07509375635379459
1828,CHN,Sn,4.321511405691801
1828,ROW,Zn,146.52848283941432
1828,ROW,Ni,5.668348222965662
1828,ROW,Sn,39.846320718070636
1829,EU27,Zn,211.14220092809882
1829,EU27,Ni,12.424972220675828
1829,EU27,Sn,47.756812497063315
1829,CHN,Zn,35.773034342300036
1829,CHN,Ni,0.08638989185900103
1829,CHN,Sn,4.844829472465697
1829,ROW,Zn,167.92224620825013
1829,ROW,Ni,6.890915429068125
1829,ROW,Sn,45.90127941010594
1830,EU27,Zn,248.4292552438844
1830,EU27,Ni,13.259777727335702
1830,EU27,Sn,56.86160126297604
