t,r,m,j,value
1820,EU27,Zn,construction,0.0
1820,EU27,Zn,computers_and_precision_instruments,0.0
1820,EU27,Zn,electrical_equipment,0.0
1820,EU27,Zn,machinery_and_equipment,0.0
1820,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,0.0
1820,EU27,Zn,other_transport_equipment,0.0
1820,EU27,Zn,products_nec,0.0
1820,EU27,Ni,construction,0.0
1820,EU27,Ni,computers_and_precision_instruments,0.0
1820,EU27,Ni,electrical_equipment,0.0
1820,EU27,Ni,machinery_and_equipment,0.0
1820,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1820,EU27,Ni,other_transport_equipment,0.0
1820,EU27,Ni,products_nec,0.0
1820,EU27,Sn,construction,0.0
1820,EU27,Sn,computers_and_precision_instruments,0.0
1820,EU27,Sn,electrical_equipment,0.0
1820,EU27,Sn,machinery_and_equipment,0.0
1820,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.0
1820,EU27,Sn,other_transport_equipment,0.0
1820,EU27,Sn,products_nec,0.0
1820,CHN,Zn,construction,0.0
1820,CHN,Zn,computers_and_precision_instruments,0.0
1820,CHN,Zn,electrical_equipment,0.0
1820,CHN,Zn,machinery_and_equipment,0.0
1820,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.0
1820,CHN,Zn,other_transport_equipment,0.0
1820,CHN,Zn,products_nec,0.0
1820,CHN,Ni,construction,0.0
1820,CHN,Ni,computers_and_precision_instruments,0.0
1820,CHN,Ni,electrical_equipment,0.0
1820,CHN,Ni,machinery_and_equipment,0.0
1820,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1820,CHN,Ni,other_transport_equipment,0.0
1820,CHN,Ni,products_nec,0.0
1820,CHN,Sn,construction,0.0
1820,CHN,Sn,computers_and_precision_instruments,0.0
1820,CHN,Sn,electrical_equipment,0.0
1820,CHN,Sn,machinery_and_equipment,0.0
1820,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.0
1820,CHN,Sn,other_transport_equipment,0.0
1820,CHN,Sn,products_nec,0.0
1820,ROW,Zn,construction,0.0
1820,ROW,Zn,computers_and_precision_instruments,0.0
1820,ROW,Zn,electrical_equipment,0.0
1820,ROW,Zn,machinery_and_equipment,0.0
1820,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,0.0
1820,ROW,Zn,other_transport_equipment,0.0
1820,ROW,Zn,products_nec,0.0
1820,ROW,Ni,construction,0.0
1820,ROW,Ni,computers_and_precision_instruments,0.0
1820,ROW,Ni,electrical_equipment,0.0
1820,ROW,Ni,machinery_and_equipment,0.0
1820,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1820,ROW,Ni,other_transport_equipment,0.0
1820,ROW,Ni,products_nec,0.0
1820,ROW,Sn,construction,0.0
1820,ROW,Sn,computers_and_precision_instruments,0.0
1820,ROW,Sn,electrical_equipment,0.0
1820,ROW,Sn,machinery_and_equipment,0.0
1820,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,0.0
1820,ROW,Sn,other_transport_equipment,0.0
1820,ROW,Sn,products_nec,0.0
1821,EU27,Zn,construction,0.06426717944964405
1821,EU27,Zn,computers_and_precision_instruments,0.3416814501506935
1821,EU27,Zn,electrical_equipment,0.34405319674695073
1821,EU27,Zn,machinery_and_equipment,2.2488693339877392
1821,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,0.916699098241859
1821,EU27,Zn,other_transport_equipment,0.1267237320213946
1821,EU27,Zn,products_nec,2.104122399613953
1821,EU27,Ni,construction,0.0005199518776684978
1821,EU27,Ni,computers_and_precision_instruments,0.006464751613147517
1821,EU27,Ni,electrical_equipment,0.005092668828335938
1821,EU27,Ni,machinery_and_equipment,0.05192928895481664
1821,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.0186016538195313
1821,EU27,Ni,other_transport_equipment,0.0018925839133570087
1821,EU27,Ni,products_nec,0.046262154628983386
1821,EU27,Sn,construction,0.0022573816562927954
1821,EU27,Sn,computers_and_precision_instruments,0.010940869450819436
1821,EU27,Sn,electrical_equipment,0.010998727244607504
1821,EU27,Sn,machinery_and_equipment,0.10102239122445003
1821,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.037468246389936295
1821,EU27,Sn,other_transport_equipment,0.004679335721256437
1821,EU27,Sn,products_nec,0.10646765702704705
1821,CHN,Zn,construction,0.00264296498218374
1821,CHN,Zn,computers_and_precision_instruments,0.13063020732742142
1821,CHN,Zn,electrical_equipment,0.018857164453370115
1821,CHN,Zn,machinery_and_equipment,0.012570258196042777
1821,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.03274471426818575
1821,CHN,Zn,other_transport_equipment,0.0017398801893330808
1821,CHN,Zn,products_nec,0.06271904926808969
1821,CHN,Ni,construction,6.90895776197802e-06
1821,CHN,Ni,computers_and_precision_instruments,0.0008125916545994705
1821,CHN,Ni,electrical_equipment,7.74755473683142e-05
1821,CHN,Ni,machinery_and_equipment,5.027093461272414e-05
1821,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0002111191261946295
1821,CHN,Ni,other_transport_equipment,3.204936824171617e-06
1821,CHN,Ni,products_nec,0.0004236710936655186
1821,CHN,Sn,construction,0.0041698098056679725
1821,CHN,Sn,computers_and_precision_instruments,0.07433812462330304
1821,CHN,Sn,electrical_equipment,0.024690042023381185
1821,CHN,Sn,machinery_and_equipment,0.016734596472900983
1821,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.02201448083092651
1821,CHN,Sn,other_transport_equipment,0.003044270639650802
1821,CHN,Sn,products_nec,0.031297172296623293
1821,ROW,Zn,construction,0.03909056095996984
1821,ROW,Zn,computers_and_precision_instruments,1.0208823256232447
1821,ROW,Zn,electrical_equipment,0.32928537187760976
1821,ROW,Zn,machinery_and_equipment,0.421604021808782
1821,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,0.5876030473553743
1821,ROW,Zn,other_transport_equipment,0.07020270256786934
1821,ROW,Zn,products_nec,3.279116191455819
1821,ROW,Ni,construction,0.0
1821,ROW,Ni,computers_and_precision_instruments,0.0
1821,ROW,Ni,electrical_equipment,0.0
1821,ROW,Ni,machinery_and_equipment,0.0
1821,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1821,ROW,Ni,other_transport_equipment,0.0
1821,ROW,Ni,products_nec,0.0
1821,ROW,Sn,construction,0.00950524054320584
1821,ROW,Sn,computers_and_precision_instruments,0.13422647630605034
1821,ROW,Sn,electrical_equipment,0.049444846451365015
1821,ROW,Sn,machinery_and_equipment,0.10448841650614255
1821,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,0.10969361738030313
1821,ROW,Sn,other_transport_equipment,0.01601433550735214
1821,ROW,Sn,products_nec,0.832768115574118
1822,EU27,Zn,construction,0.13234827040106437
1822,EU27,Zn,computers_and_precision_instruments,0.6770684399051133
1822,EU27,Zn,electrical_equipment,0.6992836762198109
1822,EU27,Zn,machinery_and_equipment,4.5707978593949266
1822,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,1.8343685276693797
1822,EU27,Zn,other_transport_equipment,0.2581074494028118
1822,EU27,Zn,products_nec,4.120788523431917
1822,EU27,Ni,construction,0.0010446864897793449
1822,EU27,Ni,computers_and_precision_instruments,0.01251341429010969
1822,EU27,Ni,electrical_equipment,0.010116822827825589
1822,EU27,Ni,machinery_and_equipment,0.10315994101318872
1822,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.036368424660051954
1822,EU27,Ni,other_transport_equipment,0.003767816796715541
1822,EU27,Ni,products_nec,0.08809441055312028
1822,EU27,Sn,construction,0.005609466621556406
1822,EU27,Sn,computers_and_precision_instruments,0.026352273506858044
1822,EU27,Sn,electrical_equipment,0.027051565498375764
1822,EU27,Sn,machinery_and_equipment,0.24846636999300117
1822,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.09097624568720322
1822,EU27,Sn,other_transport_equipment,0.011528963821322614
1822,EU27,Sn,products_nec,0.2508896466162052
1822,CHN,Zn,construction,0.005208335322372933
1822,CHN,Zn,computers_and_precision_instruments,0.2493849412614409
1822,CHN,Zn,electrical_equipment,0.036960042328605426
1822,CHN,Zn,machinery_and_equipment,0.024637706064243838
1822,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.06315052037435823
1822,CHN,Zn,other_transport_equipment,0.0034176218004756944
1822,CHN,Zn,products_nec,0.11949548403594967
1822,CHN,Ni,construction,1.3753020907979685e-05
1822,CHN,Ni,computers_and_precision_instruments,0.0015692271401244761
1822,CHN,Ni,electrical_equipment,0.0001535602326130693
1822,CHN,Ni,machinery_and_equipment,9.963939171810835e-05
1822,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.00041181301180886294
1822,CHN,Ni,other_transport_equipment,6.366073193278273e-06
1822,CHN,Ni,products_nec,0.0008149567020867574
1822,CHN,Sn,construction,0.008271143296797408
1822,CHN,Sn,computers_and_precision_instruments,0.1419182379172149
1822,CHN,Sn,electrical_equipment,0.048392482365827126
1822,CHN,Sn,machinery_and_equipment,0.03279980908688593
1822,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.04245649874535826
1822,CHN,Sn,other_transport_equipment,0.0059798173278855045
1822,CHN,Sn,products_nec,0.059662900331385355
1822,ROW,Zn,construction,0.07752530026482807
1822,ROW,Zn,computers_and_precision_instruments,1.9489571670989214
1822,ROW,Zn,electrical_equipment,0.6453993288801152
1822,ROW,Zn,machinery_and_equipment,0.8263438827452128
1822,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,1.133234448471079
1822,ROW,Zn,other_transport_equipment,0.1378981657583148
1822,ROW,Zn,products_nec,6.193064783693034
1822,ROW,Ni,construction,0.0
1822,ROW,Ni,computers_and_precision_instruments,0.0
1822,ROW,Ni,electrical_equipment,0.0
1822,ROW,Ni,machinery_and_equipment,0.0
1822,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1822,ROW,Ni,other_transport_equipment,0.0
1822,ROW,Ni,products_nec,0.0
1822,ROW,Sn,construction,0.01887275590827063
1822,ROW,Sn,computers_and_precision_instruments,0.256250545675187
1822,ROW,Sn,electrical_equipment,0.09691189904467543
1822,ROW,Sn,machinery_and_equipment,0.2047972963520394
