t,r,m,c,value
1820,CHN,Ni,concentrate,0.0
1820,CHN,Ni,refined_metal,0.0
1820,CHN,Ni,scrap,0.0008817899999999982
1820,CHN,Sn,concentrate,0.0
1820,CHN,Sn,refined_metal,0.2577944247829164
1820,CHN,Sn,scrap,0.05411957556055234
1820,CHN,Zn,concentrate,0.0
1820,CHN,Zn,refined_metal,0.21844590595573152
1820,CHN,Zn,scrap,0.04874418058770656
1820,EU27,Ni,concentrate,0.0
1820,EU27,Ni,refined_metal,0.0
1820,EU27,Ni,scrap,0.35021263666666674
1820,EU27,Sn,concentrate,0.0
1820,EU27,Sn,refined_metal,0.0
1820,EU27,Sn,scrap,0.44838793392992454
1820,EU27,Zn,concentrate,0.0
1820,EU27,Zn,refined_metal,0.0
1820,EU27,Zn,scrap,1.4289361828894902
1820,ROW,Ni,concentrate,0.0
1820,ROW,Ni,refined_metal,0.0020259810202563266
1820,ROW,Ni,scrap,0.0
1820,ROW,Sn,concentrate,0.0
1820,ROW,Sn,refined_metal,2.6492021628707736
1820,ROW,Sn,scrap,0.3906610011698175
1820,ROW,Zn,concentrate,0.0
1820,ROW,Zn,refined_metal,7.206459538106083
1820,ROW,Zn,scrap,1.6373114882372022
1821,CHN,Ni,concentrate,0.0
1821,CHN,Ni,refined_metal,0.0
1821,CHN,Ni,scrap,0.0014759130302251435
1821,CHN,Sn,concentrate,0.0
1821,CHN,Sn,refined_metal,0.38043269604683433
1821,CHN,Sn,scrap,0.08969884586512936
1821,CHN,Zn,concentrate,0.0
1821,CHN,Zn,refined_metal,0.3245845527299561
1821,CHN,Zn,scrap,0.1399727708862795
1821,EU27,Ni,concentrate,0.0
1821,EU27,Ni,refined_metal,0.0
1821,EU27,Ni,scrap,0.5050971073334815
1821,EU27,Sn,concentrate,0.0
1821,EU27,Sn,refined_metal,0.0
1821,EU27,Sn,scrap,0.7040112211766398
1821,EU27,Zn,concentrate,0.0
1821,EU27,Zn,refined_metal,0.0
1821,EU27,Zn,scrap,2.4532951184505425
1821,ROW,Ni,concentrate,0.0
1821,ROW,Ni,refined_metal,0.0029726970563085124
1821,ROW,Ni,scrap,0.024716662414844118
1821,ROW,Sn,concentrate,0.0
1821,ROW,Sn,refined_metal,3.904275651063629
1821,ROW,Sn,scrap,0.6789240426720983
1821,ROW,Zn,concentrate,0.0
1821,ROW,Zn,refined_metal,10.661589845372296
1821,ROW,Zn,scrap,2.743819333329146
1822,CHN,Ni,concentrate,0.0
1822,CHN,Ni,refined_metal,0.0
1822,CHN,Ni,scrap,0.0024617556614793916
1822,CHN,Sn,concentrate,0.0
1822,CHN,Sn,refined_metal,0.5619247413890187
1822,CHN,Sn,scrap,0.1522097562077523
1822,CHN,Zn,concentrate,0.0
1822,CHN,Zn,refined_metal,0.4835510823303456
1822,CHN,Zn,scrap,0.32180599724575154
1822,EU27,Ni,concentrate,0.0
1822,EU27,Ni,refined_metal,0.0
1822,EU27,Ni,scrap,0.7315326426743816
1822,EU27,Sn,concentrate,0.0
1822,EU27,Sn,refined_metal,0.0
1822,EU27,Sn,scrap,1.126021482697844
1822,EU27,Zn,concentrate,0.0
1822,EU27,Zn,refined_metal,0.0
1822,EU27,Zn,scrap,4.2896733358450785
1822,ROW,Ni,concentrate,0.0
1822,ROW,Ni,refined_metal,0.004361801863014121
1822,ROW,Ni,scrap,0.07200553811480306
1822,ROW,Sn,concentrate,0.0
1822,ROW,Sn,refined_metal,5.75662378250618
1822,ROW,Sn,scrap,1.1920059793620967
1822,ROW,Zn,concentrate,0.0
1822,ROW,Zn,refined_metal,15.794537771122812
1822,ROW,Zn,scrap,4.687507330311805
1823,CHN,Ni,concentrate,0.0
1823,CHN,Ni,refined_metal,0.0
1823,CHN,Ni,scrap,0.0037404801674665806
1823,CHN,Sn,concentrate,0.0
1823,CHN,Sn,refined_metal,0.7686119550537082
1823,CHN,Sn,scrap,0.23406585512552253
1823,CHN,Zn,concentrate,0.0
1823,CHN,Zn,refined_metal,0.6670213012646119
1823,CHN,Zn,scrap,0.6158066729467087
1823,EU27,Ni,concentrate,0.0
1823,EU27,Ni,refined_metal,0.0
1823,EU27,Ni,scrap,0.9832392293014658
1823,EU27,Sn,concentrate,0.0
1823,EU27,Sn,refined_metal,0.0
1823,EU27,Sn,scrap,1.6823641781698027
1823,EU27,Zn,concentrate,0.0
1823,EU27,Zn,refined_metal,0.0
1823,EU27,Zn,scrap,6.842015508815586
1823,ROW,Ni,concentrate,0.0
1823,ROW,Ni,refined_metal,0.005926660258918362
1823,ROW,Ni,scrap,0.14519093333243213
1823,ROW,Sn,concentrate,0.0
1823,ROW,Sn,refined_metal,7.8595651316930395
1823,ROW,Sn,scrap,1.880478132152929
1823,ROW,Zn,concentrate,0.0
1823,ROW,Zn,refined_metal,21.666448830504205
1823,ROW,Zn,scrap,7.262362678774199
1824,CHN,Ni,concentrate,0.0
1824,CHN,Ni,refined_metal,0.0
1824,CHN,Ni,scrap,0.005254350563492154
1824,CHN,Sn,concentrate,0.0
1824,CHN,Sn,refined_metal,0.9828707945612186
1824,CHN,Sn,scrap,0.32897265260460956
1824,CHN,Zn,concentrate,0.0
1824,CHN,Zn,refined_metal,0.8599605897433356
1824,CHN,Zn,scrap,1.0474059253731836
1824,EU27,Ni,concentrate,0.0
1824,EU27,Ni,refined_metal,0.0
1824,EU27,Ni,scrap,1.2358545976499575
1824,EU27,Sn,concentrate,0.0
1824,EU27,Sn,refined_metal,0.0
1824,EU27,Sn,scrap,2.369068936844039
1824,EU27,Zn,concentrate,0.0
1824,EU27,Zn,refined_metal,0.0
1824,EU27,Zn,scrap,10.070112656159363
1824,ROW,Ni,concentrate,0.0
1824,ROW,Ni,refined_metal,0.007528205351313887
1824,ROW,Ni,scrap,0.24696810863815893
1824,ROW,Sn,concentrate,0.0
1824,ROW,Sn,refined_metal,10.032005415632154
1824,ROW,Sn,scrap,2.704972910909194
1824,ROW,Zn,concentrate,0.0
1824,ROW,Zn,refined_metal,27.78387965197009
