r,m,j,value
EU27,Zn,construction,
EU27,Zn,computers_and_precision_instruments,
EU27,Zn,electrical_equipment,
EU27,Zn,machinery_and_equipment,
EU27,Zn,motor_vehicles_trailers_and_semi_trailers,
EU27,Zn,other_transport_equipment,
EU27,Zn,products_nec,
EU27,Ni,construction,
EU27,Ni,computers_and_precision_instruments,
EU27,Ni,electrical_equipment,
EU27,Ni,machinery_and_equipment,
EU27,Ni,motor_vehicles_trailers_and_semi_trailers,
EU27,Ni,other_transport_equipment,
EU27,Ni,products_nec,
EU27,Sn,construction,
EU27,Sn,computers_and_precision_instruments,
EU27,Sn,electrical_equipment,
EU27,Sn,machinery_and_equipment,
EU27,Sn,motor_vehicles_trailers_and_semi_trailers,
EU27,Sn,other_transport_equipment,
EU27,Sn,products_nec,
CHN,Zn,construction,
CHN,Zn,computers_and_precision_instruments,
CHN,Zn,electrical_equipment,
CHN,Zn,machinery_and_equipment,
CHN,Zn,motor_vehicles_trailers_and_semi_trailers,
CHN,Zn,other_transport_equipment,
CHN,Zn,products_nec,
CHN,Ni,construction,
CHN,Ni,computers_and_precision_instruments,
CHN,Ni,electrical_equipment,
CHN,Ni,machinery_and_equipment,
CHN,Ni,motor_vehicles_trailers_and_semi_trailers,
CHN,Ni,other_transport_equipment,
CHN,Ni,products_nec,
CHN,Sn,construction,
CHN,Sn,computers_and_precision_instruments,
CHN,Sn,electrical_equipment,
CHN,Sn,machinery_and_equipment,
CHN,Sn,motor_vehicles_trailers_and_semi_trailers,
CHN,Sn,other_transport_equipment,
CHN,Sn,products_nec,
ROW,Zn,construction,
ROW,Zn,computers_and_precision_instruments,
ROW,Zn,electrical_equipment,
ROW,Zn,machinery_and_equipment,
ROW,Zn,motor_vehicles_trailers_and_semi_trailers,
ROW,Zn,other_transport_equipment,
ROW,Zn,products_nec,
ROW,Ni,construction,
ROW,Ni,computers_and_precision_instruments,
ROW,Ni,electrical_equipment,
ROW,Ni,machinery_and_equipment,
ROW,Ni,motor_vehicles_trailers_and_semi_trailers,
ROW,Ni,other_transport_equipment,
ROW,Ni,products_nec,
ROW,Sn,construction,
ROW,Sn,computers_and_precision_instruments,
ROW,Sn,electrical_equipment,
ROW,Sn,machinery_and_equipment,
ROW,Sn,motor_vehicles_trailers_and_semi_trailers,
ROW,Sn,other_transport_equipment,
ROW,Sn,products_nec,
