t,r,m,c,value
1820,CHN,Ni,refined_metal,0.03581651166666659
1820,CHN,Sn,refined_metal,9.646424654822003
1820,CHN,Zn,refined_metal,10.30988027368416
1820,EU27,Ni,refined_metal,2.9577437016666672
1820,EU27,Sn,refined_metal,5.967618967469388
1820,EU27,Zn,refined_metal,144.40341613120802
1820,ROW,Ni,refined_metal,0.0309666666666666
1820,ROW,Sn,refined_metal,81.04394015933546
1820,ROW,Zn,refined_metal,311.205671049762
1821,CHN,Ni,refined_metal,0.03660120658092486
1821,CHN,Sn,refined_metal,9.686089566577804
1821,CHN,Zn,refined_metal,10.415951490351432
1821,EU27,Ni,refined_metal,3.0342400880436338
1821,EU27,Sn,refined_metal,6.041554311822279
1821,EU27,Zn,refined_metal,147.44589224436308
1821,ROW,Ni,refined_metal,0.0309666666666666
1821,ROW,Sn,refined_metal,81.27004554802379
1821,ROW,Zn,refined_metal,313.01622307958127
1822,CHN,Ni,refined_metal,0.037335822875030594
1822,CHN,Sn,refined_metal,9.722807854863058
1822,CHN,Zn,refined_metal,10.513293407415075
1822,EU27,Ni,refined_metal,3.1069570288956796
1822,EU27,Sn,refined_metal,6.1460550910404095
1822,EU27,Zn,refined_metal,150.48833369068842
1822,ROW,Ni,refined_metal,0.0309666666666666
1822,ROW,Sn,refined_metal,81.47045864137291
1822,ROW,Zn,refined_metal,314.6588343189891
1823,CHN,Ni,refined_metal,0.038023717960982036
1823,CHN,Sn,refined_metal,9.756820841988153
1823,CHN,Zn,refined_metal,10.60266114568601
1823,EU27,Ni,refined_metal,3.1761611580161664
1823,EU27,Sn,refined_metal,6.260087064297011
1823,EU27,Zn,refined_metal,153.4527469447397
1823,ROW,Ni,refined_metal,0.0309666666666666
1823,ROW,Sn,refined_metal,81.6484281886851
1823,ROW,Zn,refined_metal,316.1503265976697
1824,CHN,Ni,refined_metal,0.03866809130208574
1824,CHN,Sn,refined_metal,9.788349060200702
1824,CHN,Zn,refined_metal,10.68474276403992
1824,EU27,Ni,refined_metal,3.2421308051555537
1824,EU27,Sn,refined_metal,6.39129507428475
1824,EU27,Zn,refined_metal,156.38274800227882
1824,ROW,Ni,refined_metal,0.0309666666666666
1824,ROW,Sn,refined_metal,81.80677232313475
1824,ROW,Zn,refined_metal,317.505769975006
1825,CHN,Ni,refined_metal,0.039271900590075674
1825,CHN,Sn,refined_metal,9.817594090072877
1825,CHN,Zn,refined_metal,10.76016529988313
1825,EU27,Ni,refined_metal,3.3051108896629793
1825,EU27,Sn,refined_metal,6.542048321841725
1825,EU27,Zn,refined_metal,159.29899781122222
1825,ROW,Ni,refined_metal,0.0309666666666666
1825,ROW,Sn,refined_metal,81.94793690504946
1825,ROW,Zn,refined_metal,318.7386690229262
1826,CHN,Ni,refined_metal,0.039837886230863505
1826,CHN,Sn,refined_metal,9.844740234062126
1826,CHN,Zn,refined_metal,10.829500261118467
1826,EU27,Ni,refined_metal,3.365319372495012
1826,EU27,Sn,refined_metal,6.712096722299101
1826,EU27,Zn,refined_metal,162.2101235161718
1826,ROW,Ni,refined_metal,0.0309666666666666
1826,ROW,Sn,refined_metal,82.07404587199213
1826,ROW,Zn,refined_metal,319.8611290516472
1827,CHN,Ni,refined_metal,0.04036859088274416
1827,CHN,Sn,refined_metal,9.869956040139098
1827,CHN,Zn,refined_metal,10.893268619669243
1827,EU27,Ni,refined_metal,3.4229516776269335
1827,EU27,Sn,refined_metal,6.8999643853914865
1827,EU27,Zn,refined_metal,165.11851609910582
1827,ROW,Ni,refined_metal,0.0309666666666666
1827,ROW,Sn,refined_metal,82.18694469741271
1827,ROW,Zn,refined_metal,320.88400445549775
1828,CHN,Ni,refined_metal,0.04086637585594692
1828,CHN,Sn,refined_metal,9.8933956890244
1828,CHN,Zn,refined_metal,10.951945352035434
1828,EU27,Ni,refined_metal,3.4781839161450736
1828,EU27,Sn,refined_metal,7.103672911509163
1828,EU27,Zn,refined_metal,167.78239137956498
1828,ROW,Ni,refined_metal,0.0309666666666666
1828,ROW,Sn,refined_metal,82.28823790723939
1828,ROW,Zn,refined_metal,321.81703111831615
1829,CHN,Ni,refined_metal,0.04133343538333485
1829,CHN,Sn,refined_metal,9.915200257346697
1829,CHN,Zn,refined_metal,11.005963568192614
1829,EU27,Ni,refined_metal,3.5311753731517936
1829,EU27,Sn,refined_metal,7.321109919202311
1829,EU27,Zn,refined_metal,170.37767270092132
1829,ROW,Ni,refined_metal,0.0309666666666666
1829,ROW,Sn,refined_metal,82.37932147250358
1829,ROW,Zn,refined_metal,322.66894460628674
1830,CHN,Ni,refined_metal,0.041771809339221075
1830,CHN,Sn,refined_metal,9.935498867917492
1830,CHN,Zn,refined_metal,11.055718266363069
1830,EU27,Ni,refined_metal,3.582070515491834
1830,EU27,Sn,refined_metal,7.550210550861409
1830,EU27,Zn,refined_metal,172.75322344340233
1830,ROW,Ni,refined_metal,0.0309666666666666
1830,ROW,Sn,refined_metal,82.46141078301109
1830,ROW,Zn,refined_metal,323.4475856876459
1831,CHN,Ni,refined_metal,0.04218339474774623
1831,CHN,Sn,refined_metal,9.954409737302479
1831,CHN,Zn,refined_metal,11.101569747754292
1831,EU27,Ni,refined_metal,3.631000668367071
1831,EU27,Sn,refined_metal,7.747102997306982
1831,EU27,Zn,refined_metal,175.0793652892827
1831,ROW,Ni,refined_metal,0.0309666666666666
1831,ROW,Sn,refined_metal,82.5355648096572
1831,ROW,Zn,refined_metal,324.15999455089315
1832,CHN,Ni,refined_metal,0.04256995629311823
1832,CHN,Sn,refined_metal,9.972041129946321
1832,CHN,Zn,refined_metal,11.143846722240967
1832,EU27,Ni,refined_metal,3.678085448702538
1832,EU27,Sn,refined_metal,7.946771038787805
1832,EU27,Zn,refined_metal,177.2066162717715
1832,ROW,Ni,refined_metal,0.0309666666666666
1832,ROW,Sn,refined_metal,82.60270697906306
1832,ROW,Zn,refined_metal,324.81249494372196
1833,CHN,Ni,refined_metal,0.04293313597230672
1833,CHN,Sn,refined_metal,9.98849222726864
1833,CHN,Zn,refined_metal,11.1828491331336
1833,EU27,Ni,refined_metal,3.723434009805475
1833,EU27,Sn,refined_metal,8.117292898467703
1833,EU27,Zn,refined_metal,179.30015942971085
1833,ROW,Ni,refined_metal,0.0309666666666666
1833,ROW,Sn,refined_metal,82.66364321191239
1833,ROW,Zn,refined_metal,325.41076932182136
1834,CHN,Ni,refined_metal,0.043274461990157345
1834,CHN,Sn,refined_metal,10.003853919386312
1834,CHN,Zn,refined_metal,11.21885072660376
1834,EU27,Ni,refined_metal,3.7671461331090597
1834,EU27,Sn,refined_metal,8.292880465701472
1834,EU27,Zn,refined_metal,181.2124377130213
1834,ROW,Ni,refined_metal,0.0309666666666666
1834,ROW,Sn,refined_metal,82.7190775140788
1834,ROW,Zn,refined_metal,325.95992597818963
1835,CHN,Ni,refined_metal,0.04359535697314894
1835,CHN,Sn,refined_metal,10.018209526423787
1835,CHN,Zn,refined_metal,11.252101388998794
1835,EU27,Ni,refined_metal,3.8093131919765173
1835,EU27,Sn,refined_metal,8.441743882941271
1835,EU27,Zn,refined_metal,183.10388081499804
1835,ROW,Ni,refined_metal,0.0309666666666666
1835,ROW,Sn,refined_metal,82.76962545596687
1835,ROW,Zn,refined_metal,326.4645590180547
1836,CHN,Ni,refined_metal,0.04389714556350919
1836,CHN,Sn,refined_metal,10.031635455742885
1836,CHN,Zn,refined_metal,11.282829273155826
1836,EU27,Ni,refined_metal,3.850019006077041
1836,EU27,Sn,refined_metal,8.59741231807559
1836,EU27,Zn,refined_metal,184.82906055094566
1836,ROW,Ni,refined_metal,0.0309666666666666
1836,ROW,Sn,refined_metal,82.81582582924902
1836,ROW,Zn,refined_metal,326.92880195048406
1837,CHN,Ni,refined_metal,0.044181061446002166
1837,CHN,Sn,refined_metal,10.044201800850464
1837,CHN,Zn,refined_metal,11.311242732896611
1837,EU27,Ni,refined_metal,3.889340600795692
1837,EU27,Sn,refined_metal,8.728294532668858
1837,EU27,Zn,refined_metal,186.54397621439716
1837,ROW,Ni,refined_metal,0.0309666666666666
1837,ROW,Sn,refined_metal,82.85815073033602
1837,ROW,Zn,refined_metal,327.35637558402726
1838,CHN,Ni,refined_metal,0.044448253853170486
1838,CHN,Sn,refined_metal,10.055972887221465
1838,CHN,Zn,refined_metal,11.337532083133063
1838,EU27,Ni,refined_metal,3.9273488834542776
1838,EU27,Sn,refined_metal,8.8673048294138
1838,EU27,Zn,refined_metal,188.10547976042113
1838,ROW,Ni,refined_metal,0.0309666666666666
1838,ROW,Sn,refined_metal,82.8970142855837
1838,ROW,Zn,refined_metal,327.7506308391366
1839,CHN,Ni,refined_metal,0.04469979358994597
1839,CHN,Sn,refined_metal,10.067007769801158
1839,CHN,Zn,refined_metal,11.361871201422156
1839,EU27,Ni,refined_metal,3.9641092462266103
1839,EU27,Sn,refined_metal,8.983099063072661
1839,EU27,Zn,refined_metal,189.6654129126619
1839,ROW,Ni,refined_metal,0.0309666666666666
1839,ROW,Sn,refined_metal,82.9327802036504
1839,ROW,Zn,refined_metal,328.1145870236598
1840,CHN,Ni,refined_metal,0.04493667861467286
1840,CHN,Sn,refined_metal,10.077360686519933
1840,CHN,Zn,refined_metal,11.384418985363407
1840,EU27,Ni,refined_metal,3.999682104214588
1840,EU27,Sn,refined_metal,9.108028693851924
1840,EU27,Zn,refined_metal,191.0830172176722
1840,ROW,Ni,refined_metal,0.0309666666666666
1840,ROW,Sn,refined_metal,82.96576831491961
1840,ROW,Zn,refined_metal,328.450966058491
1841,CHN,Ni,refined_metal,0.04515983921035356
1841,CHN,Sn,refined_metal,10.087081471762332
1841,CHN,Zn,refined_metal,11.405320678919097
1841,EU27,Ni,refined_metal,4.034123376036239
1841,EU27,Sn,refined_metal,9.21103163057089
1841,EU27,Zn,refined_metal,192.50620929220264
1841,ROW,Ni,refined_metal,0.0309666666666666
1841,ROW,Sn,refined_metal,82.99626023592486
1841,ROW,Zn,refined_metal,328.76222308771827
1842,CHN,Ni,refined_metal,0.04537014277712472
1842,CHN,Sn,refined_metal,10.096215933376198
1842,CHN,Zn,refined_metal,11.424709079544426
1842,EU27,Ni,refined_metal,4.067484913363699
1842,EU27,Sn,refined_metal,9.32393673648917
1842,EU27,Zn,refined_metal,193.79669653963475
1842,ROW,Ni,refined_metal,0.0309666666666666
1842,ROW,Sn,refined_metal,83.02450427777049
1842,ROW,Zn,refined_metal,329.0505738606021
1843,CHN,Ni,refined_metal,0.04556839827448453
1843,CHN,Sn,refined_metal,10.104806196484047
1843,CHN,Zn,refined_metal,11.442705636931201
1843,EU27,Ni,refined_metal,4.0998148850801845
1843,EU27,Sn,refined_metal,9.415988910987295
1843,EU27,Zn,refined_metal,195.09867033886673
1843,ROW,Ni,refined_metal,0.0309666666666666
1843,ROW,Sn,refined_metal,83.05071970121362
1843,ROW,Zn,refined_metal,329.318019230839
1844,CHN,Ni,refined_metal,0.04575536033955043
1844,CHN,Sn,refined_metal,10.112891017064523
1844,CHN,Zn,refined_metal,11.459421453183941
1844,EU27,Ni,refined_metal,4.131158121064965
1844,EU27,Sn,refined_metal,9.51852589297809
1844,EU27,Zn,refined_metal,196.27635390515238
1844,ROW,Ni,refined_metal,0.0309666666666666
1844,ROW,Sn,refined_metal,83.07510040699584
1844,ROW,Zn,refined_metal,329.56636708123625
1845,CHN,Ni,refined_metal,0.04593173310558785
1845,CHN,Sn,refined_metal,10.120506068004167
1845,CHN,Zn,refined_metal,11.474958193352947
1845,EU27,Ni,refined_metal,4.161556420041787
1845,EU27,Sn,refined_metal,9.601117068698866
1845,EU27,Zn,refined_metal,197.47038685687147
1845,ROW,Ni,refined_metal,0.0309666666666666
1845,ROW,Sn,refined_metal,83.09781813787778
1845,ROW,Zn,refined_metal,329.797251948664
1846,CHN,Ni,refined_metal,0.04609817374318469
1846,CHN,Sn,refined_metal,10.127684200076354
1846,CHN,Zn,refined_metal,11.489408914436034
1846,EU27,Ni,refined_metal,4.191048825423697
1846,EU27,Sn,refined_metal,9.694633978567307
1846,EU27,Zn,refined_metal,198.54753734287655
1846,ROW,Ni,refined_metal,0.0309666666666666
1846,ROW,Sn,refined_metal,83.11902525836643
1846,ROW,Zn,refined_metal,330.012152594499
1847,CHN,Ni,refined_metal,0.04625529574473401
1847,CHN,Sn,refined_metal,10.134455680082993
1847,CHN,Zn,refined_metal,11.502858820222347
1847,EU27,Ni,refined_metal,4.219671872644894
1847,EU27,Sn,refined_metal,9.768982466809387
1847,EU27,Zn,refined_metal,199.64504525995045
1847,ROW,Ni,refined_metal,0.0309666666666666
1847,ROW,Sn,refined_metal,83.13885716910286
1847,ROW,Zn,refined_metal,330.2124077393501
1848,CHN,Ni,refined_metal,0.04640367197131181
1848,CHN,Sn,refined_metal,10.140848408193259
1848,CHN,Zn,refined_metal,11.515385948680661
1848,EU27,Ni,refined_metal,4.247459811079577
1848,EU27,Sn,refined_metal,9.854587905142798
1848,EU27,Zn,refined_metal,200.6322363434394
1848,ROW,Ni,refined_metal,0.0309666666666666
1848,ROW,Sn,refined_metal,83.15743440509752
1848,ROW,Zn,refined_metal,330.3992301572965
1849,CHN,Ni,refined_metal,0.046543837479585355
1849,CHN,Sn,refined_metal,10.146888116330675
1849,CHN,Zn,refined_metal,11.527061797985024
1849,EU27,Ni,refined_metal,4.274444803302093
1849,EU27,Sn,refined_metal,9.921700461804118
1849,EU27,Zn,refined_metal,201.64308532875452
1849,ROW,Ni,refined_metal,0.0309666666666666
1849,ROW,Sn,refined_metal,83.17486446028998
1849,ROW,Zn,refined_metal,330.57371930386853
1850,CHN,Ni,refined_metal,0.046676292145049994
1850,CHN,Sn,refined_metal,10.152598549293332
1850,CHN,Zn,refined_metal,11.53795189671662
1850,EU27,Ni,refined_metal,4.300657104136485
1850,EU27,Sn,refined_metal,10.00031569841967
1850,EU27,Zn,refined_metal,202.54947520130307
1850,ROW,Ni,refined_metal,0.0309666666666666
1850,ROW,Sn,refined_metal,83.19124337512264
1850,ROW,Zn,refined_metal,330.7368726332776
1851,CHN,Ni,refined_metal,0.04680150309665833
1851,CHN,Sn,refined_metal,10.158001630140637
1851,CHN,Zn,refined_metal,11.548116323277398
1851,EU27,Ni,refined_metal,4.326125221671988
1851,EU27,Sn,refined_metal,10.061032921888888
1851,EU27,Zn,refined_metal,203.48223578555644
1851,ROW,Ni,refined_metal,0.0309666666666666
1851,ROW,Sn,refined_metal,83.20665711882431
1851,ROW,Zn,refined_metal,330.88959574370347
1852,CHN,Ni,refined_metal,0.046919906976767255
1852,CHN,Sn,refined_metal,10.163117611242335
1852,CHN,Zn,refined_metal,11.557610179093603
1852,EU27,Ni,refined_metal,4.3508760621801645
1852,EU27,Sn,refined_metal,10.13343148084742
1852,EU27,Zn,refined_metal,204.31579676641354
1852,ROW,Ni,refined_metal,0.0309666666666666
1852,ROW,Sn,refined_metal,83.22118279379289
1852,ROW,Zn,refined_metal,331.032711474562
1853,CHN,Ni,refined_metal,0.047031912039277736
1853,CHN,Sn,refined_metal,10.167965212260183
1853,CHN,Zn,refined_metal,11.566484019771675
1853,EU27,Ni,refined_metal,4.3749350606555995
1853,EU27,Sn,refined_metal,10.188462366685815
1853,EU27,Zn,refined_metal,205.17795153718208
1853,ROW,Ni,refined_metal,0.0309666666666666
1853,ROW,Sn,refined_metal,83.23488968574912
1853,ROW,Zn,refined_metal,331.16696806639754
1854,CHN,Ni,refined_metal,0.04713790009787244
1854,CHN,Sn,refined_metal,10.172561746218825
1854,CHN,Zn,refined_metal,11.574784247991259
1854,EU27,Ni,refined_metal,4.398326298512272
1854,EU27,Sn,refined_metal,10.255300226916244
1854,EU27,Zn,refined_metal,205.9456579319407
1854,ROW,Ni,refined_metal,0.0309666666666666
1854,ROW,Sn,refined_metal,83.24784018012598
1854,ROW,Zn,refined_metal,331.2930464822028
1855,CHN,Ni,refined_metal,0.04723822833536109
1855,CHN,Sn,refined_metal,10.176923234718668
1855,CHN,Zn,refined_metal,11.582553471576698
1855,EU27,Ni,refined_metal,4.421072609799266
1855,EU27,Sn,refined_metal,10.305248596103588
1855,EU27,Zn,refined_metal,206.7437716592827
1855,ROW,Ni,refined_metal,0.0309666666666666
1855,ROW,Sn,refined_metal,83.26009056239002
1855,ROW,Zn,refined_metal,331.4115669784064
1856,CHN,Ni,refined_metal,0.047333230984316466
1856,CHN,Sn,refined_metal,10.181064513249355
1856,CHN,Zn,refined_metal,11.58983082987651
1856,EU27,Ni,refined_metal,4.4431956771497605
1856,EU27,Sn,refined_metal,10.36708735061892
1856,EU27,Zn,refined_metal,207.4517539200526
1856,ROW,Ni,refined_metal,0.0309666666666666
1856,ROW,Sn,refined_metal,83.27169171760144
1856,ROW,Zn,refined_metal,331.5230950043464
1857,CHN,Ni,refined_metal,0.047423220888421144
1857,CHN,Sn,refined_metal,10.184999327476596
1857,CHN,Zn,refined_metal,11.596652291296621
