t,r,m,value
1820,CHN,Ni,0.0001389800853788164
1820,CHN,Sn,0.0
1820,CHN,Zn,0.0
1820,EU27,Ni,0.00068329221266443
1820,EU27,Sn,0.48712838462036323
1820,EU27,Zn,0.05141779635819236
1820,ROW,Ni,
1820,ROW,Sn,0.0
1820,ROW,Zn,0.0
1821,CHN,Ni,0.00019952470515909978
1821,CHN,Sn,0.0
1821,CHN,Zn,0.0
1821,EU27,Ni,0.000976659493045519
1821,EU27,Sn,0.4788158882083243
1821,EU27,Zn,0.07093767554684256
1821,ROW,Ni,
1821,ROW,Sn,0.0
1821,ROW,Zn,0.0
1822,CHN,Ni,0.000286982716804585
1822,CHN,Sn,0.0
1822,CHN,Zn,0.0
1822,EU27,Ni,0.0013990976109612516
1822,EU27,Sn,0.6057608881037688
1822,EU27,Zn,0.10080903200214213
1822,ROW,Ni,
1822,ROW,Sn,0.0
1822,ROW,Zn,0.0
1823,CHN,Ni,0.000382854320816914
1823,CHN,Sn,0.0
1823,CHN,Zn,0.0
1823,EU27,Ni,0.0018588510778853283
1823,EU27,Sn,0.6859390294163134
1823,EU27,Zn,0.13158168948347612
1823,ROW,Ni,
1823,ROW,Sn,0.0
1823,ROW,Zn,0.0
1824,CHN,Ni,0.0004781626976485425
1824,CHN,Sn,0.0
1824,CHN,Zn,0.0
1824,EU27,Ni,0.0023120719067212373
1824,EU27,Sn,0.7333730567956369
1824,EU27,Zn,0.1602755504832175
1824,ROW,Ni,
1824,ROW,Sn,0.0
1824,ROW,Zn,0.0
1825,CHN,Ni,0.0005687879239051998
1825,CHN,Sn,0.0
1825,CHN,Zn,0.0
1825,EU27,Ni,0.0027390265244899826
1825,EU27,Sn,0.7618940925697074
1825,EU27,Zn,0.18593108292051239
1825,ROW,Ni,
1825,ROW,Sn,0.0
1825,ROW,Zn,0.0
1826,CHN,Ni,0.0006530667661913935
1826,CHN,Sn,0.0
1826,CHN,Zn,0.0
1826,EU27,Ni,0.0031320807626236975
1826,EU27,Sn,0.7796586784710665
1826,EU27,Zn,0.15044405452143464
1826,ROW,Ni,
1826,ROW,Sn,0.0
1826,ROW,Zn,0.0
1827,CHN,Ni,0.0007305547716123126
1827,CHN,Sn,0.0
1827,CHN,Zn,0.0
1827,EU27,Ni,0.0034895371961679283
1827,EU27,Sn,0.7910759933316475
1827,EU27,Zn,0.164473493765826
1827,ROW,Ni,
1827,ROW,Sn,0.0
1827,ROW,Zn,0.0
1828,CHN,Ni,0.0008013902469747794
1828,CHN,Sn,0.0
1828,CHN,Zn,0.0
1828,EU27,Ni,0.003812491019809344
1828,EU27,Sn,0.7985566914910663
1828,EU27,Zn,0.13510693211149621
1828,ROW,Ni,
1828,ROW,Sn,0.0
1828,ROW,Zn,0.0
1829,CHN,Ni,0.0008659700325672669
1829,CHN,Sn,0.0
1829,CHN,Zn,0.0
1829,EU27,Ni,0.00410324083706278
1829,EU27,Sn,0.679239358732057
1829,EU27,Zn,0.14916181006175255
1829,ROW,Ni,
1829,ROW,Sn,0.0
1829,ROW,Zn,0.0
1830,CHN,Ni,0.0009247866312124619
1830,CHN,Sn,0.0
1830,CHN,Zn,0.0
1830,EU27,Ni,0.0043644987984128025
1830,EU27,Sn,0.7558946668930124
1830,EU27,Zn,0.12177070758026375
1830,ROW,Ni,
1830,ROW,Sn,0.0
1830,ROW,Zn,0.0
1831,CHN,Ni,0.0009783485766343574
1831,CHN,Sn,0.0
1831,CHN,Zn,0.0
1831,EU27,Ni,0.004599010008230216
1831,EU27,Sn,0.6671917908577342
1831,EU27,Zn,0.1357762094628702
1831,ROW,Ni,
1831,ROW,Sn,0.0
1831,ROW,Zn,0.0
1832,CHN,Ni,0.0010271434631360069
1832,CHN,Sn,0.0
1832,CHN,Zn,0.0
1832,EU27,Ni,0.004809379873033033
1832,EU27,Sn,0.7425421703791859
1832,EU27,Zn,0.11009160793811587
1832,ROW,Ni,
1832,ROW,Sn,0.0
1832,ROW,Zn,0.0
1833,CHN,Ni,0.001071622577202303
1833,CHN,Sn,0.0
1833,CHN,Zn,0.0
1833,EU27,Ni,0.004998005638032327
1833,EU27,Sn,0.6568966285889911
1833,EU27,Zn,0.12399293528031505
1833,ROW,Ni,
1833,ROW,Sn,0.0
1833,ROW,Zn,0.0
1834,CHN,Ni,0.0011121962326255182
1834,CHN,Sn,0.0
1834,CHN,Zn,0.0
1834,EU27,Ni,0.005167058834043598
1834,EU27,Sn,0.7309667190022295
1834,EU27,Zn,0.09979840080188442
1834,ROW,Ni,
1834,ROW,Sn,0.0
1834,ROW,Zn,0.0
1835,CHN,Ni,0.0011492342018399055
1835,CHN,Sn,0.0
1835,CHN,Zn,0.0
1835,EU27,Ni,0.005318491464779288
1835,EU27,Sn,0.6480124751268266
1835,EU27,Zn,0.11355543688421098
1835,ROW,Ni,
1835,ROW,Sn,0.0
1835,ROW,Zn,0.0
1836,CHN,Ni,0.0011830683887307492
1836,CHN,Sn,0.0
1836,CHN,Zn,0.0
1836,EU27,Ni,0.005454052249334534
1836,EU27,Sn,0.7208322738062344
1836,EU27,Zn,0.09067471349094916
1836,ROW,Ni,
1836,ROW,Sn,0.0
1836,ROW,Zn,0.0
1837,CHN,Ni,0.001213996316242043
1837,CHN,Sn,0.0
1837,CHN,Zn,0.0
1837,EU27,Ni,0.005575306175500025
1837,EU27,Sn,0.6402797741216424
1837,EU27,Zn,0.10425821990724625
1837,ROW,Ni,
1837,ROW,Sn,0.0
1837,ROW,Zn,0.0
1838,CHN,Ni,0.0012422847389949128
1838,CHN,Sn,0.0
1838,CHN,Zn,0.0
1838,EU27,Ni,0.00568365416860439
1838,EU27,Sn,0.7118820989106834
1838,EU27,Zn,0.08254617688387288
1838,ROW,Ni,
1838,ROW,Sn,0.0
1838,ROW,Zn,0.0
1839,CHN,Ni,0.0012681730677280866
1839,CHN,Sn,0.0
1839,CHN,Zn,0.0
1839,EU27,Ni,0.005780351474451352
1839,EU27,Sn,0.6334987416305263
1839,EU27,Zn,0.0959350423700485
1839,ROW,Ni,
1839,ROW,Sn,0.0
1839,ROW,Zn,0.0
1840,CHN,Ni,0.0012918764816740726
1840,CHN,Sn,0.0
1840,CHN,Zn,0.0
1840,EU27,Ni,0.005866524243683749
1840,EU27,Sn,0.7039175708478489
1840,EU27,Zn,0.07527094099374253
1840,ROW,Ni,
1840,ROW,Sn,0.0
1840,ROW,Zn,0.0
1841,CHN,Ni,0.0013135886974261417
1841,CHN,Sn,0.0
1841,CHN,Zn,0.0
1841,EU27,Ni,0.005943184229980632
1841,EU27,Sn,0.6275137268133228
1841,EU27,Zn,0.08845016660109342
1841,ROW,Ni,
1841,ROW,Sn,0.0
1841,ROW,Zn,0.0
1842,CHN,Ni,0.0013334844056525135
1842,CHN,Sn,0.0
1842,CHN,Zn,0.0
1842,EU27,Ni,0.006011241704658029
1842,EU27,Sn,0.6967831182474478
1842,EU27,Zn,0.06873258753533416
1842,ROW,Ni,
1842,ROW,Sn,0.0
1842,ROW,Zn,0.0
1843,CHN,Ni,0.0013517214047627409
1843,CHN,Sn,0.0
1843,CHN,Zn,0.0
1843,EU27,Ni,0.006071516763641123
1843,EU27,Sn,0.6222019991174986
1843,EU27,Zn,0.08169179532387376
1843,ROW,Ni,
1843,ROW,Sn,0.0
1843,ROW,Zn,0.0
1844,CHN,Ni,0.0013684424660642392
1844,CHN,Sn,0.0
1844,CHN,Zn,0.0
1844,EU27,Ni,0.006124749220011259
1844,EU27,Sn,0.6903553967963205
1844,EU27,Zn,0.06283477264456158
1844,ROW,Ni,
1844,ROW,Sn,0.0
1844,ROW,Zn,0.0
1845,CHN,Ni,0.0013837769646047513
1845,CHN,Sn,0.0
1845,CHN,Zn,0.0
1845,EU27,Ni,0.006171607267153179
1845,EU27,Sn,0.6174656271783644
1845,EU27,Zn,0.07556709181363266
1845,ROW,Ni,
1845,ROW,Sn,0.0
1845,ROW,Zn,0.0
1846,CHN,Ni,0.0013978423070896196
1846,CHN,Sn,0.0
1846,CHN,Zn,0.0
1846,EU27,Ni,0.006212695079248426
1846,EU27,Sn,0.6845354303543227
1846,EU27,Zn,0.057497135435096644
1846,ROW,Ni,
1846,ROW,Sn,0.0
1846,ROW,Zn,0.0
1847,CHN,Ni,0.0014107451846254709
1847,CHN,Sn,0.0
1847,CHN,Zn,0.0
1847,EU27,Ni,0.006248559494867469
1847,EU27,Sn,0.613225543272769
1847,EU27,Zn,0.06999836391793868
1847,ROW,Ni,
1847,ROW,Sn,0.0
1847,ROW,Zn,0.0
1848,CHN,Ni,0.0014225826743473086
1848,CHN,Sn,0.0
1848,CHN,Zn,0.0
1848,EU27,Ni,0.006279695909070012
1848,EU27,Sn,0.6792428535107069
1848,EU27,Zn,0.05265214393925039
1848,ROW,Ni,
1848,ROW,Sn,0.0
1848,ROW,Zn,0.0
