t,r,m,value
1820,CHN,Ni,0.99999999997208
1820,CHN,Sn,0.5343166484905021
1820,CHN,Zn,0.6140142169736149
1820,EU27,Ni,0.999999999999662
1820,EU27,Sn,0.9999999999998325
1820,EU27,Zn,0.9999999999999931
1820,ROW,Ni,0.0
1820,ROW,Sn,0.43038932293324705
1820,ROW,Zn,0.5781525084674786
1821,CHN,Ni,1.0001360004577555
1821,CHN,Sn,0.5321286011297633
1821,CHN,Zn,0.6077613811087669
1821,EU27,Ni,1.0006660656964392
1821,EU27,Sn,1.481167003988314
1821,EU27,Zn,1.0503568144967745
1821,ROW,Ni,0.0
1821,ROW,Sn,0.4291919156413855
1821,ROW,Zn,0.574808352092923
1822,CHN,Ni,1.0001956254497573
1822,CHN,Sn,0.530119011752623
1822,CHN,Zn,0.6021341570162058
1822,EU27,Ni,1.0009544365079999
1822,EU27,Sn,1.697147728687776
1822,EU27,Zn,1.0730034955445917
1822,ROW,Ni,0.0
1822,ROW,Sn,0.4281361258386944
1822,ROW,Zn,0.5718076842054416
1823,CHN,Ni,1.000281845951233
1823,CHN,Sn,0.5282709783190365
1823,CHN,Zn,0.5970588870430534
1823,EU27,Ni,1.0013699194762435
1823,EU27,Sn,2.0093387614254756
1823,EU27,Zn,1.1060788364988605
1823,ROW,Ni,0.0
1823,ROW,Sn,0.4272029150691322
1823,ROW,Zn,0.5691100853920519
1824,CHN,Ni,1.0003765804364781
1824,CHN,Sn,0.5265694204181727
1824,CHN,Zn,0.592472201075656
1824,EU27,Ni,1.001823522542895
1824,EU27,Sn,2.349988849906132
1824,EU27,Zn,1.1428128768490642
1824,ROW,Ni,0.0
1824,ROW,Sn,0.426376026611123
1824,ROW,Zn,0.5666805342809629
1825,CHN,Ni,1.0004709881724279
1825,CHN,Sn,0.5250008550152219
1825,CHN,Zn,0.5883193135896044
1825,EU27,Ni,1.0022721503148688
1825,EU27,Sn,2.6837045017560746
1825,EU27,Zn,1.1798118044386992
1825,ROW,Ni,0.0
1825,ROW,Sn,0.42564154572230267
1825,ROW,Zn,0.564488582192653
1826,CHN,Ni,1.0005609710896461
1826,CHN,Sn,0.5235532039380091
1826,CHN,Zn,0.5845526488480942
1826,EU27,Ni,1.002696135100217
1826,EU27,Sn,2.992896949802238
1826,EU27,Zn,1.215426846665658
1826,ROW,Ni,0.0
1826,ROW,Sn,0.4249875361014947
1826,ROW,Zn,0.5625076729397555
1827,CHN,Ni,1.0006448427511712
1827,CHN,Sn,0.5222156279642369
1827,CHN,Zn,0.5811307225002723
1827,EU27,Ni,1.0030876481890028
1827,EU27,Sn,3.2699047731607664
1827,EU27,Zn,1.1796329624534811
1827,ROW,Ni,0.0
1827,ROW,Sn,0.4244037378617512
1827,ROW,Zn,0.5607145786903128
1828,CHN,Ni,1.0007221213634392
1828,CHN,Sn,0.5209783833066238
1828,CHN,Zn,0.5780172252376532
1828,EU27,Ni,1.003444728040416
1828,EU27,Sn,3.5125644079530582
1828,EU27,Zn,1.1909379319247422
1828,ROW,Ni,0.0
1828,ROW,Sn,0.4238813154844618
1828,ROW,Zn,0.5590889293257312
1829,CHN,Ni,1.0007929068355998
1829,CHN,Sn,0.5198326970412526
1829,CHN,Zn,0.5751802669629871
1829,EU27,Ni,1.003768213840844
1829,EU27,Sn,3.7216738359295802
1829,EU27,Zn,1.158452997358029
1829,ROW,Ni,0.0
1829,ROW,Sn,0.42341264663925793
1829,ROW,Zn,0.5576128176396538
1830,CHN,Ni,1.0008575615199908
1830,CHN,Sn,0.5187706586253178
1830,CHN,Zn,0.5725917494296294
1830,EU27,Ni,1.0040601829504499
