t,r,m,value
1820,CHN,Ni,0.0053887166666666585
1820,CHN,Sn,0.09019929260092055
1820,CHN,Zn,0.19940801149516313
1820,EU27,Ni,3.251974483333335
1820,EU27,Sn,0.9608312869926955
1820,EU27,Zn,8.732387784324663
1820,ROW,Ni,0.0
1820,ROW,Sn,0.4883262514622718
1820,ROW,Zn,4.408146314484775
1821,CHN,Ni,0.006260599904731401
1821,CHN,Sn,0.13427141677403398
1821,CHN,Zn,0.31726491890324515
1821,EU27,Ni,3.3369704681966312
1821,EU27,Sn,1.0429816696070182
1821,EU27,Zn,12.112916798941392
1821,ROW,Ni,0.0
1821,ROW,Sn,0.7395544611159792
1821,ROW,Zn,6.4198707920618086
1822,CHN,Ni,0.007076840231515551
1822,CHN,Sn,0.17506951486875916
1822,CHN,Zn,0.4254226045295142
1822,EU27,Ni,3.4177670691433484
1822,EU27,Sn,1.1590936465160522
1822,EU27,Zn,15.493407294858425
1822,ROW,Ni,0.0
1822,ROW,Sn,0.962235675948331
1822,ROW,Zn,8.244994391403802
1823,CHN,Ni,0.007841168104794925
1823,CHN,Sn,0.21286172278553153
1823,CHN,Zn,0.5247200914972208
1823,EU27,Ni,3.494660545943889
1823,EU27,Sn,1.2857958390233877
1823,EU27,Zn,18.787199799359843
1823,ROW,Ni,0.0
1823,ROW,Sn,1.1599796174063286
1823,ROW,Zn,9.902208034382216
1824,CHN,Ni,0.008557138483799045
1824,CHN,Sn,0.24789307635502988
1824,CHN,Zn,0.6159218896682299
1824,EU27,Ni,3.5679601538765415
1824,EU27,Sn,1.431582516787543
1824,EU27,Zn,22.042756529958883
1824,ROW,Ni,0.0
1824,ROW,Sn,1.3359175445725988
1824,ROW,Zn,11.408256231422621
1825,CHN,Ni,0.009228037692676749
1825,CHN,Sn,0.28038755399078064
1825,CHN,Zn,0.699724707271799
1825,EU27,Ni,3.637938025551459
1825,EU27,Sn,1.5990861251841813
1825,EU27,Zn,25.28303409545154
1825,ROW,Ni,0.0
1825,ROW,Sn,1.4927670800333859
1825,ROW,Zn,12.778144062445087
1826,CHN,Ni,0.009856910626885452
1826,CHN,Sn,0.3105499362010573
1826,CHN,Zn,0.776763553088839
1826,EU27,Ni,3.7048363398092734
1826,EU27,Sn,1.7880287923590434
1826,EU27,Zn,28.517618212062168
1826,ROW,Ni,0.0
1826,ROW,Sn,1.632888154414123
1826,ROW,Zn,14.025321872135033
1827,CHN,Ni,0.0104465824623084
1827,CHN,Sn,0.33856749850880374
1827,CHN,Zn,0.847617284811923
1827,EU27,Ni,3.768872234400297
1827,EU27,Sn,1.9967706402394712
1827,EU27,Zn,31.749165526433334
1827,ROW,Ni,0.0
1827,ROW,Sn,1.7583312937703268
1827,ROW,Zn,15.161850098635686
1828,CHN,Ni,0.010999676876978129
1828,CHN,Sn,0.3646115528258069
1828,CHN,Zn,0.912813654107691
1828,EU27,Ni,3.830241388309342
1828,EU27,Sn,2.2231134470368894
1828,EU27,Zn,34.70902694916573
1828,ROW,Ni,0.0
1828,ROW,Sn,1.8708793046888592
1828,ROW,Zn,16.198546390656134
1829,CHN,Ni,0.011518631907409163
1829,CHN,Sn,0.3888388509616929
1829,CHN,Zn,0.9728338942823359
1829,EU27,Ni,3.889120784983475
1829,EU27,Sn,2.464710122251499
1829,EU27,Zn,37.59267286178388
1829,ROW,Ni,0.0
1829,ROW,Sn,1.9720832660935188
1829,ROW,Zn,17.145116932845635
1830,CHN,Ni,0.012005714080616077
1830,CHN,Sn,0.41139286270701947
1830,CHN,Zn,1.0281168922495085
1830,EU27,Ni,3.945670943139076
1830,EU27,Sn,2.7192663796504966
1830,EU27,Zn,40.232173686762785
1830,ROW,Ni,0.0
1830,ROW,Sn,2.06329361110187
1830,ROW,Zn,18.010273689911383
1831,CHN,Ni,0.012463031201199588
1831,CHN,Sn,0.4324049398014488
1831,CHN,Zn,1.0790629826841998
1831,EU27,Ni,4.000037779667116
1831,EU27,Sn,2.938035764590022
1831,EU27,Zn,42.816775737740976
1831,ROW,Ni,0.0
1831,ROW,Sn,2.1456869740419893
1831,ROW,Zn,18.801839093519416
1832,CHN,Ni,0.012892544029390697
1832,CHN,Sn,0.4519953760723845
1832,CHN,Zn,1.1260373987805063
1832,EU27,Ni,4.052354202262079
1832,EU27,Sn,3.159889144013159
1832,EU27,Zn,45.1803879405063
1832,ROW,Ni,0.0
1832,ROW,Sn,2.220289384492932
1832,ROW,Zn,19.526839529995886
1833,CHN,Ni,0.013296077006266796
1833,CHN,Sn,0.4702743730971848
1833,CHN,Zn,1.1693734108834304
1833,EU27,Ni,4.102741492376454
1833,EU27,Sn,3.349357876990824
1833,EU27,Zn,47.506547004883345
1833,ROW,Ni,0.0
1833,ROW,Sn,2.2879963098810747
1833,ROW,Zn,20.19158883899524
1834,CHN,Ni,0.01367532813721194
1834,CHN,Sn,0.48734291989459777
1834,CHN,Zn,1.2093751814058311
1834,EU27,Ni,4.151310518269327
1834,EU27,Sn,3.5444551739172345
1834,EU27,Zn,49.63130065300607
1834,ROW,Ni,0.0
1834,ROW,Sn,2.349589978954879
1834,ROW,Zn,20.801762901626642
1835,CHN,Ni,0.014031878118313705
1835,CHN,Sn,0.5032935943806806
1835,CHN,Zn,1.246320361844757
1835,EU27,Ni,4.198162805899835
1835,EU27,Sn,3.7098589708503433
1835,EU27,Zn,51.73290409964689
1835,ROW,Ni,0.0
1835,ROW,Sn,2.4057543588305084
1835,ROW,Zn,21.362466279254473
1836,CHN,Ni,0.014367198774269544
1836,CHN,Sn,0.518211293624122
1836,CHN,Zn,1.2804624553525705
1836,EU27,Ni,4.243391488233751
1836,EU27,Sn,3.882823898777364
1836,EU27,Zn,53.64977047292202
1836,ROW,Ni,0.0
1836,ROW,Sn,2.4570881069217863
1836,ROW,Zn,21.878291759731592
1837,CHN,Ni,0.014682660865928407
1837,CHN,Sn,0.5321738992992118
1837,CHN,Zn,1.3120329661756651
1837,EU27,Ni,4.287082149032251
1837,EU27,Sn,4.028248581658774
1837,EU27,Zn,55.555232321201466
1837,ROW,Ni,0.0
1837,ROW,Sn,2.5041157747962264
1837,ROW,Zn,22.353373574779585
1838,CHN,Ni,0.014979541318337645
1838,CHN,Sn,0.5452528841558779
1838,CHN,Zn,1.3412433553272791
1838,EU27,Ni,4.3293135742084585
1838,EU27,Sn,4.182704466930933
1838,EU27,Zn,57.290236261228145
1838,ROW,Ni,0.0
1838,ROW,Sn,2.5472975028492026
1838,ROW,Zn,22.791434969345513
1839,CHN,Ni,0.015259029914754852
1839,CHN,Sn,0.5575138647999827
1839,CHN,Zn,1.368286820092937
1839,EU27,Ni,4.370158421733271
1839,EU27,Sn,4.311364726551887
1839,EU27,Zn,59.02349531927341
1839,ROW,Ni,0.0
1839,ROW,Sn,2.5870374118122044
1839,ROW,Zn,23.195830729926826
1840,CHN,Ni,0.015522235497784736
1840,CHN,Sn,0.5690171055986208
1840,CHN,Zn,1.3933399133609952
1840,EU27,Ni,4.409683819497691
1840,EU27,Sn,4.4501754274177365
1840,EU27,Zn,60.5986112137293
1840,ROW,Ni,0.0
1840,ROW,Sn,2.6236908687780094
1840,ROW,Zn,23.569585213072642
1841,CHN,Ni,0.015770191715207736
1841,CHN,Sn,0.5798179780901755
1841,CHN,Zn,1.4165640173117597
1841,EU27,Ni,4.447951899299524
1841,EU27,Sn,4.564623134883254
1841,EU27,Zn,62.179935740985364
1841,ROW,Ni,0.0
1841,ROW,Sn,2.6575707810060627
1841,ROW,Zn,23.91542635665847
1842,CHN,Ni,0.01600386234495347
1842,CHN,Sn,0.5899673798833602
1842,CHN,Zn,1.4381066846732375
1842,EU27,Ni,4.485020274107814
1842,EU27,Sn,4.690073252570232
1842,EU27,Zn,63.61381046035437
1842,ROW,Ni,0.0
1842,ROW,Sn,2.6889530497234237
1842,ROW,Zn,24.23581610430722
1843,CHN,Ni,0.016224146230908808
1843,CHN,Sn,0.5995121166698588
1843,CHN,Zn,1.4581028595474315
1843,EU27,Ni,4.520942464903909
1843,EU27,Sn,4.792353446457038
1843,EU27,Zn,65.06044801505655
1843,ROW,Ni,0.0
1843,ROW,Sn,2.71808129799357
1843,ROW,Zn,24.532977626792608
1844,CHN,Ni,0.016431881858759812
1844,CHN,Sn,0.6084952506481658
1844,CHN,Zn,1.4766759887171441
1844,EU27,Ni,4.5557682826647765
1844,EU27,Sn,4.906283426446808
1844,EU27,Zn,66.36898531092952
1844,ROW,Ni,0.0
1844,ROW,Sn,2.7451709710849284
1844,ROW,Zn,24.808919682789522
1845,CHN,Ni,0.016627851598801393
1845,CHN,Sn,0.6169564183588805
1845,CHN,Zn,1.4939390333493723
1845,EU27,Ni,4.589544170416801
1845,EU27,Sn,4.998051399469893
1845,EU27,Zn,67.6956885906174
1845,ROW,Ni,0.0
1845,ROW,Sn,2.7704128942870816
1845,ROW,Zn,25.0654584243759
1846,CHN,Ni,0.016812785640575655
1846,CHN,Sn,0.6249321206613117
1846,CHN,Zn,1.5099953901083576
1846,EU27,Ni,4.622313509730033
1846,EU27,Sn,5.101959077101493
1846,EU27,Zn,68.89252246395637
1846,ROW,Ni,0.0
1846,ROW,Sn,2.7939763614966915
1846,ROW,Zn,25.304236919748156
1847,CHN,Ni,0.016987365642297123
1847,CHN,Sn,0.6324559873353539
1847,CHN,Zn,1.5249397298709273
1847,EU27,Ni,4.654116895531364
1847,EU27,Sn,5.184568508481584
1847,EU27,Zn,70.11197570514958
1847,ROW,Ni,0.0
1847,ROW,Sn,2.8160118178705082
1847,ROW,Zn,25.526742636249423
1848,CHN,Ni,0.017152228116272455
1848,CHN,Sn,0.6395590185689822
1848,CHN,Zn,1.5388587614912765
1848,EU27,Ni,4.684992382681012
1848,EU27,Sn,5.279685662185375
1848,EU27,Zn,71.20885468680395
1848,ROW,Ni,0.0
1848,ROW,Sn,2.836653191197892
1848,ROW,Zn,25.73432310063425
1849,CHN,Ni,0.017307967569909724
1849,CHN,Sn,0.6462698053883348
1849,CHN,Zn,1.5518319273850136
1849,EU27,Ni,4.714975707372696
1849,EU27,Sn,5.35425516958684
1849,EU27,Zn,72.33202022604299
1849,ROW,Ni,0.0
1849,ROW,Sn,2.8560199191895226
1849,ROW,Zn,25.928199930158737
1850,CHN,Ni,0.017455139420425987
1850,CHN,Sn,0.6526147309023966
1850,CHN,Zn,1.563932037086788
1850,EU27,Ni,4.744100486077576
1850,EU27,Sn,5.441605432493008
1850,EU27,Zn,73.33912008443028
1850,ROW,Ni,0.0
1850,ROW,Sn,2.8742187134480344
1850,ROW,Zn,26.109481407279915
1851,CHN,Ni,0.017594262699990808
1851,CHN,Sn,0.6586181540660693
1851,CHN,Zn,1.5752258443765406
1851,EU27,Ni,4.772398394450357
1851,EU27,Sn,5.5090690141254735
1851,EU27,Zn,74.37552073360068
1851,ROW,Ni,0.0
1851,ROW,Sn,2.8913450953387767
1851,ROW,Zn,26.279173752197554
