t,r,m,c,value
1820,EU27,Zn,concentrate,0.0
1820,EU27,Zn,refined_metal,144.40341613120802
1820,EU27,Zn,scrap,15.877068698772113
1820,EU27,Ni,concentrate,0.0
1820,EU27,Ni,refined_metal,2.957743701666668
1820,EU27,Ni,scrap,5.0030376666666685
1820,EU27,Sn,concentrate,0.0
1820,EU27,Sn,refined_metal,5.967618967469388
1820,EU27,Sn,scrap,3.2027709566423184
1820,CHN,Zn,concentrate,0.0
1820,CHN,Zn,refined_metal,10.30988027368416
1820,CHN,Zn,scrap,0.4431289144336959
1820,CHN,Ni,concentrate,0.0
1820,CHN,Ni,refined_metal,0.03581651166666659
1820,CHN,Ni,scrap,0.009797666666666649
1820,CHN,Sn,concentrate,0.0
1820,CHN,Sn,refined_metal,9.646424654822003
1820,CHN,Sn,scrap,0.3607971704036822
1820,ROW,Zn,concentrate,0.0
1820,ROW,Zn,refined_metal,311.205671049762
1820,ROW,Zn,scrap,12.594703755670785
1820,ROW,Ni,concentrate,0.0
1820,ROW,Ni,refined_metal,0.0309666666666666
1820,ROW,Ni,scrap,0.0
1820,ROW,Sn,concentrate,0.0
1820,ROW,Sn,refined_metal,81.04394015933546
1820,ROW,Sn,scrap,2.441631257311359
1821,EU27,Zn,concentrate,0.0
1821,EU27,Zn,refined_metal,154.8707976884249
1821,EU27,Zn,scrap,23.7854423374414
1821,EU27,Ni,concentrate,0.0
1821,EU27,Ni,refined_metal,3.0362610912820416
1821,EU27,Ni,scrap,5.236027811531446
1821,EU27,Sn,concentrate,0.0
1821,EU27,Sn,refined_metal,8.948550899475968
1821,EU27,Sn,scrap,4.047602476004094
1821,CHN,Zn,concentrate,0.0
1821,CHN,Zn,refined_metal,10.415951490351432
1821,CHN,Zn,scrap,1.278295002476681
1821,CHN,Ni,concentrate,0.0
1821,CHN,Ni,refined_metal,0.03660618436277441
1821,CHN,Ni,scrap,0.013083620206982852
1821,CHN,Sn,concentrate,0.0
1821,CHN,Sn,refined_metal,9.686089566577804
1821,CHN,Sn,scrap,0.5441836953803565
1821,ROW,Zn,concentrate,0.0
1821,ROW,Zn,refined_metal,313.01622307958127
1821,ROW,Zn,scrap,19.122260731218443
1821,ROW,Ni,concentrate,0.0
1821,ROW,Ni,refined_metal,0.0309666666666666
1821,ROW,Ni,scrap,0.24716662414844118
1821,ROW,Sn,concentrate,0.0
