t,m,c,o,d,value
1820,Ni,concentrate,CHN,CHN,0.0001016227990357
1820,Ni,concentrate,CHN,EU27,0.0040127325551739
1820,Ni,concentrate,CHN,ROW,0.9958856446457902
1820,Ni,concentrate,EU27,CHN,0.0001016227990357
1820,Ni,concentrate,EU27,EU27,0.0040127325551739
1820,Ni,concentrate,EU27,ROW,0.9958856446457902
1820,Ni,concentrate,ROW,CHN,0.0001016227990357
1820,Ni,concentrate,ROW,EU27,0.0040127325551739
1820,Ni,concentrate,ROW,ROW,0.9958856446457904
1820,Ni,refined_metal,CHN,CHN,0.0008460339668365
1820,Ni,refined_metal,CHN,EU27,0.3434938369055783
1820,Ni,refined_metal,CHN,ROW,0.6556601291275852
1820,Ni,refined_metal,EU27,CHN,0.0008460339668365
1820,Ni,refined_metal,EU27,EU27,0.3434938369055783
1820,Ni,refined_metal,EU27,ROW,0.6556601291275853
1820,Ni,refined_metal,ROW,CHN,0.0008460339668365
1820,Ni,refined_metal,ROW,EU27,0.3434938369055783
1820,Ni,refined_metal,ROW,ROW,0.6556601291275852
1820,Ni,scrap,CHN,CHN,0.004844028159137
1820,Ni,scrap,CHN,EU27,0.2911669438888353
1820,Ni,scrap,CHN,ROW,0.7039890279520276
1820,Ni,scrap,EU27,CHN,0.004844028159137
1820,Ni,scrap,EU27,EU27,0.2911669438888353
1820,Ni,scrap,EU27,ROW,0.7039890279520276
1820,Ni,scrap,ROW,CHN,0.004844028159137
1820,Ni,scrap,ROW,EU27,0.2911669438888353
1820,Ni,scrap,ROW,ROW,0.7039890279520276
1820,Sn,concentrate,CHN,CHN,0.0003794512648264
1820,Sn,concentrate,CHN,EU27,0.1265421288248722
1820,Sn,concentrate,CHN,ROW,0.8730784199103012
1820,Sn,concentrate,EU27,CHN,0.0003794512648264
1820,Sn,concentrate,EU27,EU27,0.1265421288248722
1820,Sn,concentrate,EU27,ROW,0.8730784199103012
1820,Sn,concentrate,ROW,CHN,0.0003794512648264
1820,Sn,concentrate,ROW,EU27,0.1265421288248722
1820,Sn,concentrate,ROW,ROW,0.8730784199103013
1820,Sn,refined_metal,CHN,CHN,0.0129616301062314
1820,Sn,refined_metal,CHN,EU27,0.3020388662767663
1820,Sn,refined_metal,CHN,ROW,0.6849995036170022
1820,Sn,refined_metal,EU27,CHN,0.0129616301062314
1820,Sn,refined_metal,EU27,EU27,0.3020388662767664
1820,Sn,refined_metal,EU27,ROW,0.6849995036170022
1820,Sn,refined_metal,ROW,CHN,0.0129616301062314
1820,Sn,refined_metal,ROW,EU27,0.3020388662767663
1820,Sn,refined_metal,ROW,ROW,0.6849995036170022
1820,Sn,scrap,CHN,CHN,0.0079470202985249
1820,Sn,scrap,CHN,EU27,0.6392935978287502
1820,Sn,scrap,CHN,ROW,0.3527593818727248
1820,Sn,scrap,EU27,CHN,0.0079470202985249
1820,Sn,scrap,EU27,EU27,0.6392935978287502
1820,Sn,scrap,EU27,ROW,0.3527593818727249
1820,Sn,scrap,ROW,CHN,0.0079470202985249
1820,Sn,scrap,ROW,EU27,0.6392935978287503
1820,Sn,scrap,ROW,ROW,0.3527593818727249
1820,Zn,concentrate,CHN,CHN,0.0019449369543214
1820,Zn,concentrate,CHN,EU27,0.313597368440549
1820,Zn,concentrate,CHN,ROW,0.6844576946051294
1820,Zn,concentrate,EU27,CHN,0.0019449369543214
1820,Zn,concentrate,EU27,EU27,0.3135973684405491
1820,Zn,concentrate,EU27,ROW,0.6844576946051295
1820,Zn,concentrate,ROW,CHN,0.0019449369543214
1820,Zn,concentrate,ROW,EU27,0.313597368440549
1820,Zn,concentrate,ROW,ROW,0.6844576946051295
1820,Zn,refined_metal,CHN,CHN,0.0015980478255724
1820,Zn,refined_metal,CHN,EU27,0.2889118652654983
1820,Zn,refined_metal,CHN,ROW,0.7094900869089292
1820,Zn,refined_metal,EU27,CHN,0.0015980478255724
1820,Zn,refined_metal,EU27,EU27,0.2889118652654983
1820,Zn,refined_metal,EU27,ROW,0.7094900869089293
1820,Zn,refined_metal,ROW,CHN,0.0015980478255724
1820,Zn,refined_metal,ROW,EU27,0.2889118652654983
1820,Zn,refined_metal,ROW,ROW,0.7094900869089292
1820,Zn,scrap,CHN,CHN,0.1840331778212685
1820,Zn,scrap,CHN,EU27,0.5656378354528668
1820,Zn,scrap,CHN,ROW,0.2503289867258645
1820,Zn,scrap,EU27,CHN,0.1840331778212685
1820,Zn,scrap,EU27,EU27,0.5656378354528668
1820,Zn,scrap,EU27,ROW,0.2503289867258645
1820,Zn,scrap,ROW,CHN,0.1840331778212685
1820,Zn,scrap,ROW,EU27,0.5656378354528668
1820,Zn,scrap,ROW,ROW,0.2503289867258645
1821,Ni,concentrate,CHN,CHN,0.0001016227990357
1821,Ni,concentrate,CHN,EU27,0.0040127325551739
1821,Ni,concentrate,CHN,ROW,0.9958856446457902
1821,Ni,concentrate,EU27,CHN,0.0001016227990357
1821,Ni,concentrate,EU27,EU27,0.0040127325551739
1821,Ni,concentrate,EU27,ROW,0.9958856446457902
1821,Ni,concentrate,ROW,CHN,0.0001016227990357
1821,Ni,concentrate,ROW,EU27,0.0040127325551739
1821,Ni,concentrate,ROW,ROW,0.9958856446457904
1821,Ni,refined_metal,CHN,CHN,0.0008460339668365
1821,Ni,refined_metal,CHN,EU27,0.3434938369055783
1821,Ni,refined_metal,CHN,ROW,0.6556601291275852
1821,Ni,refined_metal,EU27,CHN,0.0008460339668365
1821,Ni,refined_metal,EU27,EU27,0.3434938369055783
1821,Ni,refined_metal,EU27,ROW,0.6556601291275853
1821,Ni,refined_metal,ROW,CHN,0.0008460339668365
1821,Ni,refined_metal,ROW,EU27,0.3434938369055783
1821,Ni,refined_metal,ROW,ROW,0.6556601291275852
1821,Ni,scrap,CHN,CHN,0.004844028159137
1821,Ni,scrap,CHN,EU27,0.2911669438888353
1821,Ni,scrap,CHN,ROW,0.7039890279520276
1821,Ni,scrap,EU27,CHN,0.004844028159137
1821,Ni,scrap,EU27,EU27,0.2911669438888353
1821,Ni,scrap,EU27,ROW,0.7039890279520276
1821,Ni,scrap,ROW,CHN,0.004844028159137
1821,Ni,scrap,ROW,EU27,0.2911669438888353
1821,Ni,scrap,ROW,ROW,0.7039890279520276
1821,Sn,concentrate,CHN,CHN,0.0003794512648264
1821,Sn,concentrate,CHN,EU27,0.1265421288248722
1821,Sn,concentrate,CHN,ROW,0.8730784199103012
1821,Sn,concentrate,EU27,CHN,0.0003794512648264
1821,Sn,concentrate,EU27,EU27,0.1265421288248722
1821,Sn,concentrate,EU27,ROW,0.8730784199103012
1821,Sn,concentrate,ROW,CHN,0.0003794512648264
1821,Sn,concentrate,ROW,EU27,0.1265421288248722
1821,Sn,concentrate,ROW,ROW,0.8730784199103013
1821,Sn,refined_metal,CHN,CHN,0.0129616301062314
1821,Sn,refined_metal,CHN,EU27,0.3020388662767663
1821,Sn,refined_metal,CHN,ROW,0.6849995036170022
1821,Sn,refined_metal,EU27,CHN,0.0129616301062314
1821,Sn,refined_metal,EU27,EU27,0.3020388662767664
1821,Sn,refined_metal,EU27,ROW,0.6849995036170022
1821,Sn,refined_metal,ROW,CHN,0.0129616301062314
1821,Sn,refined_metal,ROW,EU27,0.3020388662767663
1821,Sn,refined_metal,ROW,ROW,0.6849995036170022
1821,Sn,scrap,CHN,CHN,0.0079470202985249
1821,Sn,scrap,CHN,EU27,0.6392935978287502
1821,Sn,scrap,CHN,ROW,0.3527593818727248
1821,Sn,scrap,EU27,CHN,0.0079470202985249
1821,Sn,scrap,EU27,EU27,0.6392935978287502
1821,Sn,scrap,EU27,ROW,0.3527593818727249
1821,Sn,scrap,ROW,CHN,0.0079470202985249
1821,Sn,scrap,ROW,EU27,0.6392935978287503
1821,Sn,scrap,ROW,ROW,0.3527593818727249
1821,Zn,concentrate,CHN,CHN,0.0019449369543214
1821,Zn,concentrate,CHN,EU27,0.313597368440549
1821,Zn,concentrate,CHN,ROW,0.6844576946051294
1821,Zn,concentrate,EU27,CHN,0.0019449369543214
1821,Zn,concentrate,EU27,EU27,0.3135973684405491
1821,Zn,concentrate,EU27,ROW,0.6844576946051295
1821,Zn,concentrate,ROW,CHN,0.0019449369543214
1821,Zn,concentrate,ROW,EU27,0.313597368440549
1821,Zn,concentrate,ROW,ROW,0.6844576946051295
1821,Zn,refined_metal,CHN,CHN,0.0015980478255724
1821,Zn,refined_metal,CHN,EU27,0.2889118652654983
1821,Zn,refined_metal,CHN,ROW,0.7094900869089292
1821,Zn,refined_metal,EU27,CHN,0.0015980478255724
1821,Zn,refined_metal,EU27,EU27,0.2889118652654983
1821,Zn,refined_metal,EU27,ROW,0.7094900869089293
