t,r,m,value
1820,CHN,Ni,0.0
1820,CHN,Sn,0.0
1820,CHN,Zn,0.0
1820,EU27,Ni,0.0
1820,EU27,Sn,0.0
1820,EU27,Zn,0.0
1820,ROW,Ni,0.0
1820,ROW,Sn,0.0
1820,ROW,Zn,0.0
1821,CHN,Ni,0.0007846949142582694
1821,CHN,Sn,0.0396649117558021
1821,CHN,Zn,0.10607121666727377
1821,EU27,Ni,0.07649638637696658
1821,EU27,Sn,0.07393534435289058
1821,EU27,Zn,3.0424761131550566
1821,ROW,Ni,0.0
1821,ROW,Sn,0.2261053886883367
1821,ROW,Zn,1.8105520298193307
1822,CHN,Ni,0.0015193112083640033
1822,CHN,Sn,0.07638320004105476
1822,CHN,Zn,0.20341313373091593
1822,EU27,Ni,0.14921332722901282
1822,EU27,Sn,0.17843612357102104
1822,EU27,Zn,6.084917559480386
1822,ROW,Ni,0.0
1822,ROW,Sn,0.4265184820374534
1822,ROW,Zn,3.453163269227124
1823,CHN,Ni,0.002207206294315441
1823,CHN,Sn,0.11039618716614989
1823,CHN,Zn,0.2927808720018518
1823,EU27,Ni,0.21841745634949863
1823,EU27,Sn,0.29246809682762315
1823,EU27,Zn,9.049330813531663
1823,ROW,Ni,0.0
1823,ROW,Sn,0.6044880293496512
1823,ROW,Zn,4.944655547907697
1824,CHN,Ni,0.002851579635419149
1824,CHN,Sn,0.1419244053786984
1824,CHN,Zn,0.37486249035576014
1824,EU27,Ni,0.28438710348888646
1824,EU27,Sn,0.42367610681536255
1824,EU27,Zn,11.979331871070796
1824,ROW,Ni,0.0
1824,ROW,Sn,0.7628321637992944
1824,ROW,Zn,6.300098925244061
1825,CHN,Ni,0.0034553889234090803
1825,CHN,Sn,0.1711694352508741
1825,CHN,Zn,0.45028502619897237
1825,EU27,Ni,0.347367187996312
1825,EU27,Sn,0.574429354372337
1825,EU27,Zn,14.895581680014192
1825,ROW,Ni,0.0
1825,ROW,Sn,0.9039967457140028
1825,ROW,Zn,7.532997973164282
1826,CHN,Ni,0.004021374564196915
1826,CHN,Sn,0.1983155792401231
1826,CHN,Zn,0.5196199874343084
1826,EU27,Ni,0.407575670828345
1826,EU27,Sn,0.7444777548297132
1826,EU27,Zn,17.806707384963754
1826,ROW,Ni,0.0
1826,ROW,Sn,1.0301057126566662
1826,ROW,Zn,8.655458001885233
1827,CHN,Ni,0.004552079216077567
1827,CHN,Sn,0.22353138531709485
1827,CHN,Zn,0.5833883459850839
1827,EU27,Ni,0.46520797596026614
1827,EU27,Sn,0.932345417922098
1827,EU27,Zn,20.715099967897803
1827,ROW,Ni,0.0
1827,ROW,Sn,1.1430045380772496
1827,ROW,Zn,9.67833340573582
1828,CHN,Ni,0.005049864189280325
1828,CHN,Sn,0.24697103420239766
1828,CHN,Zn,0.642065078351275
1828,EU27,Ni,0.5204402144784068
1828,EU27,Sn,1.136053944039774
1828,EU27,Zn,23.378975248356962
1828,ROW,Ni,0.0
1828,ROW,Sn,1.2442977479039286
