t,r,m,value
1820,CHN,Ni,
1820,CHN,Sn,
1820,CHN,Zn,
1820,EU27,Ni,
1820,EU27,Sn,
1820,EU27,Zn,
1820,ROW,Ni,
1820,ROW,Sn,
1820,ROW,Zn,
1821,CHN,Ni,0.49499999968774494
1821,CHN,Sn,0.22499999999872367
1821,CHN,Zn,0.4049999999984536
1821,EU27,Ni,0.5849999999955263
1821,EU27,Sn,0.26999999999901403
1821,EU27,Zn,0.49499999999991956
1821,ROW,Ni,
1821,ROW,Sn,0.17999999999985672
1821,ROW,Zn,0.3149999999999452
1822,CHN,Ni,0.4949999998387263
1822,CHN,Sn,0.22499999999933723
1822,CHN,Zn,0.40499999999919356
1822,EU27,Ni,0.5849999999977066
1822,EU27,Sn,0.26999999999959146
1822,EU27,Zn,0.4949999999999598
1822,ROW,Ni,
1822,ROW,Sn,0.17999999999992405
1822,ROW,Zn,0.3149999999999712
1823,CHN,Ni,0.4949999998889886
1823,CHN,Sn,0.22499999999954146
1823,CHN,Zn,0.4049999999994398
1823,EU27,Ni,0.5849999999984332
1823,EU27,Sn,0.2699999999997507
1823,EU27,Zn,0.4949999999999729
1823,ROW,Ni,
1823,ROW,Sn,0.17999999999994643
1823,ROW,Zn,0.31499999999997996
1824,CHN,Ni,0.4949999999140739
1824,CHN,Sn,0.22499999999964326
1824,CHN,Zn,0.40499999999956243
1824,EU27,Ni,0.5849999999987966
1824,EU27,Sn,0.2699999999998279
1824,EU27,Zn,0.4949999999999796
1824,ROW,Ni,
1824,ROW,Sn,0.17999999999995756
1824,ROW,Zn,0.31499999999998424
1825,CHN,Ni,0.494999999929089
1825,CHN,Sn,0.22499999999970424
1825,CHN,Zn,0.40499999999963576
1825,EU27,Ni,0.5849999999990149
1825,EU27,Sn,0.2699999999998731
1825,EU27,Zn,0.4949999999999837
1825,ROW,Ni,
1825,ROW,Sn,0.1799999999999642
1825,ROW,Zn,0.3149999999999868
1826,CHN,Ni,0.4949999999390693
1826,CHN,Sn,0.22499999999974474
1826,CHN,Zn,0.40499999999968433
1826,EU27,Ni,0.5849999999991603
1826,EU27,Sn,0.26999999999990204
1826,EU27,Zn,0.4949999999999863
1826,ROW,Ni,
1826,ROW,Sn,0.17999999999996855
1826,ROW,Zn,0.31499999999998857
1827,CHN,Ni,0.49499999994617294
1827,CHN,Sn,0.22499999999977352
1827,CHN,Zn,0.40499999999971886
1827,EU27,Ni,0.5849999999992646
1827,EU27,Sn,0.2699999999999218
1827,EU27,Zn,0.49499999999998817
1827,ROW,Ni,
1827,ROW,Sn,0.17999999999997165
1827,ROW,Zn,0.3149999999999898
1828,CHN,Ni,0.4949999999514789
1828,CHN,Sn,0.22499999999979503
1828,CHN,Zn,0.4049999999997445
1828,EU27,Ni,0.5849999999993426
1828,EU27,Sn,0.26999999999993585
1828,EU27,Zn,0.4949999999999896
1828,ROW,Ni,
1828,ROW,Sn,0.17999999999997396
1828,ROW,Zn,0.3149999999999906
1829,CHN,Ni,0.4949999999555868
1829,CHN,Sn,0.2249999999998116
1829,CHN,Zn,0.40499999999976444
1829,EU27,Ni,0.5849999999994032
1829,EU27,Sn,0.2699999999999461
1829,EU27,Zn,0.4949999999999906
1829,ROW,Ni,
1829,ROW,Sn,0.17999999999997576
1829,ROW,Zn,0.31499999999999134
1830,CHN,Ni,0.4949999999588561
1830,CHN,Sn,0.2249999999998249
1830,CHN,Zn,0.40499999999978
1830,EU27,Ni,0.5849999999994518
1830,EU27,Sn,0.26999999999995394
1830,EU27,Zn,0.4949999999999914
1830,ROW,Ni,
1830,ROW,Sn,0.17999999999997715
1830,ROW,Zn,0.31499999999999195
1831,CHN,Ni,0.4949999999615158
1831,CHN,Sn,0.22499999999983564
1831,CHN,Zn,0.4049999999997928
1831,EU27,Ni,0.5849999999994917
1831,EU27,Sn,0.26999999999995905
1831,EU27,Zn,0.494999999999992
1831,ROW,Ni,
1831,ROW,Sn,0.17999999999997832
1831,ROW,Zn,0.31499999999999234
1832,CHN,Ni,0.49499999996371863
1832,CHN,Sn,0.22499999999984452
1832,CHN,Zn,0.40499999999980335
1832,EU27,Ni,0.5849999999995249
1832,EU27,Sn,0.2699999999999631
1832,EU27,Zn,0.4949999999999926
1832,ROW,Ni,
1832,ROW,Sn,0.1799999999999792
1832,ROW,Zn,0.3149999999999927
1833,CHN,Ni,0.49499999996557015
1833,CHN,Sn,0.22499999999985199
1833,CHN,Zn,0.4049999999998121
1833,EU27,Ni,0.584999999999553
1833,EU27,Sn,0.2699999999999661
1833,EU27,Zn,0.4949999999999931
1833,ROW,Ni,
1833,ROW,Sn,0.17999999999998
1833,ROW,Zn,0.314999999999993
1834,CHN,Ni,0.49499999996714583
1834,CHN,Sn,0.22499999999985834
1834,CHN,Zn,0.40499999999981956
1834,EU27,Ni,0.5849999999995772
1834,EU27,Sn,0.26999999999996865
1834,EU27,Zn,0.4949999999999935
1834,ROW,Ni,
1834,ROW,Sn,0.17999999999998068
1834,ROW,Zn,0.31499999999999323
1835,CHN,Ni,0.49499999996850125
1835,CHN,Sn,0.2249999999998638
1835,CHN,Zn,0.40499999999982594
1835,EU27,Ni,0.5849999999995982
1835,EU27,Sn,0.26999999999997054
1835,EU27,Zn,0.4949999999999938
1835,ROW,Ni,
1835,ROW,Sn,0.17999999999998126
1835,ROW,Zn,0.31499999999999345
1836,CHN,Ni,0.49499999996967753
1836,CHN,Sn,0.22499999999986858
1836,CHN,Zn,0.4049999999998314
1836,EU27,Ni,0.5849999999996165
1836,EU27,Sn,0.26999999999997226
1836,EU27,Zn,0.49499999999999406
1836,ROW,Ni,
1836,ROW,Sn,0.17999999999998173
1836,ROW,Zn,0.3149999999999937
1837,CHN,Ni,0.49499999997070676
1837,CHN,Sn,0.22499999999987275
1837,CHN,Zn,0.40499999999983627
1837,EU27,Ni,0.5849999999996326
1837,EU27,Sn,0.2699999999999736
1837,EU27,Zn,0.4949999999999943
1837,ROW,Ni,
1837,ROW,Sn,0.17999999999998215
1837,ROW,Zn,0.3149999999999938
1838,CHN,Ni,0.49499999997161354
1838,CHN,Sn,0.2249999999998764
1838,CHN,Zn,0.4049999999998403
