t,r,m,value
1820,EU27,Zn,7.859149005892197
1820,EU27,Ni,2.9267770350000006
1820,EU27,Sn,0.864748158293426
1820,CHN,Zn,0.17946721034564683
1820,CHN,Ni,0.004849844999999992
1820,CHN,Sn,0.0811793633408285
1820,ROW,Zn,3.967331683036297
1820,ROW,Ni,0.0
1820,ROW,Sn,0.43949362631604466
1821,EU27,Zn,10.901625119047251
1821,EU27,Ni,3.003273421376967
1821,EU27,Sn,0.9386835026463164
1821,CHN,Zn,0.2855384270129206
1821,CHN,Ni,0.005634539914258261
1821,CHN,Sn,0.12084427509663058
1821,ROW,Zn,5.777883712855628
1821,ROW,Ni,0.0
1821,ROW,Sn,0.6655990150043813
1822,EU27,Zn,13.944066565372584
1822,EU27,Ni,3.075990362229013
1822,EU27,Sn,1.043184281864447
1822,CHN,Zn,0.38288034407656274
1822,CHN,Ni,0.006369156208363996
1822,CHN,Sn,0.15756256338188324
1822,ROW,Zn,7.420494952263422
1822,ROW,Ni,0.0
1822,ROW,Sn,0.866012108353498
1823,EU27,Zn,16.908479819423857
1823,EU27,Ni,3.1451944913495
1823,EU27,Sn,1.157216255121049
1823,CHN,Zn,0.4722480823474987
1823,CHN,Ni,0.007057051294315433
1823,CHN,Sn,0.1915755505069784
1823,ROW,Zn,8.911987230943994
1823,ROW,Ni,0.0
1823,ROW,Sn,1.0439816556656958
1824,EU27,Zn,19.838480876962993
1824,EU27,Ni,3.211164138488887
1824,EU27,Sn,1.2884242651087887
1824,CHN,Zn,0.5543297007014069
1824,CHN,Ni,0.00770142463541914
1824,CHN,Sn,0.22310376871952686
1824,ROW,Zn,10.267430608280359
1824,ROW,Ni,0.0
1824,ROW,Sn,1.202325790115339
1825,EU27,Zn,22.754730685906388
1825,EU27,Ni,3.2741442229963127
1825,EU27,Sn,1.439177512665763
1825,CHN,Zn,0.6297522365446191
1825,CHN,Ni,0.008305233923409074
1825,CHN,Sn,0.25234879859170256
1825,ROW,Zn,11.500329656200579
1825,ROW,Ni,0.0
1825,ROW,Sn,1.3434903720300473
1826,EU27,Zn,25.66585639085595
1826,EU27,Ni,3.3343527058283455
1826,EU27,Sn,1.6092259131231392
1826,CHN,Zn,0.6990871977799552
1826,CHN,Ni,0.008871219564196906
1826,CHN,Sn,0.2794949425809516
1826,ROW,Zn,12.62278968492153
1826,ROW,Ni,0.0
1826,ROW,Sn,1.4695993389727104
1827,EU27,Zn,28.574248973790002
1827,EU27,Ni,3.391985010960267
1827,EU27,Sn,1.797093576215524
1827,CHN,Zn,0.7628555563307308
1827,CHN,Ni,0.00940192421607756
