t,r,m,value
1820,CHN,Ni,0.0
1820,CHN,Sn,0.0
1820,CHN,Zn,0.0
1820,EU27,Ni,0.0
1820,EU27,Sn,0.0
1820,EU27,Zn,0.0
1820,ROW,Ni,0.0
1820,ROW,Sn,0.0
1820,ROW,Zn,0.0
1821,CHN,Ni,0.02342055483362289
1821,CHN,Sn,0.004543744343014466
1821,CHN,Zn,0.011280679554671932
1821,EU27,Ni,0.025236808604125232
1821,EU27,Sn,0.013366800276757889
1821,EU27,Zn,0.02274043490786917
1821,ROW,Ni,0.0
1821,ROW,Sn,0.0030884663476513407
1821,ROW,Zn,0.006413747233202041
1822,CHN,Ni,0.04437350030118237
1822,CHN,Sn,0.008713293559310943
1822,CHN,Zn,0.02141134062197636
1822,EU27,Ni,0.04807346652728061
1822,EU27,Sn,0.03166136775866048
1822,EU27,Zn,0.044469369426480665
1822,ROW,Ni,0.0
1822,ROW,Sn,0.005810085829799145
1822,ROW,Zn,0.012161809092142402
1823,CHN,Ni,0.0631947505576517
1823,CHN,Sn,0.012544598868229642
1823,CHN,Zn,0.03053101967612551
1823,EU27,Ni,0.06883486199063796
1823,EU27,Sn,0.05086578623134656
1823,EU27,Zn,0.06473132723269111
1823,ROW,Ni,0.0
1823,ROW,Sn,0.008214493729930635
1823,ROW,Zn,0.017323744204012906
1824,CHN,Ni,0.0801648982174201
1824,CHN,Sn,0.01606965863958002
1824,CHN,Zn,0.03875869121839448
1824,EU27,Ni,0.08779997101897885
1824,EU27,Sn,0.07204140978776721
1824,EU27,Zn,0.0839310079654895
1824,ROW,Ni,0.0
1824,ROW,Sn,0.010344002039186754
1824,ROW,Zn,0.02196825578442961
1825,CHN,Ni,0.09551808097879722
1825,CHN,Sn,0.01931701744061166
1825,CHN,Zn,0.04619670648459308
1825,EU27,Ni,0.10519857412395077
1825,EU27,Sn,0.09523410019529266
1825,EU27,Zn,0.10227351124485555
1825,ROW,Ni,0.0
1825,ROW,Sn,0.012234773683127828
1825,ROW,Zn,0.02615489570496708
1826,CHN,Ni,0.10945130868810657
1826,CHN,Sn,0.022312192438180896
1826,CHN,Zn,0.05293354659023904
1826,EU27,Ni,0.12122209219565129
1826,EU27,Sn,0.12004201964892404
1826,EU27,Zn,0.11986553035728019
1826,ROW,Ni,0.0
1826,ROW,Sn,0.013917789375130793
1826,ROW,Zn,0.02993546024024119
1827,CHN,Ni,0.12213158595133863
1827,CHN,Sn,0.025078039253618546
1827,CHN,Zn,0.059046044942470975
1827,EU27,Ni,0.13603149094602027
1827,EU27,Sn,0.145914319846663
1827,EU27,Zn,0.13676575122059173
1827,ROW,Ni,0.0
1827,ROW,Sn,0.01541964799898907
1827,ROW,Zn,0.03335514101894241
1828,CHN,Ni,0.1337014315851084
1828,CHN,Sn,0.02763506710393168
1828,CHN,Zn,0.06460119500086127
1828,EU27,Ni,0.14976320797596876
1828,EU27,Sn,0.17230205742983054
1828,EU27,Zn,0.15168548614044844
1828,ROW,Ni,0.0
