t,r,m,value
1820,EU27,Zn,136.54426712531583
1820,EU27,Ni,0.0309666666666666
1820,EU27,Sn,5.102870809175962
1820,CHN,Zn,10.130413063338512
1820,CHN,Ni,0.0309666666666666
1820,CHN,Sn,9.565245291481174
1820,ROW,Zn,307.23833936672565
1820,ROW,Ni,0.0309666666666666
1820,ROW,Sn,80.60444653301941
1821,EU27,Zn,136.54426712531583
1821,EU27,Ni,0.0309666666666666
1821,EU27,Sn,5.102870809175962
1821,CHN,Zn,10.130413063338512
1821,CHN,Ni,0.0309666666666666
1821,CHN,Sn,9.565245291481174
1821,ROW,Zn,307.23833936672565
1821,ROW,Ni,0.0309666666666666
1821,ROW,Sn,80.60444653301941
1822,EU27,Zn,136.54426712531583
1822,EU27,Ni,0.0309666666666666
1822,EU27,Sn,5.102870809175962
1822,CHN,Zn,10.130413063338512
1822,CHN,Ni,0.0309666666666666
1822,CHN,Sn,9.565245291481174
1822,ROW,Zn,307.23833936672565
1822,ROW,Ni,0.0309666666666666
1822,ROW,Sn,80.60444653301941
1823,EU27,Zn,136.54426712531583
1823,EU27,Ni,0.0309666666666666
1823,EU27,Sn,5.102870809175962
1823,CHN,Zn,10.130413063338512
1823,CHN,Ni,0.0309666666666666
1823,CHN,Sn,9.565245291481174
1823,ROW,Zn,307.23833936672565
1823,ROW,Ni,0.0309666666666666
1823,ROW,Sn,80.60444653301941
1824,EU27,Zn,136.54426712531583
1824,EU27,Ni,0.0309666666666666
1824,EU27,Sn,5.102870809175962
1824,CHN,Zn,10.130413063338512
1824,CHN,Ni,0.0309666666666666
1824,CHN,Sn,9.565245291481174
1824,ROW,Zn,307.23833936672565
1824,ROW,Ni,0.0309666666666666
1824,ROW,Sn,80.60444653301941
1825,EU27,Zn,136.54426712531583
1825,EU27,Ni,0.0309666666666666
1825,EU27,Sn,5.102870809175962
1825,CHN,Zn,10.130413063338512
1825,CHN,Ni,0.0309666666666666
1825,CHN,Sn,9.565245291481174
1825,ROW,Zn,307.23833936672565
1825,ROW,Ni,0.0309666666666666
1825,ROW,Sn,80.60444653301941
1826,EU27,Zn,136.54426712531583
1826,EU27,Ni,0.0309666666666666
1826,EU27,Sn,5.102870809175962
1826,CHN,Zn,10.130413063338512
1826,CHN,Ni,0.0309666666666666
1826,CHN,Sn,9.565245291481174
1826,ROW,Zn,307.23833936672565
1826,ROW,Ni,0.0309666666666666
1826,ROW,Sn,80.60444653301941
1827,EU27,Zn,136.54426712531583
1827,EU27,Ni,0.0309666666666666
1827,EU27,Sn,5.102870809175962
1827,CHN,Zn,10.130413063338512
1827,CHN,Ni,0.0309666666666666
1827,CHN,Sn,9.565245291481174
1827,ROW,Zn,307.23833936672565
1827,ROW,Ni,0.0309666666666666
1827,ROW,Sn,80.60444653301941
1828,EU27,Zn,136.54426712531583
1828,EU27,Ni,0.0309666666666666
1828,EU27,Sn,5.102870809175962
1828,CHN,Zn,10.130413063338512
1828,CHN,Ni,0.0309666666666666
1828,CHN,Sn,9.565245291481174
1828,ROW,Zn,307.23833936672565
1828,ROW,Ni,0.0309666666666666
1828,ROW,Sn,80.60444653301941
1829,EU27,Zn,136.54426712531583
1829,EU27,Ni,0.0309666666666666
1829,EU27,Sn,5.102870809175962
1829,CHN,Zn,10.130413063338512
1829,CHN,Ni,0.0309666666666666
1829,CHN,Sn,9.565245291481174
1829,ROW,Zn,307.23833936672565
1829,ROW,Ni,0.0309666666666666
1829,ROW,Sn,80.60444653301941
1830,EU27,Zn,136.54426712531583
1830,EU27,Ni,0.0309666666666666
1830,EU27,Sn,5.102870809175962
1830,CHN,Zn,10.130413063338512
1830,CHN,Ni,0.0309666666666666
1830,CHN,Sn,9.565245291481174
1830,ROW,Zn,307.23833936672565
1830,ROW,Ni,0.0309666666666666
1830,ROW,Sn,80.60444653301941
1831,EU27,Zn,136.54426712531583
