t,r,m,value
1820,EU27,Zn,0.0
1820,EU27,Ni,0.0
1820,EU27,Sn,0.0
1820,CHN,Zn,0.0
1820,CHN,Ni,0.0
1820,CHN,Sn,0.0
1820,ROW,Zn,0.0
1820,ROW,Ni,0.0
1820,ROW,Sn,0.0
1821,EU27,Zn,3.3805290146167284
1821,EU27,Ni,0.08499598486329615
1821,EU27,Sn,0.08215038261432286
1821,CHN,Zn,0.11785690740808194
1821,CHN,Ni,0.0008718832380647438
1821,CHN,Sn,0.044072124173113444
1821,ROW,Zn,2.011724477577034
1821,ROW,Ni,0.0
1821,ROW,Sn,0.25122820965370746
1822,EU27,Zn,6.761019510533763
1822,EU27,Ni,0.16579258581001416
1822,EU27,Sn,0.19826235952335672
1822,CHN,Zn,0.22601459303435098
1822,CHN,Ni,0.0016881235648488926
1822,CHN,Sn,0.08487022226783861
1822,ROW,Zn,3.836848076919026
1822,ROW,Ni,0.0
1822,ROW,Sn,0.4739094244860593
1823,EU27,Zn,10.054812015035177
1823,EU27,Ni,0.24268606261055395
1823,EU27,Sn,0.32496455203069236
1823,CHN,Zn,0.3253120800020576
1823,CHN,Ni,0.002452451438128268
1823,CHN,Sn,0.12266243018461098
1823,ROW,Zn,5.494061719897441
1823,ROW,Ni,0.0
1823,ROW,Sn,0.6716533659440569
1824,EU27,Zn,13.310368745634218
1824,EU27,Ni,0.31598567054320703
1824,EU27,Sn,0.4707512297948473
1824,CHN,Zn,0.41651387817306673
1824,CHN,Ni,0.003168421817132387
1824,CHN,Sn,0.1576937837541093
1824,ROW,Zn,7.000109916937846
1824,ROW,Ni,0.0
1824,ROW,Sn,0.8475912931103271
1825,EU27,Zn,16.55064631112688
1825,EU27,Ni,0.3859635422181243
1825,EU27,Sn,0.6382548381914857
1825,CHN,Zn,0.500316695776636
1825,CHN,Ni,0.0038393210260100888
1825,CHN,Sn,0.1901882613898601
1825,ROW,Zn,8.369997747960314
1825,ROW,Ni,0.0
1825,ROW,Sn,1.0044408285711142
1826,EU27,Zn,19.785230427737503
1826,EU27,Ni,0.4528618564759388
1826,EU27,Sn,0.8271975053663481
